seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h
42,baseline,17892,54994,14457,31.48401520232506,28.0,53.0,352.0,10.794909040603168,8.0,21.0,7.943349242581449,5.0,19.0,8040,11.275124378109453,9.0,22.0,8.038059701492537,5.0,19.0,5441,8.6934387061202,6.0,17.0,7.8200698401029225,5.0,18.0,0.8192946174053993,0.5416131015594433,14658.0,73.23372902169464,0,0
42,t22_closed,17892,54961,14366,31.994969818913482,28.0,54.0,232.0,10.875121815397467,8.0,22.0,8.238062091048308,6.0,19.0,8038,11.422617566558845,9.0,22.0,8.26349838268226,5.0,19.0,5362,8.695635956732563,6.0,17.0,8.168034315553898,6.0,18.0,0.8192946174053993,0.5416131015594433,14658.0,73.23372902169464,0,0
42,demand_plus_20pct,17892,54968,14413,31.729488039347196,28.0,54.0,406.0,11.016790397557761,8.0,22.0,7.98314022063415,5.0,19.0,8063,11.368597296291703,9.0,22.0,8.080863202282028,5.0,19.0,5376,8.999813988095237,7.0,18.0,7.843377976190476,5.0,19.0,0.7070594153484993,0.5991839472360405,12650.0,84.85849802371541,0,0
43,baseline,17892,55044,14271,31.56052984574111,28.0,53.0,370.0,10.833438441594843,8.0,21.0,7.89082755237895,5.0,18.0,8006,11.304896327754184,9.0,22.0,8.059330502123407,5.0,19.0,5316,8.707863054928518,6.0,17.0,7.629044394281415,5.0,18.0,0.8389693141803142,0.5384830361634342,15010.0,71.51632245169887,0,0
43,t22_closed,17892,55068,14289,31.654202995752293,28.0,54.0,563.0,10.877668136328644,8.0,22.0,7.989432430540975,5.0,18.0,8039,11.280880706555541,9.0,22.0,8.154372434382386,6.0,19.0,5287,8.76035558918101,7.0,17.0,7.805560809532817,5.0,18.0,0.8389693141803142,0.5384830361634342,15010.0,71.51632245169887,0,0
43,demand_plus_20pct,17892,54989,14292,31.609210820478427,28.0,54.0,321.0,10.982087881332214,8.0,22.0,7.97243212986286,5.0,18.0,8024,11.400299102691925,9.0,22.0,8.05234297108674,5.0,19.0,5306,8.945910290237467,7.0,18.0,7.832642291745194,5.0,18.0,0.7234922586775474,0.5978424906377509,12944.0,82.93108776266996,0,0
44,baseline,17892,55076,14307,31.5041918175721,28.0,54.0,396.0,10.78709722513455,8.0,21.0,7.872230376738659,5.0,18.0,8029,11.197907585004359,9.0,22.0,8.034375389214098,5.0,18.0,5317,8.74346435960128,6.0,17.400000000000546,7.615008463419222,5.0,18.0,0.8147672013861719,0.547593762226818,14577.0,73.64066680386911,0,0
44,t22_closed,17892,55127,14289,31.83316566063045,28.0,54.0,491.0,10.855483238855063,8.0,22.0,7.99510112674085,5.0,19.0,8008,11.309815184815184,9.0,22.0,8.181693306693306,5.0,19.0,5329,8.719084255957966,7.0,17.0,7.802214299118034,5.0,18.0,0.8147672013861719,0.547593762226818,14577.0,73.64066680386911,0,0
44,demand_plus_20pct,17892,55113,14294,31.751620836127877,28.0,54.0,762.0,10.926122848747726,8.0,21.0,7.874842591297048,5.0,18.0,7978,11.334921032840311,9.0,22.0,7.955753321634495,5.0,18.0,5358,8.907801418439716,7.0,18.0,7.8167226577081,5.0,18.0,0.7034263037281314,0.6041026214297691,12585.0,85.29678188319429,0,0
45,baseline,17892,55041,14328,31.702380952380953,28.0,54.0,501.0,10.900544388609715,8.0,22.0,7.93962869905081,5.0,19.0,8081,11.26184878109145,9.0,22.0,8.074495730726396,5.0,19.0,5247,8.78482942633886,6.0,18.0,7.81093958452449,5.0,19.0,0.8275669330948522,0.5407746911855122,14806.0,72.50168850466028,0,0
45,t22_closed,17892,55041,14327,31.69081153588196,28.0,54.0,408.0,10.85070147274377,8.0,22.0,7.962308927200391,5.0,19.0,8084,11.1448540326571,9.0,22.0,8.171202375061851,6.0,19.0,5244,8.975591151792525,7.0,18.0,7.73093058733791,5.0,18.0,0.8275669330948522,0.5407746911855122,14806.0,72.50168850466028,0,0
45,demand_plus_20pct,17892,55066,14353,31.73345629331545,28.0,54.0,314.0,10.969901762697694,8.0,22.0,7.888385703337281,5.0,18.0,8085,11.408905380333952,9.0,22.0,7.9713048855906,5.0,18.0,5279,8.656184883500663,6.0,17.0,7.734608827429438,5.0,18.0,0.7141020624895199,0.5989044771113968,12776.0,84.02160300563557,0,0
46,baseline,17892,55093,14370,31.661468812877263,28.0,54.0,411.0,10.811203897007655,8.0,22.0,7.912178148921364,5.0,18.0,8089,11.203115341822228,9.0,22.0,8.043021387068858,5.0,19.0,5329,8.844623756802402,7.0,17.0,7.747607431037718,5.0,18.0,0.829076071767928,0.5428427701078755,14833.0,72.36971617339715,0,0
46,t22_closed,17892,55040,14413,31.519170579029733,28.0,53.0,483.0,10.806285991812947,8.0,22.0,7.785263303961702,5.0,18.0,8113,11.214963638604708,9.0,22.0,7.946382349315913,5.0,18.0,5335,8.833552014995314,6.0,18.0,7.599062792877226,5.0,18.0,0.829076071767928,0.5428427701078755,14833.0,72.36971617339715,0,0
46,demand_plus_20pct,17892,55106,14374,31.485971383858708,28.0,53.0,257.0,10.897523305969111,8.0,22.0,7.811882565743704,5.0,18.0,8131,11.250399704833354,9.0,22.0,7.946501045381872,5.0,19.0,5288,8.880862329803328,7.0,17.300000000000182,7.602874432677761,5.0,18.0,0.7152199429880945,0.60097255603376,12796.0,83.89027821194124,0,0
47,baseline,17892,55088,14425,31.63816230717639,28.0,54.0,293.0,10.981629116117851,8.0,22.0,7.911403812824957,5.0,18.0,8056,11.360476663356504,9.0,22.0,7.972318768619663,5.0,19.0,5383,8.973806427642579,6.0,18.0,7.857142857142857,6.0,18.0,0.8317589849645073,0.5412777374098708,14881.0,72.13628116390028,0,0
47,t22_closed,17892,55083,14391,31.863793874357256,28.0,54.0,455.0,11.035369328052255,8.0,22.0,8.010492669029254,5.0,19.0,8082,11.504330611234844,9.0,22.0,8.245854986389508,6.0,19.0,5319,8.93213009964279,6.0,18.0,7.694303440496334,5.0,18.0,0.8317589849645073,0.5412777374098708,14881.0,72.13628116390028,0,0
