seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h
42,baseline,17892,54985,14427,31.3462441314554,28.0,53.0,302.0,10.913148956817079,8.0,22.0,7.973105981839606,5.0,18.0,8063,11.288478233907975,9.0,22.0,8.031253875728638,5.0,19.0,5385,8.959517177344475,7.0,18.0,7.930547818012999,5.0,18.0,0.8192946174053993,0.5416131015594433,14658.0,73.23372902169464,0,0
42,t22_closed,17892,54997,14356,31.821652135032416,28.0,54.0,411.0,10.973808860406798,8.0,22.0,8.131234327110615,6.0,19.0,8032,11.425423306772908,9.0,22.0,8.19683764940239,6.0,19.0,5356,8.806758775205378,7.0,17.0,8.04611650485437,6.0,18.0,0.8192946174053993,0.5416131015594433,14658.0,73.23372902169464,0,0
42,demand_plus_20pct,17892,54961,14354,31.4518779342723,28.0,53.0,211.0,10.867214713668664,8.0,21.0,7.833426222655706,5.0,18.0,8041,11.442606640965055,9.0,22.0,7.825394851386643,5.0,18.0,5351,8.71182956456737,6.0,17.0,7.844141282003364,5.0,18.0,0.7070594153484993,0.5991839472360405,12650.0,84.85849802371541,0,0
43,baseline,17892,55039,14288,31.442823608316566,28.0,53.0,331.0,10.845814669652855,8.0,22.0,7.832306830907055,5.0,18.0,8047,11.234124518454083,9.0,22.0,8.06412327575494,5.0,19.0,5274,8.740045506257111,6.0,17.0,7.532423208191126,5.0,18.0,0.8389693141803142,0.5384830361634342,15010.0,71.51632245169887,0,0
43,t22_closed,17892,55070,14322,31.489771965124078,28.0,53.0,333.0,10.88772517804776,8.0,22.0,7.912093283061025,5.0,18.0,8015,11.35845290081098,9.0,22.0,7.929382407985028,5.0,18.0,5343,8.774658431592739,7.0,18.0,7.873292157963691,5.0,18.0,0.8389693141803142,0.5384830361634342,15010.0,71.51632245169887,0,0
43,demand_plus_20pct,17892,54994,14304,31.703442879499217,28.0,54.0,426.0,10.980914429530202,8.0,22.0,7.865562080536913,5.0,18.0,8020,11.473192019950124,9.0,22.0,8.026184538653366,5.0,19.0,5334,8.755718035245595,6.0,17.0,7.659167604049494,5.0,17.0,0.7234922586775474,0.5978424906377509,12944.0,82.93108776266996,0,0
44,baseline,17892,55053,14281,31.65750055890901,28.0,54.0,234.0,10.875008752888453,8.0,21.0,7.88740284293817,5.0,18.0,7971,11.376740684983064,9.0,22.0,8.018316396938904,5.0,18.0,5353,8.731178778255185,7.0,17.0,7.701849430226042,5.0,18.0,0.8147672013861719,0.547593762226818,14577.0,73.64066680386911,0,0
44,t22_closed,17892,55152,14355,31.68801699083389,28.0,53.0,402.0,10.889655172413793,8.0,22.0,7.969209334726576,5.0,18.0,8044,11.288413724515166,9.0,22.0,8.136250621581302,5.0,19.0,5356,8.884615384615385,7.0,18.0,7.7716579536967885,5.0,18.0,0.8147672013861719,0.547593762226818,14577.0,73.64066680386911,0,0
44,demand_plus_20pct,17892,55142,14300,31.762799016320145,28.0,54.0,295.0,10.855454545454545,8.0,21.0,7.947902097902098,5.0,19.0,7987,11.266057343182672,9.0,21.0,8.042318767997997,5.0,19.0,5361,8.737175900018654,7.0,17.0,7.921283342659952,5.0,19.0,0.7034263037281314,0.6041026214297691,12585.0,85.29678188319429,0,0
45,baseline,17892,55012,14377,31.587245696400625,28.0,54.0,178.0,11.034916881129583,8.0,22.0,7.851012033108437,5.0,18.0,8068,11.468765493306892,9.0,23.0,7.832300446207238,5.0,18.0,5306,8.934413871089333,6.0,18.0,7.840180927252168,5.0,18.0,0.8275669330948522,0.5407746911855122,14806.0,72.50168850466028,0,0
45,t22_closed,17892,55001,14385,31.63123183545719,28.0,53.0,522.0,10.944456030587418,8.0,22.0,7.805213764337852,5.0,18.0,8057,11.280997890033511,9.0,22.0,7.810723594389971,5.0,18.0,5322,8.939496429913566,7.0,18.0,7.755355129650507,5.0,18.0,0.8275669330948522,0.5407746911855122,14806.0,72.50168850466028,0,0
45,demand_plus_20pct,17892,55013,14329,31.538620612564273,28.0,53.0,196.0,10.933421732151581,8.0,22.0,7.809616860911438,5.0,18.0,8052,11.229384003974168,9.0,22.0,7.902632886239443,5.0,18.0,5284,8.978993186979562,7.0,18.0,7.750946252838759,5.0,18.0,0.7141020624895199,0.5989044771113968,12776.0,84.02160300563557,0,0
46,baseline,17892,55050,14311,31.558070646098816,28.0,53.0,349.0,10.88707986863252,8.0,22.0,7.860806372720285,5.0,18.0,8102,11.417057516662553,9.0,23.0,7.93075783757097,5.0,18.0,5273,8.693153802389531,6.0,17.0,7.728048549212971,5.0,17.0,0.829076071767928,0.5428427701078755,14833.0,72.36971617339715,0,0
46,t22_closed,17892,55033,14377,31.582886206125643,28.0,53.0,293.0,10.7683800514711,8.0,22.0,8.058704875843361,5.0,19.0,8096,11.28223814229249,9.0,22.0,8.229743083003953,6.0,19.0,5318,8.628055660022564,7.0,17.0,7.900150432493419,5.0,18.0,0.829076071767928,0.5428427701078755,14833.0,72.36971617339715,0,0
46,demand_plus_20pct,17892,55108,14435,31.761625307399957,28.0,54.0,410.0,10.773675095254589,8.0,21.0,8.039695185313475,5.0,18.0,8083,11.205245577137202,9.0,22.0,8.027465050105159,5.0,18.0,5393,8.74262933432227,6.0,17.0,8.095865010198406,5.0,19.0,0.7152199429880945,0.60097255603376,12796.0,83.89027821194124,0,0
