scenario,metric,n,mean,std,ci95_lo,ci95_hi,half_width
baseline,mean_turnaround_min,10,31.627112676056335,0.13832402696249976,31.52816162810704,31.72606372400563,0.09895104794929566
baseline,median_turnaround_min,10,27.9,0.31622776601683794,27.673784283720178,28.12621571627982,0.22621571627982107
baseline,p90_turnaround_min,10,53.7,0.4830458915396479,53.35444978558636,54.045550214413645,0.34555021441364175
baseline,mean_rmg_service_min,10,10.852073246767254,0.06500584770538063,10.805570864682734,10.898575628851775,0.04650238208452073
baseline,median_rmg_service_min,10,8.0,0.0,8.0,8.0,0.0
baseline,p90_rmg_service_min,10,21.6,0.5163977794943222,21.23059128221082,21.969408717789182,0.36940871778918094
baseline,mean_rmg_pre_service_min,10,7.8983357703775,0.04115928209287597,7.868892193687566,7.927779347067434,0.029443576689933693
baseline,median_rmg_pre_service_min,10,5.0,0.0,5.0,5.0,0.0
baseline,p90_rmg_pre_service_min,10,18.3,0.48304589153964794,17.954449785586355,18.645550214413646,0.3455502144136453
baseline,rmg_events,10,14356.5,55.05805017332968,14317.113843579229,14395.886156420771,39.38615642077093
baseline,rmg_receive_events,10,8039.5,32.76600541889583,8016.06061174252,8062.93938825748,23.43938825747955
baseline,mean_rmg_receive_service_min,10,11.273409956065347,0.065801626547044,11.226338308090817,11.320481604039877,0.047071647974529895
baseline,median_rmg_receive_service_min,10,9.0,0.0,9.0,9.0,0.0
baseline,p90_rmg_receive_service_min,10,22.0,0.0,22.0,22.0,0.0
baseline,mean_rmg_receive_pre_service_min,10,8.037411940238723,0.03504806411959424,8.012340065529868,8.062483814947578,0.02507187470885519
baseline,median_rmg_receive_pre_service_min,10,5.0,0.0,5.0,5.0,0.0
baseline,p90_rmg_receive_pre_service_min,10,18.8,0.4216370213557839,18.49837904496024,19.10162095503976,0.30162095503975905
baseline,rmg_delivery_events,10,5340.6,54.12167362116175,5301.883687012412,5379.316312987588,38.716312987588026
baseline,mean_rmg_delivery_service_min,10,8.78436633362982,0.09395771172041198,8.717153035681422,8.851579631578216,0.06721329794839725
baseline,median_rmg_delivery_service_min,10,6.3,0.48304589153964794,5.954449785586356,6.645550214413643,0.34555021441364353
baseline,p90_rmg_delivery_service_min,10,17.340000000000053,0.4718756898449781,17.00244046650978,17.677559533490328,0.3375595334902748
baseline,mean_rmg_delivery_pre_service_min,10,7.724516358232417,0.09200809735793514,7.658697730382197,7.7903349860826365,0.06581862785021997
baseline,median_rmg_delivery_pre_service_min,10,5.1,0.31622776601683794,4.8737842837201795,5.32621571627982,0.22621571627982018
baseline,p90_rmg_delivery_pre_service_min,10,18.1,0.3162277660168379,17.87378428372018,18.326215716279822,0.22621571627982107
baseline,mean_inter_arrival_min,10,0.8281873567715612,0.006893065142394227,0.8232563550186438,0.8331183585244786,0.0049310017529173855
baseline,zero_inter_arrival_share,10,0.5422055782236879,0.0026001504164092394,0.5403455426667471,0.5440656137806287,0.001860035556940809
baseline,arrival_rate_per_elapsed_hour,10,72.45191303851455,0.605848895442154,72.0185148471853,72.8853112298438,0.4333981913292462
t22_closed,mean_turnaround_min,10,31.698748043818465,0.1591035020933498,31.58493225483187,31.81256383280506,0.11381578898659583
t22_closed,median_turnaround_min,10,28.0,0.0,28.0,28.0,0.0
t22_closed,p90_turnaround_min,10,53.9,0.3162277660168379,53.67378428372018,54.126215716279816,0.2262157162798175
t22_closed,mean_rmg_service_min,10,10.850918048731033,0.07928276485020555,10.79420257537099,10.907633522091077,0.056715473360043234
t22_closed,median_rmg_service_min,10,8.0,0.0,8.0,8.0,0.0
t22_closed,p90_rmg_service_min,10,21.8,0.4216370213557839,21.49837904496024,22.10162095503976,0.30162095503975905
t22_closed,mean_rmg_pre_service_min,10,7.979155051703705,0.14713154917632926,7.8739034819142555,8.084406621493155,0.10525156978944983
t22_closed,median_rmg_pre_service_min,10,5.1,0.31622776601683794,4.8737842837201795,5.32621571627982,0.22621571627982018
t22_closed,p90_rmg_pre_service_min,10,18.6,0.5163977794943222,18.23059128221082,18.969408717789182,0.36940871778918094
t22_closed,rmg_events,10,14361.5,46.600548399252894,14328.163975880574,14394.836024119426,33.33602411942593
t22_closed,rmg_receive_events,10,8049.4,38.012278717979186,8022.207653907411,8076.592346092588,27.192346092588195
t22_closed,mean_rmg_receive_service_min,10,11.271469809789638,0.1257798852336386,11.181492300255556,11.36144731932372,0.08997750953408179
t22_closed,median_rmg_receive_service_min,10,9.0,0.0,9.0,9.0,0.0
t22_closed,p90_rmg_receive_service_min,10,21.9,0.3162277660168379,21.673784283720178,22.12621571627982,0.22621571627982107
t22_closed,mean_rmg_receive_pre_service_min,10,8.131465169666942,0.12072444914251822,8.045104101253337,8.217826238080548,0.08636106841360558
t22_closed,median_rmg_receive_pre_service_min,10,5.4,0.5163977794943222,5.03059128221082,5.76940871778918,0.36940871778918005
t22_closed,p90_rmg_receive_pre_service_min,10,18.8,0.4216370213557839,18.49837904496024,19.10162095503976,0.30162095503975905
t22_closed,rmg_delivery_events,10,5334.8,49.13428312062543,5299.651451249743,5369.948548750257,35.14854875025685
t22_closed,mean_rmg_delivery_service_min,10,8.812874925958457,0.11652063025679589,8.729521088416204,8.89622876350071,0.08335383754225312
t22_closed,median_rmg_delivery_service_min,10,6.6,0.5163977794943222,6.23059128221082,6.96940871778918,0.36940871778918005
t22_closed,p90_rmg_delivery_service_min,10,17.4,0.5163977794943222,17.030591282210818,17.76940871778918,0.36940871778918094
t22_closed,mean_rmg_delivery_pre_service_min,10,7.798681382671736,0.24536681689222425,7.6231565357118445,7.974206229631628,0.1755248469598918
t22_closed,median_rmg_delivery_pre_service_min,10,5.1,0.31622776601683794,4.8737842837201795,5.32621571627982,0.22621571627982018
t22_closed,p90_rmg_delivery_pre_service_min,10,18.0,0.4714045207910317,17.662777520546342,18.337222479453658,0.3372224794536578
t22_closed,mean_inter_arrival_min,10,0.8281873567715612,0.006893065142394227,0.8232563550186438,0.8331183585244786,0.0049310017529173855
t22_closed,zero_inter_arrival_share,10,0.5422055782236879,0.0026001504164092394,0.5403455426667471,0.5440656137806287,0.001860035556940809
t22_closed,arrival_rate_per_elapsed_hour,10,72.45191303851455,0.605848895442154,72.0185148471853,72.8853112298438,0.4333981913292462
demand_plus_20pct,mean_turnaround_min,10,31.632584395260455,0.10322410994904298,31.558742315345732,31.706426475175178,0.0738420799147228
demand_plus_20pct,median_turnaround_min,10,28.0,0.0,28.0,28.0,0.0
demand_plus_20pct,p90_turnaround_min,10,53.7,0.48304589153964794,53.35444978558636,54.045550214413645,0.34555021441364175
demand_plus_20pct,mean_rmg_service_min,10,10.943406194594388,0.05321724821681606,10.905336868565733,10.981475520623043,0.03806932602865487
demand_plus_20pct,median_rmg_service_min,10,8.0,0.0,8.0,8.0,0.0
demand_plus_20pct,p90_rmg_service_min,10,21.9,0.3162277660168379,21.673784283720178,22.12621571627982,0.22621571627982107
demand_plus_20pct,mean_rmg_pre_service_min,10,7.906970722297688,0.09856735073280319,7.836459887247744,7.977481557347631,0.07051083504994349
demand_plus_20pct,median_rmg_pre_service_min,10,5.0,0.0,5.0,5.0,0.0
demand_plus_20pct,p90_rmg_pre_service_min,10,18.2,0.4216370213557839,17.89837904496024,18.50162095503976,0.30162095503975905
demand_plus_20pct,rmg_events,10,14360.8,47.27414139299036,14326.98211648069,14394.617883519308,33.81788351930845
demand_plus_20pct,rmg_receive_events,10,8044.1,45.40056289420992,8011.6223937986715,8076.577606201329,32.477606201328854
demand_plus_20pct,mean_rmg_receive_service_min,10,11.346828684411712,0.06705122153008286,11.298863130036398,11.394794238787025,0.047965554375313246
demand_plus_20pct,median_rmg_receive_service_min,10,9.0,0.0,9.0,9.0,0.0
demand_plus_20pct,p90_rmg_receive_service_min,10,22.0,0.0,22.0,22.0,0.0
demand_plus_20pct,mean_rmg_receive_pre_service_min,10,7.999808017741321,0.09454177269951484,7.932176907738015,8.067439127744628,0.06763111000330646
demand_plus_20pct,median_rmg_receive_pre_service_min,10,5.1,0.31622776601683794,4.8737842837201795,5.32621571627982,0.22621571627982018
demand_plus_20pct,p90_rmg_receive_pre_service_min,10,18.6,0.5163977794943222,18.23059128221082,18.969408717789182,0.36940871778918094
demand_plus_20pct,rmg_delivery_events,10,5340.1,43.68180399205142,5308.851919849029,5371.348080150971,31.248080150970964
demand_plus_20pct,mean_rmg_delivery_service_min,10,8.865780119721835,0.1306695523523509,8.772304753046486,8.959255486397184,0.09347536667534939
demand_plus_20pct,median_rmg_delivery_service_min,10,6.8,0.4216370213557839,6.498379044960239,7.101620955039761,0.30162095503976083
demand_plus_20pct,p90_rmg_delivery_service_min,10,17.53000000000002,0.5034326612809653,17.16986596906149,17.890134030938547,0.3601340309385286
