from,to,count,probability
Gate In,RMG_delivery,16875,0.18863600795904223
RMG_delivery,Gate Out,16641,0.97675647120972
Gate In,RMG_receive,32830,0.36698786022491003
RMG_receive,Gate Out,37369,0.9852095966253626
Gate In,LL_delivery,9828,0.1098616110353462
LL_delivery,Gate Out,5973,0.5838138989346104
LL_delivery,RMG_mixed,511,0.04994624181409442
RMG_mixed,Gate Out,12810,0.942743597291728
Gate In,HO2_delivery,6488,0.07252565449708243
HO2_delivery,Gate Out,5936,0.8984410473739973
Gate In,HO2_receive,4468,0.049945225692503745
HO2_receive,Gate Out,4964,0.9721895808852331
Gate In,RMG_mixed,11798,0.13188311833486105
HO2_delivery,RMG_receive,463,0.07007719085818072
LL_delivery,RMG_receive,2982,0.2914671097644414
Gate In,HO2_mixed,2038,0.022781640546401662
HO2_mixed,RMG_receive,69,0.029361702127659574
HO2_mixed,Gate Out,2013,0.8565957446808511
RMG_delivery,LL_receive,151,0.008863062745788578
LL_receive,Gate Out,850,0.9770114942528736
LL_delivery,HO2_receive,330,0.03225491154334865
HO2_mixed,HO2_mixed,192,0.08170212765957446
Gate In,LL_receive,636,0.007109481544411903
HO2_receive,HO2_receive,91,0.01782216999608304
RMG_mixed,RMG_mixed,694,0.051074477480129526
LL_delivery,LL_delivery,342,0.03342781741765223
RMG_receive,RMG_receive,463,0.012206696546269444
LL_delivery,HO2_mixed,49,0.004789365653406314
Gate In,LL_mixed,4486,0.05014643743432672
LL_mixed,Gate Out,2891,0.6051915428092945
RMG_delivery,LL_delivery,42,0.0024652227504842403
LL_mixed,RMG_mixed,507,0.10613355662549717
RMG_mixed,LL_delivery,6,0.00044156608772446274
LL_mixed,RMG_receive,1076,0.22524597027423068
RMG_delivery,HO2_receive,53,0.0031108763279920175
HO2_delivery,HO2_delivery,97,0.014681398516724686
HO2_receive,RMG_receive,47,0.009204857030943987
HO2_delivery,LL_receive,44,0.0066596034508854245
RMG_delivery,RMG_delivery,121,0.007102189352585549
RMG_receive,HO2_receive,60,0.0015818613234906407
RMG_delivery,LL_mixed,21,0.0012326113752421201
Gate In,Gate Out,11,0.00012296273111404233
Gate Out,LL_delivery,8,0.7272727272727273
RMG_mixed,HO2_mixed,13,0.0009567265234030027
HO2_mixed,RMG_mixed,31,0.013191489361702127
RMG_mixed,LL_mixed,49,0.003606123049749779
HO2_mixed,LL_receive,7,0.0029787234042553193
LL_mixed,HO2_receive,98,0.020514967552857442
LL_delivery,RMG_delivery,33,0.003225491154334865
LL_mixed,HO2_mixed,36,0.007536110529621101
HO2_delivery,LL_mixed,16,0.0024216739821401544
HO2_delivery,RMG_mixed,44,0.0066596034508854245
RMG_receive,HO2_mixed,16,0.00042182968626417085
LL_mixed,LL_mixed,160,0.03349382457609378
LL_delivery,HO2_delivery,11,0.0010751637181116215
RMG_mixed,LL_receive,9,0.0006623491315866941
HO2_mixed,LL_mixed,36,0.015319148936170212
LL_receive,LL_receive,20,0.022988505747126436
LL_mixed,RMG_delivery,5,0.0010466820180029307
RMG_receive,LL_delivery,7,0.00018455048774057475
RMG_receive,HO2_delivery,4,0.00010545742156604271
HO2_delivery,LL_delivery,4,0.0006054184955350386
RMG_receive,LL_mixed,8,0.00021091484313208542
Gate Out,LL_mixed,3,0.2727272727272727
RMG_delivery,HO2_mixed,6,0.00035217467864060575
RMG_mixed,HO2_delivery,1,7.359434795407713e-05
RMG_mixed,HO2_receive,6,0.00044156608772446274
HO2_delivery,RMG_delivery,3,0.0004540638716512789
HO2_receive,LL_mixed,1,0.00019584802193497845
LL_mixed,HO2_delivery,4,0.0008373456144023446
RMG_receive,LL_receive,3,7.909306617453204e-05
RMG_delivery,HO2_delivery,2,0.00011739155954686858
HO2_receive,RMG_mixed,3,0.0005875440658049354
HO2_mixed,LL_delivery,2,0.000851063829787234
