variant,count,cum_coverage
"('Gate In', 'RMG_receive', 'Gate Out')",32698,0.3655123074515415
"('Gate In', 'RMG_delivery', 'Gate Out')",16522,0.5502023295848331
"('Gate In', 'RMG_mixed', 'Gate Out')",11148,0.6748194683538644
"('Gate In', 'HO2_delivery', 'Gate Out')",5900,0.7407722059513961
"('Gate In', 'LL_delivery', 'Gate Out')",5887,0.8065796239576114
"('Gate In', 'HO2_receive', 'Gate Out')",4401,0.8557758948333296
"('Gate In', 'LL_mixed', 'Gate Out')",2759,0.8866171834827516
"('Gate In', 'LL_delivery', 'RMG_receive', 'Gate Out')",2742,0.9172684388204521
"('Gate In', 'HO2_mixed', 'Gate Out')",1724,0.9365400523150529
"('Gate In', 'LL_mixed', 'RMG_receive', 'Gate Out')",987,0.9475731628250128
"('Gate In', 'LL_receive', 'Gate Out')",636,0.9546826443694247
"('Gate In', 'RMG_mixed', 'RMG_mixed', 'Gate Out')",565,0.960998457376646
"('Gate In', 'LL_delivery', 'RMG_mixed', 'Gate Out')",466,0.9662076058038409
"('Gate In', 'LL_mixed', 'RMG_mixed', 'Gate Out')",452,0.9712602562096179
"('Gate In', 'HO2_delivery', 'RMG_receive', 'Gate Out')",396,0.9756869145297234
"('Gate In', 'LL_delivery', 'HO2_receive', 'Gate Out')",296,0.9789957298397013
"('Gate In', 'LL_delivery', 'LL_delivery', 'RMG_receive', 'RMG_receive', 'Gate Out')",221,0.9814661628920834
"('Gate In', 'HO2_mixed', 'HO2_mixed', 'Gate Out')",170,0.9833664960093005
"('Gate In', 'RMG_delivery', 'LL_receive', 'Gate Out')",138,0.9849091193632766
"('Gate In', 'LL_mixed', 'HO2_receive', 'Gate Out')",85,0.9858592859218851
"('Gate In', 'RMG_delivery', 'RMG_delivery', 'Gate Out')",77,0.9867200250396835
"('Gate In', 'LL_mixed', 'LL_mixed', 'RMG_receive', 'RMG_receive', 'Gate Out')",76,0.9875695857273804
"('Gate In', 'HO2_delivery', 'HO2_delivery', 'RMG_receive', 'RMG_receive', 'Gate Out')",61,0.9882514699635583
"('Gate In', 'HO2_mixed', 'RMG_receive', 'Gate Out')",55,0.9888662836191285
"('Gate In', 'RMG_receive', 'RMG_receive', 'Gate Out')",53,0.9894587404144962
"('Gate In', 'LL_mixed', 'LL_mixed', 'RMG_mixed', 'RMG_mixed', 'Gate Out')",51,0.9900288403496613
"('Gate In', 'RMG_mixed', 'LL_mixed', 'Gate Out')",48,0.9905654049945226
"('Gate In', 'LL_delivery', 'HO2_mixed', 'Gate Out')",44,0.9910572559189788
"('Gate In', 'RMG_receive', 'HO2_receive', 'Gate Out')",43,0.9915379284133337
"('Gate In', 'LL_delivery', 'LL_delivery', 'Gate Out')",39,0.9919738871872834
"('Gate In', 'HO2_delivery', 'LL_receive', 'Gate Out')",39,0.9924098459612332
"('Gate In', 'RMG_delivery', 'LL_delivery', 'Gate Out')",38,0.9928346263050817
"('Gate In', 'HO2_delivery', 'RMG_mixed', 'Gate Out')",37,0.993248228218829
