activity,max_depth,min_samples_leaf,baseline_mae,baseline_rmse,tree_mae,tree_rmse,tree_r2,n_test,n_train
Gate In,2.0,5,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate In,2.0,10,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate In,2.0,20,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate In,2.0,50,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate In,3.0,5,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate In,3.0,10,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate In,3.0,20,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate In,3.0,50,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate In,5.0,5,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate In,5.0,10,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate In,5.0,20,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate In,5.0,50,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate In,8.0,5,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate In,8.0,10,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate In,8.0,20,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate In,8.0,50,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate In,,5,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate In,,10,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate In,,20,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate In,,50,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,2.0,5,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,2.0,10,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,2.0,20,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,2.0,50,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,3.0,5,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,3.0,10,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,3.0,20,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,3.0,50,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,5.0,5,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,5.0,10,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,5.0,20,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,5.0,50,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,8.0,5,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,8.0,10,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,8.0,20,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,8.0,50,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,,5,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,,10,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,,20,0.0,0.0,0.0,0.0,1.0,17892,71566
Gate Out,,50,0.0,0.0,0.0,0.0,1.0,17892,71566
HO2_delivery,2.0,5,7.268004385431322,10.590594365686183,6.899076914399999,9.802378179144904,0.1273036577836154,1322,5285
HO2_delivery,2.0,10,7.268004385431322,10.590594365686183,6.899076914399999,9.802378179144904,0.1273036577836154,1322,5285
HO2_delivery,2.0,20,7.268004385431322,10.590594365686183,6.899076914399999,9.802378179144904,0.1273036577836154,1322,5285
HO2_delivery,2.0,50,7.268004385431322,10.590594365686183,6.964226503135441,9.928959929495658,0.10461922713396588,1322,5285
HO2_delivery,3.0,5,7.268004385431322,10.590594365686183,6.896142835871735,9.87450039955767,0.11441447024586293,1322,5285
HO2_delivery,3.0,10,7.268004385431322,10.590594365686183,6.896142835871735,9.87450039955767,0.11441447024586293,1322,5285
HO2_delivery,3.0,20,7.268004385431322,10.590594365686183,6.900765394722059,9.91231753954934,0.107618290020417,1322,5285
HO2_delivery,3.0,50,7.268004385431322,10.590594365686183,6.929511891406874,9.896984714170872,0.11037690834301872,1322,5285
HO2_delivery,5.0,5,7.268004385431322,10.590594365686183,6.767569623059651,9.769451552348004,0.1331566630966342,1322,5285
HO2_delivery,5.0,10,7.268004385431322,10.590594365686183,6.701401157577823,9.774977888991799,0.13217568212835262,1322,5285
HO2_delivery,5.0,20,7.268004385431322,10.590594365686183,6.7915114119333335,9.781581794279676,0.1310026942017931,1322,5285
HO2_delivery,5.0,50,7.268004385431322,10.590594365686183,6.88114951740974,9.840660613697942,0.12047385015557888,1322,5285
HO2_delivery,8.0,5,7.268004385431322,10.590594365686183,7.019248181759381,10.24364575059959,0.04696390237501136,1322,5285
HO2_delivery,8.0,10,7.268004385431322,10.590594365686183,6.820622197822924,9.914543001934197,0.10721753916482135,1322,5285
HO2_delivery,8.0,20,7.268004385431322,10.590594365686183,6.851509264684439,9.78610435187066,0.13019893894177803,1322,5285
HO2_delivery,8.0,50,7.268004385431322,10.590594365686183,6.962576405833026,9.860975945584137,0.11683866552788602,1322,5285
HO2_delivery,,5,7.268004385431322,10.590594365686183,8.99993066061523,12.610185792271102,-0.4442528021196668,1322,5285
HO2_delivery,,10,7.268004385431322,10.590594365686183,7.97191238521053,11.257846195414345,-0.15109421232053477,1322,5285
HO2_delivery,,20,7.268004385431322,10.590594365686183,7.456494465139617,10.505880838810642,-0.0024556995119386915,1322,5285
HO2_delivery,,50,7.268004385431322,10.590594365686183,7.0819933882964,9.979819926322142,0.09542275580304427,1322,5285
HO2_mixed,2.0,5,11.826437301946582,18.40400442578956,11.61147607988859,17.528167782959468,0.029566601960525185,470,1880
HO2_mixed,2.0,10,11.826437301946582,18.40400442578956,11.535417556851343,17.462127062152085,0.03686541262620768,470,1880
HO2_mixed,2.0,20,11.826437301946582,18.40400442578956,11.620543235204345,17.594633785117182,0.02219297099027928,470,1880
HO2_mixed,2.0,50,11.826437301946582,18.40400442578956,12.205148807678057,18.487359243117876,-0.07954923017307158,470,1880
HO2_mixed,3.0,5,11.826437301946582,18.40400442578956,11.584364278338642,17.59635432390412,0.022001726637380647,470,1880
HO2_mixed,3.0,10,11.826437301946582,18.40400442578956,11.48542931155324,17.505149008728402,0.032113761460438095,470,1880
HO2_mixed,3.0,20,11.826437301946582,18.40400442578956,11.79314746126467,17.9057839628976,-0.012696646509837706,470,1880
HO2_mixed,3.0,50,11.826437301946582,18.40400442578956,11.87277496359181,18.276630333262613,-0.05507892159709993,470,1880
HO2_mixed,5.0,5,11.826437301946582,18.40400442578956,11.282831376585856,17.47895962990304,0.035007695991026155,470,1880
