activity,service_mean,service_std,lognormal_params,gamma_params,chosen_family,chosen_params,source
Gate Out,0.0,0.0,,,empirical,,insufficient_stats
HO2_delivery,9.752595155709342,9.667328756363949,"{'mu': 1.9353312453807616, 'sigma': 0.8272873431020639}","{'shape': 1.0177179092163353, 'scale': 9.58280783642596}",lognormal,"{'mu': 1.9353312453807616, 'sigma': 0.8272873431020639}",moments
HO2_mixed,19.775384615384617,12.987757913562362,"{'mu': 2.805132859707725, 'sigma': 0.5988407189459043}","{'shape': 2.3183633784794893, 'scale': 8.52989000730093}",lognormal,"{'mu': 2.805132859707725, 'sigma': 0.5988407189459043}",moments
HO2_receive,16.857992565055763,12.37318952487725,"{'mu': 2.60935405866324, 'sigma': 0.6564614564136486}","{'shape': 1.8563009437186146, 'scale': 9.081497599890874}",lognormal,"{'mu': 2.60935405866324, 'sigma': 0.6564614564136486}",moments
LL_delivery,10.129773822766037,8.999043725450717,"{'mu': 2.024591570951772, 'sigma': 0.7627416595325369}","{'shape': 1.267087985846416, 'scale': 7.994530716033377}",lognormal,"{'mu': 2.024591570951772, 'sigma': 0.7627416595325369}",moments
LL_mixed,9.224023581429623,7.408687407488303,"{'mu': 1.9729041206019662, 'sigma': 0.7055596628084517}","{'shape': 1.550094826944141, 'scale': 5.95061890478912}",lognormal,"{'mu': 1.9729041206019662, 'sigma': 0.7055596628084517}",moments
LL_receive,10.276859504132233,7.73166998233875,"{'mu': 2.1056285294393224, 'sigma': 0.6697255978494419}","{'shape': 1.7667464275420965, 'scale': 5.816827669168933}",lognormal,"{'mu': 2.1056285294393224, 'sigma': 0.6697255978494419}",moments
RMG_delivery,8.529464087169224,8.382616281801203,"{'mu': 1.8055607784518823, 'sigma': 0.8221505388326789}","{'shape': 1.035343155464213, 'scale': 8.238296686613918}",lognormal,"{'mu': 1.8055607784518823, 'sigma': 0.8221505388326789}",moments
RMG_mixed,14.920174958993986,12.681386969694216,"{'mu': 2.430851153020581, 'sigma': 0.737378014535837}","{'shape': 1.3842493281551624, 'scale': 10.778531479497719}",lognormal,"{'mu': 2.430851153020581, 'sigma': 0.737378014535837}",moments
RMG_receive,11.905697253982217,10.47354304258859,"{'mu': 2.1904304429669583, 'sigma': 0.7570820344189427}","{'shape': 1.2921782477910848, 'scale': 9.21366481314356}",lognormal,"{'mu': 2.1904304429669583, 'sigma': 0.7570820344189427}",moments
