activity,chosen_family,chosen_params,ks_pvalue,aic,sample_count
Gate In,expon,"(0.0, 0.0)",,,24000
Gate Out,expon,"(0.0, 0.0)",,,24000
HO2_delivery,lognorm,"(0.9140214993025872, 0, 6.559264587372676)",1.5286608639817555e-06,11131.568296938367,1736
HO2_mixed,gamma,"(2.2781647422118283, 0, 8.71628925213895)",0.4299144923100485,4996.378469224312,651
HO2_receive,lognorm,"(0.6533535279278764, 0, 13.625567329168243)",0.0007427677522669074,9718.5424383362,1347
LL_delivery,lognorm,"(0.7116710944508086, 0, 7.716816797801332)",2.7358425568382735e-18,16865.885724118965,2700
LL_mixed,lognorm,"(0.673088017169779, 0, 7.262173718276075)",4.6844544762305156e-11,8169.585909628424,1358
LL_receive,lognorm,"(0.605033510801225, 0, 8.532358736160436)",0.00043359641268696773,1493.3218118348257,243
RMG_delivery,lognorm,"(0.7703949708188302, 0, 6.261683371408537)",1.2673965108331553e-26,26944.805874537422,4502
RMG_mixed,lognorm,"(0.7588568062816893, 0, 11.273061889220328)",4.397622215185989e-05,26119.07989672638,3662
RMG_receive,lognorm,"(0.7161796180572204, 0, 9.113252990607728)",2.3760750751581735e-47,67510.76345334233,10244
