resource,chosen_family,chosen_params,ks_pvalue,aic,sample_count
HO2,weibull_min,"(0.7121307011891714, 0, 11.879719329225843)",2.1015041152194105e-13,24531.287452408702,3734
LL,gamma,"(0.9210754921875646, 0, 3.6053913536823803)",8.257851163303159e-93,17114.876806143184,4301
Res.GateIn,lognorm,"(0.8009218664599489, 0, 2.4222392175112035)",0.0,99462.55102670033,24000
Res.GateOut,lognorm,"(1.3201678363618603, 0, 3.9732129268340013)",3.9720109403158086e-25,132396.4624208757,24000
T06,lognorm,"(1.3524760210703197, 0, 4.4370158470089125)",8.651127855255006e-06,4578.261193062383,797
T07,lognorm,"(1.217528069532186, 0, 3.639326222912155)",1.1979926904604782e-05,3576.4833421649882,703
T08,lognorm,"(1.4042371900856636, 0, 4.078187869789891)",7.235346259756087e-06,3992.747734458294,704
T09,lognorm,"(1.2772218742649941, 0, 3.965034487818053)",8.124783744554784e-06,4233.185148719602,778
T10,lognorm,"(1.4189288879221333, 0, 2.9938279707763686)",3.968612416125061e-09,4143.628419428029,788
T11,weibull_min,"(0.7333067709603122, 0, 8.418621432464418)",2.1195253719747685e-05,5071.636078186921,849
T12,weibull_min,"(0.7935813125714453, 0, 4.798989669189124)",1.6908544796461612e-10,4407.466451660649,921
T13,weibull_min,"(0.6364454853262873, 0, 10.610219835522502)",9.354122407235592e-07,7073.952375124747,1072
T14,gamma,"(0.5624550692121957, 0, 12.98794353541277)",6.929728424146508e-15,5645.269742026414,1067
T15,lognorm,"(1.0173449510637853, 0, 4.10752171128857)",8.672254454656337e-07,3527.307928073292,738
T16,lognorm,"(1.199113796795186, 0, 4.903128164103784)",2.702820656070052e-09,5359.48233472912,996
T17,lognorm,"(1.231962394826316, 0, 4.793753653741245)",3.719825202452009e-06,5271.130305866601,956
T18,lognorm,"(1.1995856724234026, 0, 4.428481402312705)",2.4048339169599213e-06,3910.4599559161293,751
T19,lognorm,"(1.2194130831803143, 0, 5.513966751253966)",0.0003743214306022329,3756.1403169203204,668
T20,lognorm,"(1.1067501252385523, 0, 3.4781824391517304)",3.0642587721450935e-10,4289.124525929911,919
T21,gamma,"(0.8569623121532595, 0, 6.9881068469490035)",6.190712263281499e-12,4578.952543898759,937
T22,lognorm,"(1.1370459326002509, 0, 2.8997250611851104)",1.2095906425000011e-09,3970.9978921309535,854
T23,lognorm,"(1.262572911147138, 0, 3.3572116340488916)",3.3122239787808103e-07,4323.706992986488,875
T24,gamma,"(0.7897466175769358, 0, 7.481578955124916)",1.650567192660838e-12,5055.657645893449,1010
T25,gamma,"(0.7937628534858212, 0, 8.351561057801765)",9.541525354576601e-06,3102.380810225264,593
T26,gamma,"(0.5548782729504387, 0, 15.478870425434808)",6.812360269693133e-07,3248.4923952380364,576
T27,gamma,"(0.624987716931743, 0, 10.838753893549375)",2.2711113049298443e-09,4496.420432093055,856
