activity,max_depth,min_samples_leaf,baseline_mae,baseline_rmse,tree_mae,tree_rmse,tree_r2,n_test,n_train,source_eventlog
Gate In,2.0,5,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate In,2.0,10,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate In,2.0,20,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate In,2.0,50,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate In,3.0,5,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate In,3.0,10,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate In,3.0,20,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate In,3.0,50,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate In,5.0,5,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate In,5.0,10,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate In,5.0,20,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate In,5.0,50,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate In,8.0,5,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate In,8.0,10,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate In,8.0,20,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate In,8.0,50,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate In,,5,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate In,,10,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate In,,20,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate In,,50,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,2.0,5,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,2.0,10,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,2.0,20,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,2.0,50,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,3.0,5,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,3.0,10,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,3.0,20,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,3.0,50,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,5.0,5,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,5.0,10,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,5.0,20,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,5.0,50,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,8.0,5,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,8.0,10,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,8.0,20,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,8.0,50,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,,5,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,,10,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,,20,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
Gate Out,,50,0.0,0.0,0.0,0.0,1.0,14314,57252,s6_train.csv
HO2_delivery,2.0,5,6.788512133825493,9.341185176563647,6.521711766901482,9.164235828784275,0.0289680590752166,1071,4280,s6_train.csv
HO2_delivery,2.0,10,6.788512133825493,9.341185176563647,6.521711766901482,9.164235828784275,0.0289680590752166,1071,4280,s6_train.csv
HO2_delivery,2.0,20,6.788512133825493,9.341185176563647,6.521711766901482,9.164235828784275,0.0289680590752166,1071,4280,s6_train.csv
HO2_delivery,2.0,50,6.788512133825493,9.341185176563647,6.533065123058759,9.168913894213599,0.027976441125615925,1071,4280,s6_train.csv
HO2_delivery,3.0,5,6.788512133825493,9.341185176563647,6.565298046943187,9.367057265567995,-0.014489025015421264,1071,4280,s6_train.csv
HO2_delivery,3.0,10,6.788512133825493,9.341185176563647,6.570200007727501,9.377645131000895,-0.016783735844403402,1071,4280,s6_train.csv
HO2_delivery,3.0,20,6.788512133825493,9.341185176563647,6.554004344276936,9.34829366227973,-0.010428752160492882,1071,4280,s6_train.csv
HO2_delivery,3.0,50,6.788512133825493,9.341185176563647,6.57983534334323,9.378433442872689,-0.01695469057105603,1071,4280,s6_train.csv
HO2_delivery,5.0,5,6.788512133825493,9.341185176563647,6.5757744800117095,9.374328412125829,-0.01606462366160466,1071,4280,s6_train.csv
