case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp,gate_utilization,process_flow_type,n_stops,n_containers,target_rank_group,vc_utilization,mt_utilization,target_rank,n_deliveries,target_utilization,target_utilization_bin,rmg_utilization,n_receives,visit_complexity,target_demand_bin,has_reefer,target_demand,primary_target_area,gate_demand,mt_demand,has_hazardous,target_area,vc_demand,rmg_demand,full_ratio
case_1,Gate In,Res.GateIn,2026-04-20 18:17:00,2026-04-20 18:17:00,2026-04-20 18:17:00,0.64,receive,1,1,low,0.524,0.8179,17.0,0,0.5121,medium,0.62,1,4,low,0,3.42,T09,112.42,19.0,0,T09,9.58,77.33,1.0
case_2,Gate In,Res.GateIn,2026-04-20 18:17:00,2026-04-20 18:17:00,2026-04-20 18:17:00,0.6395,delivery,1,1,low,0.5286,0.85,11.0,1,0.6895,high,0.6195,0,4,high,0,9.9,T11,182.6,27.17,0,T11,24.1,152.45,1.0
case_3,Gate In,Res.GateIn,2026-04-20 18:18:00,2026-04-20 18:18:00,2026-04-20 18:18:00,0.5308,receive,1,1,top_3,0.4,0.8115,2.0,0,0.63,medium,0.4908,1,5,high,0,7.7,T21,144.6,11.5,0,T21,12.8,135.3,1.0
case_2,RMG_receive,T08,2026-04-20 18:17:00,2026-04-20 18:18:00,2026-04-20 18:24:00,0.6395,delivery,1,1,low,0.5286,0.85,11.0,1,0.6895,high,0.6195,0,4,high,0,9.9,T11,182.6,27.17,0,T11,24.1,152.45,1.0
case_4,Gate In,Res.GateIn,2026-04-20 18:19:00,2026-04-20 18:19:00,2026-04-20 18:19:00,0.62,receive,1,1,mid,0.4672,0.9136,9.0,0,0.6664,high,0.5864,1,5,medium,0,6.27,T15,148.17,5.57,0,T15,34.2,119.4,1.0
case_5,Gate In,Res.GateIn,2026-04-20 18:19:00,2026-04-20 18:19:00,2026-04-20 18:19:00,0.5948,mixed,1,2,top_3,0.3997,0.75,2.0,1,0.7497,very_high,0.6,1,15,very_high,0,13.47,T22,173.53,25.87,1,T22,25.6,115.47,1.0
case_6,Gate In,Res.GateIn,2026-04-20 18:19:00,2026-04-20 18:19:00,2026-04-20 18:19:00,0.603,mixed,2,2,low,0.473,0.847,16.0,1,0.4791,low,0.5661,1,8,medium,0,5.22,T11,108.67,11.95,0,T11,18.83,64.97,0.5
case_7,Gate In,Res.GateIn,2026-04-20 18:20:00,2026-04-20 18:20:00,2026-04-20 18:20:00,0.55,receive,1,1,non_rmg,0.4684,0.7568,,0,0.7568,very_high,0.52,1,5,very_high,0,21.27,MT,151.5,21.27,0,MT,24.93,135.5,1.0
case_8,Gate In,Res.GateIn,2026-04-20 18:21:00,2026-04-20 18:21:00,2026-04-20 18:21:00,0.6327,receive,1,1,non_rmg,0.47,0.8727,,0,0.47,low,0.6127,1,5,very_high,0,31.83,VC,196.83,39.17,0,VC,31.83,136.08,1.0
case_9,Gate In,Res.GateIn,2026-04-20 18:21:00,2026-04-20 18:21:00,2026-04-20 18:21:00,0.6,receive,1,1,mid,0.42,0.9145,5.0,0,0.7,high,0.56,1,4,low,0,3.65,T20,73.08,6.78,0,T20,7.3,71.15,1.0
case_4,LL_delivery,LL,2026-04-20 18:19:00,2026-04-20 18:22:00,2026-04-20 18:28:00,0.62,receive,1,1,mid,0.4672,0.9136,9.0,0,0.6664,high,0.5864,1,5,medium,0,6.27,T15,148.17,5.57,0,T15,34.2,119.4,1.0
case_3,RMG_receive,T26,2026-04-20 18:18:00,2026-04-20 18:22:00,2026-04-20 18:38:00,0.5308,receive,1,1,top_3,0.4,0.8115,2.0,0,0.63,medium,0.4908,1,5,high,0,7.7,T21,144.6,11.5,0,T21,12.8,135.3,1.0
case_5,RMG_delivery,T21,2026-04-20 18:19:00,2026-04-20 18:22:00,2026-04-20 18:34:00,0.5948,mixed,1,2,top_3,0.3997,0.75,2.0,1,0.7497,very_high,0.6,1,15,very_high,0,13.47,T22,173.53,25.87,1,T22,25.6,115.47,1.0
case_7,HO2_delivery,HO2,2026-04-20 18:20:00,2026-04-20 18:22:00,2026-04-20 18:28:00,0.55,receive,1,1,non_rmg,0.4684,0.7568,,0,0.7568,very_high,0.52,1,5,very_high,0,21.27,MT,151.5,21.27,0,MT,24.93,135.5,1.0
case_10,Gate In,Res.GateIn,2026-04-20 18:22:00,2026-04-20 18:22:00,2026-04-20 18:22:00,0.63,mixed,2,2,low,0.4906,0.8594,15.0,1,0.4306,low,0.61,1,11,low,0,3.53,T06,35.43,7.9,0,T06,5.53,30.37,1.0
case_9,HO2_receive,HO2,2026-04-20 18:21:00,2026-04-20 18:22:00,2026-04-20 18:29:00,0.6,receive,1,1,mid,0.42,0.9145,5.0,0,0.7,high,0.56,1,4,low,0,3.65,T20,73.08,6.78,0,T20,7.3,71.15,1.0
case_11,Gate In,Res.GateIn,2026-04-20 18:22:00,2026-04-20 18:22:00,2026-04-20 18:22:00,0.62,delivery,1,1,mid,0.4698,0.9149,7.0,1,0.69,high,0.5851,0,3,high,0,8.85,T26,150.75,5.05,0,T26,40.4,116.3,0.0
case_12,Gate In,Res.GateIn,2026-04-20 18:22:00,2026-04-20 18:22:00,2026-04-20 18:22:00,0.5646,receive,1,1,low,0.3846,0.8154,20.0,0,0.2616,low,0.55,1,4,high,0,10.73,T09,171.0,22.07,0,T09,32.2,127.0,1.0
case_10,RMG_receive,T22,2026-04-20 18:22:00,2026-04-20 18:23:00,2026-04-20 18:32:00,0.63,mixed,2,2,low,0.4906,0.8594,15.0,1,0.4306,low,0.61,1,11,low,0,3.53,T06,35.43,7.9,0,T06,5.53,30.37,1.0
case_13,Gate In,Res.GateIn,2026-04-20 18:23:00,2026-04-20 18:23:00,2026-04-20 18:23:00,0.63,delivery,1,1,low,0.49,0.86,12.0,1,0.43,low,0.61,0,3,low,0,4.0,T06,38.0,10.0,0,T06,6.0,32.0,1.0
case_12,RMG_receive,T19,2026-04-20 18:22:00,2026-04-20 18:23:00,2026-04-20 18:37:00,0.5646,receive,1,1,low,0.3846,0.8154,20.0,0,0.2616,low,0.55,1,4,high,0,10.73,T09,171.0,22.07,0,T09,32.2,127.0,1.0
case_14,Gate In,Res.GateIn,2026-04-20 18:23:00,2026-04-20 18:23:00,2026-04-20 18:23:00,0.618,receive,1,1,non_rmg,0.4741,0.9,,0,0.4741,low,0.58,1,4,very_high,0,30.17,VC,185.0,20.08,0,VC,30.17,143.08,1.0
case_13,HO2_receive,HO2,2026-04-20 18:23:00,2026-04-20 18:24:00,2026-04-20 18:36:00,0.63,delivery,1,1,low,0.49,0.86,12.0,1,0.43,low,0.61,0,3,low,0,4.0,T06,38.0,10.0,0,T06,6.0,32.0,1.0
case_15,Gate In,Res.GateIn,2026-04-20 18:24:00,2026-04-20 18:24:00,2026-04-20 18:24:00,0.6359,delivery,1,1,non_rmg,0.5259,0.8341,,1,0.8341,very_high,0.6159,0,3,very_high,0,23.88,MT,109.48,23.88,0,MT,15.57,85.87,0.0
case_14,LL_delivery,LL,2026-04-20 18:23:00,2026-04-20 18:24:00,2026-04-20 18:35:00,0.618,receive,1,1,non_rmg,0.4741,0.9,,0,0.4741,low,0.58,1,4,very_high,0,30.17,VC,185.0,20.08,0,VC,30.17,143.08,1.0
