case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp,target_utilization_bin,full_ratio,process_flow_type,target_demand,target_utilization,target_area,n_stops,n_receives,target_rank,gate_demand,rmg_demand,n_deliveries,rmg_utilization,mt_utilization,has_hazardous,target_rank_group,gate_utilization,has_reefer,primary_target_area,vc_utilization,target_demand_bin,vc_demand,mt_demand,n_containers,visit_complexity
case_1,Gate In,Res.GateIn,2026-04-20 18:17:00,2026-04-20 18:17:00,2026-04-20 18:17:00,medium,1.0,receive,3.42,0.5121,T09,1,1,17.0,112.42,77.33,0,0.62,0.8179,0,low,0.64,0,T09,0.524,low,9.58,19.0,1,4
case_1,RMG_receive,T14,2026-04-20 18:17:00,2026-04-20 18:17:00,2026-04-20 18:25:00,medium,1.0,receive,3.42,0.5121,T09,1,1,17.0,112.42,77.33,0,0.62,0.8179,0,low,0.64,0,T09,0.524,low,9.58,19.0,1,4
case_2,Gate In,Res.GateIn,2026-04-20 18:17:00,2026-04-20 18:17:00,2026-04-20 18:17:00,high,1.0,delivery,9.9,0.6895,T11,1,0,11.0,182.6,152.45,1,0.6195,0.85,0,low,0.6395,0,T11,0.5286,high,24.1,27.17,1,4
case_3,Gate In,Res.GateIn,2026-04-20 18:18:00,2026-04-20 18:18:00,2026-04-20 18:18:00,medium,1.0,receive,7.7,0.63,T21,1,1,2.0,144.6,135.3,0,0.4908,0.8115,0,top_3,0.5308,0,T21,0.4,high,12.8,11.5,1,5
case_4,Gate In,Res.GateIn,2026-04-20 18:19:00,2026-04-20 18:19:00,2026-04-20 18:19:00,high,1.0,receive,6.27,0.6664,T15,1,1,9.0,148.17,119.4,0,0.5864,0.9136,0,mid,0.62,0,T15,0.4672,medium,34.2,5.57,1,5
case_5,Gate In,Res.GateIn,2026-04-20 18:19:00,2026-04-20 18:19:00,2026-04-20 18:19:00,very_high,1.0,mixed,13.47,0.7497,T22,1,1,2.0,173.53,115.47,1,0.6,0.75,1,top_3,0.5948,0,T22,0.3997,very_high,25.6,25.87,2,15
case_6,Gate In,Res.GateIn,2026-04-20 18:19:00,2026-04-20 18:19:00,2026-04-20 18:19:00,low,0.5,mixed,5.22,0.4791,T11,2,1,16.0,108.67,64.97,1,0.5661,0.847,0,low,0.603,0,T11,0.473,medium,18.83,11.95,2,8
case_3,RMG_receive,T26,2026-04-20 18:18:00,2026-04-20 18:20:00,2026-04-20 18:29:00,medium,1.0,receive,7.7,0.63,T21,1,1,2.0,144.6,135.3,0,0.4908,0.8115,0,top_3,0.5308,0,T21,0.4,high,12.8,11.5,1,5
case_7,Gate In,Res.GateIn,2026-04-20 18:20:00,2026-04-20 18:20:00,2026-04-20 18:20:00,very_high,1.0,receive,21.27,0.7568,MT,1,1,,151.5,135.5,0,0.52,0.7568,0,non_rmg,0.55,0,MT,0.4684,very_high,24.93,21.27,1,5
case_6,LL_delivery,LL,2026-04-20 18:19:00,2026-04-20 18:20:00,2026-04-20 18:34:00,low,0.5,mixed,5.22,0.4791,T11,2,1,16.0,108.67,64.97,1,0.5661,0.847,0,low,0.603,0,T11,0.473,medium,18.83,11.95,2,8
case_8,Gate In,Res.GateIn,2026-04-20 18:21:00,2026-04-20 18:21:00,2026-04-20 18:21:00,low,1.0,receive,31.83,0.47,VC,1,1,,196.83,136.08,0,0.6127,0.8727,0,non_rmg,0.6327,0,VC,0.47,very_high,31.83,39.17,1,5
case_9,Gate In,Res.GateIn,2026-04-20 18:21:00,2026-04-20 18:21:00,2026-04-20 18:21:00,high,1.0,receive,3.65,0.7,T20,1,1,5.0,73.08,71.15,0,0.56,0.9145,0,mid,0.6,0,T20,0.42,low,7.3,6.78,1,4
case_8,RMG_delivery,T06,2026-04-20 18:21:00,2026-04-20 18:22:00,2026-04-20 18:33:00,low,1.0,receive,31.83,0.47,VC,1,1,,196.83,136.08,0,0.6127,0.8727,0,non_rmg,0.6327,0,VC,0.47,very_high,31.83,39.17,1,5
case_10,Gate In,Res.GateIn,2026-04-20 18:22:00,2026-04-20 18:22:00,2026-04-20 18:22:00,low,1.0,mixed,3.53,0.4306,T06,2,1,15.0,35.43,30.37,1,0.61,0.8594,0,low,0.63,0,T06,0.4906,low,5.53,7.9,2,11
case_11,Gate In,Res.GateIn,2026-04-20 18:22:00,2026-04-20 18:22:00,2026-04-20 18:22:00,high,0.0,delivery,8.85,0.69,T26,1,0,7.0,150.75,116.3,1,0.5851,0.9149,0,mid,0.62,0,T26,0.4698,high,40.4,5.05,1,3
case_12,Gate In,Res.GateIn,2026-04-20 18:22:00,2026-04-20 18:22:00,2026-04-20 18:22:00,low,1.0,receive,10.73,0.2616,T09,1,1,20.0,171.0,127.0,0,0.55,0.8154,0,low,0.5646,0,T09,0.3846,high,32.2,22.07,1,4
case_7,RMG_delivery,T13,2026-04-20 18:20:00,2026-04-20 18:23:00,2026-04-20 18:35:00,very_high,1.0,receive,21.27,0.7568,MT,1,1,,151.5,135.5,0,0.52,0.7568,0,non_rmg,0.55,0,MT,0.4684,very_high,24.93,21.27,1,5
case_9,RMG_receive,T14,2026-04-20 18:21:00,2026-04-20 18:23:00,2026-04-20 18:45:00,high,1.0,receive,3.65,0.7,T20,1,1,5.0,73.08,71.15,0,0.56,0.9145,0,mid,0.6,0,T20,0.42,low,7.3,6.78,1,4
case_13,Gate In,Res.GateIn,2026-04-20 18:23:00,2026-04-20 18:23:00,2026-04-20 18:23:00,low,1.0,delivery,4.0,0.43,T06,1,0,12.0,38.0,32.0,1,0.61,0.86,0,low,0.63,0,T06,0.49,low,6.0,10.0,1,3
case_13,HO2_receive,HO2,2026-04-20 18:23:00,2026-04-20 18:23:00,2026-04-20 18:31:00,low,1.0,delivery,4.0,0.43,T06,1,0,12.0,38.0,32.0,1,0.61,0.86,0,low,0.63,0,T06,0.49,low,6.0,10.0,1,3
case_14,Gate In,Res.GateIn,2026-04-20 18:23:00,2026-04-20 18:23:00,2026-04-20 18:23:00,low,1.0,receive,30.17,0.4741,VC,1,1,,185.0,143.08,0,0.58,0.9,0,non_rmg,0.618,0,VC,0.4741,very_high,30.17,20.08,1,4
case_4,LL_receive,LL,2026-04-20 18:19:00,2026-04-20 18:24:00,2026-04-20 18:33:00,high,1.0,receive,6.27,0.6664,T15,1,1,9.0,148.17,119.4,0,0.5864,0.9136,0,mid,0.62,0,T15,0.4672,medium,34.2,5.57,1,5
case_10,LL_delivery,LL,2026-04-20 18:22:00,2026-04-20 18:24:00,2026-04-20 18:29:00,low,1.0,mixed,3.53,0.4306,T06,2,1,15.0,35.43,30.37,1,0.61,0.8594,0,low,0.63,0,T06,0.4906,low,5.53,7.9,2,11
case_12,RMG_receive,T19,2026-04-20 18:22:00,2026-04-20 18:24:00,2026-04-20 18:27:00,low,1.0,receive,10.73,0.2616,T09,1,1,20.0,171.0,127.0,0,0.55,0.8154,0,low,0.5646,0,T09,0.3846,high,32.2,22.07,1,4
case_15,Gate In,Res.GateIn,2026-04-20 18:24:00,2026-04-20 18:24:00,2026-04-20 18:24:00,very_high,0.0,delivery,23.88,0.8341,MT,1,0,,109.48,85.87,1,0.6159,0.8341,0,non_rmg,0.6359,0,MT,0.5259,very_high,15.57,23.88,1,3
case_14,LL_delivery,LL,2026-04-20 18:23:00,2026-04-20 18:24:00,2026-04-20 18:29:00,low,1.0,receive,30.17,0.4741,VC,1,1,,185.0,143.08,0,0.58,0.9,0,non_rmg,0.618,0,VC,0.4741,very_high,30.17,20.08,1,4
case_16,Gate In,Res.GateIn,2026-04-20 18:24:00,2026-04-20 18:24:00,2026-04-20 18:24:00,very_high,0.0,delivery,24.75,0.8334,MT,1,0,,114.7,92.2,1,0.5268,0.8334,0,non_rmg,0.5634,0,MT,0.42,very_high,12.55,24.75,1,3
case_17,Gate In,Res.GateIn,2026-04-20 18:24:00,2026-04-20 18:24:00,2026-04-20 18:24:00,high,1.0,receive,4.27,0.6637,T11,1,1,10.0,147.33,120.4,0,0.5868,0.9132,0,mid,0.62,0,T11,0.4663,low,32.2,5.73,1,5
case_18,Gate In,Res.GateIn,2026-04-20 18:25:00,2026-04-20 18:25:00,2026-04-20 18:25:00,high,1.0,receive,5.73,0.65,T16,1,1,8.0,98.97,52.2,0,0.59,0.7645,0,mid,0.6,0,T16,0.4655,medium,11.35,12.28,1,5
case_2,RMG_receive,T08,2026-04-20 18:17:00,2026-04-20 18:26:00,2026-04-20 18:30:00,high,1.0,delivery,9.9,0.6895,T11,1,0,11.0,182.6,152.45,1,0.6195,0.85,0,low,0.6395,0,T11,0.5286,high,24.1,27.17,1,4
