case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp,process_flow_type,visit_complexity,target_rank,target_area,has_reefer,n_receives,target_demand_bin,mt_utilization,target_demand,n_stops,rmg_demand,mt_demand,target_rank_group,vc_utilization,n_deliveries,rmg_utilization,target_utilization,vc_demand,gate_demand,gate_utilization,full_ratio,target_utilization_bin,has_hazardous,primary_target_area,n_containers
case_1,Gate In,Res.GateIn,2026-04-20 18:17:00,2026-04-20 18:17:00,2026-04-20 18:17:00,receive,4,17.0,T09,0,1,low,0.8179,3.42,1,77.33,19.0,low,0.524,0,0.62,0.5121,9.58,112.42,0.64,1.0,medium,0,T09,1
case_2,Gate In,Res.GateIn,2026-04-20 18:17:00,2026-04-20 18:17:00,2026-04-20 18:17:00,delivery,4,11.0,T11,0,0,high,0.85,9.9,1,152.45,27.17,low,0.5286,1,0.6195,0.6895,24.1,182.6,0.6395,1.0,high,0,T11,1
case_3,Gate In,Res.GateIn,2026-04-20 18:17:00,2026-04-20 18:17:00,2026-04-20 18:17:00,receive,5,2.0,T21,0,1,high,0.8115,7.7,1,135.3,11.5,top_3,0.4,0,0.4908,0.63,12.8,144.6,0.5308,1.0,medium,0,T21,1
case_4,Gate In,Res.GateIn,2026-04-20 18:17:00,2026-04-20 18:17:00,2026-04-20 18:17:00,receive,5,9.0,T15,0,1,medium,0.9136,6.27,1,119.4,5.57,mid,0.4672,0,0.5864,0.6664,34.2,148.17,0.62,1.0,high,0,T15,1
case_5,Gate In,Res.GateIn,2026-04-20 18:18:00,2026-04-20 18:18:00,2026-04-20 18:18:00,mixed,15,2.0,T22,0,1,very_high,0.75,13.47,1,115.47,25.87,top_3,0.3997,1,0.6,0.7497,25.6,173.53,0.5948,1.0,very_high,1,T22,2
case_5,RMG_mixed,T22,2026-04-20 18:18:00,2026-04-20 18:18:00,2026-04-20 18:23:00,mixed,15,2.0,T22,0,1,very_high,0.75,13.47,1,115.47,25.87,top_3,0.3997,1,0.6,0.7497,25.6,173.53,0.5948,1.0,very_high,1,T22,2
case_6,Gate In,Res.GateIn,2026-04-20 18:18:00,2026-04-20 18:18:00,2026-04-20 18:18:00,mixed,8,16.0,T11,0,1,medium,0.847,5.22,2,64.97,11.95,low,0.473,1,0.5661,0.4791,18.83,108.67,0.603,0.5,low,0,T11,2
case_1,RMG_receive,T09,2026-04-20 18:17:00,2026-04-20 18:19:00,2026-04-20 18:24:00,receive,4,17.0,T09,0,1,low,0.8179,3.42,1,77.33,19.0,low,0.524,0,0.62,0.5121,9.58,112.42,0.64,1.0,medium,0,T09,1
case_2,RMG_delivery,T11,2026-04-20 18:17:00,2026-04-20 18:19:00,2026-04-20 18:23:00,delivery,4,11.0,T11,0,0,high,0.85,9.9,1,152.45,27.17,low,0.5286,1,0.6195,0.6895,24.1,182.6,0.6395,1.0,high,0,T11,1
case_7,Gate In,Res.GateIn,2026-04-20 18:19:00,2026-04-20 18:19:00,2026-04-20 18:19:00,receive,5,,MT,0,1,very_high,0.7568,21.27,1,135.5,21.27,non_rmg,0.4684,0,0.52,0.7568,24.93,151.5,0.55,1.0,very_high,0,MT,1
case_8,Gate In,Res.GateIn,2026-04-20 18:19:00,2026-04-20 18:19:00,2026-04-20 18:19:00,receive,5,,VC,0,1,very_high,0.8727,31.83,1,136.08,39.17,non_rmg,0.47,0,0.6127,0.47,31.83,196.83,0.6327,1.0,low,0,VC,1
case_4,RMG_receive,T15,2026-04-20 18:17:00,2026-04-20 18:20:00,2026-04-20 18:56:00,receive,5,9.0,T15,0,1,medium,0.9136,6.27,1,119.4,5.57,mid,0.4672,0,0.5864,0.6664,34.2,148.17,0.62,1.0,high,0,T15,1
case_6,LL_delivery,LL,2026-04-20 18:18:00,2026-04-20 18:20:00,2026-04-20 18:29:00,mixed,8,16.0,T11,0,1,medium,0.847,5.22,2,64.97,11.95,low,0.473,1,0.5661,0.4791,18.83,108.67,0.603,0.5,low,0,T11,2
case_9,Gate In,Res.GateIn,2026-04-20 18:20:00,2026-04-20 18:20:00,2026-04-20 18:20:00,receive,4,5.0,T20,0,1,low,0.9145,3.65,1,71.15,6.78,mid,0.42,0,0.56,0.7,7.3,73.08,0.6,1.0,high,0,T20,1
case_10,Gate In,Res.GateIn,2026-04-20 18:20:00,2026-04-20 18:20:00,2026-04-20 18:20:00,mixed,11,15.0,T06,0,1,low,0.8594,3.53,2,30.37,7.9,low,0.4906,1,0.61,0.4306,5.53,35.43,0.63,1.0,low,0,T06,2
case_11,Gate In,Res.GateIn,2026-04-20 18:21:00,2026-04-20 18:21:00,2026-04-20 18:21:00,delivery,3,7.0,T26,0,0,high,0.9149,8.85,1,116.3,5.05,mid,0.4698,1,0.5851,0.69,40.4,150.75,0.62,0.0,high,0,T26,1
case_10,LL_delivery,LL,2026-04-20 18:20:00,2026-04-20 18:21:00,2026-04-20 18:25:00,mixed,11,15.0,T06,0,1,low,0.8594,3.53,2,30.37,7.9,low,0.4906,1,0.61,0.4306,5.53,35.43,0.63,1.0,low,0,T06,2
case_7,LL_receive,LL,2026-04-20 18:19:00,2026-04-20 18:22:00,2026-04-20 18:29:00,receive,5,,MT,0,1,very_high,0.7568,21.27,1,135.5,21.27,non_rmg,0.4684,0,0.52,0.7568,24.93,151.5,0.55,1.0,very_high,0,MT,1
case_9,LL_receive,LL,2026-04-20 18:20:00,2026-04-20 18:23:00,2026-04-20 18:27:00,receive,4,5.0,T20,0,1,low,0.9145,3.65,1,71.15,6.78,mid,0.42,0,0.56,0.7,7.3,73.08,0.6,1.0,high,0,T20,1
case_12,Gate In,Res.GateIn,2026-04-20 18:23:00,2026-04-20 18:23:00,2026-04-20 18:23:00,receive,4,20.0,T09,0,1,high,0.8154,10.73,1,127.0,22.07,low,0.3846,0,0.55,0.2616,32.2,171.0,0.5646,1.0,low,0,T09,1
case_13,Gate In,Res.GateIn,2026-04-20 18:23:00,2026-04-20 18:23:00,2026-04-20 18:23:00,delivery,3,12.0,T06,0,0,low,0.86,4.0,1,32.0,10.0,low,0.49,1,0.61,0.43,6.0,38.0,0.63,1.0,low,0,T06,1
case_14,Gate In,Res.GateIn,2026-04-20 18:23:00,2026-04-20 18:23:00,2026-04-20 18:23:00,receive,4,,VC,0,1,very_high,0.9,30.17,1,143.08,20.08,non_rmg,0.4741,0,0.58,0.4741,30.17,185.0,0.618,1.0,low,0,VC,1
case_15,Gate In,Res.GateIn,2026-04-20 18:24:00,2026-04-20 18:24:00,2026-04-20 18:24:00,delivery,3,,MT,0,0,very_high,0.8341,23.88,1,85.87,23.88,non_rmg,0.5259,1,0.6159,0.8341,15.57,109.48,0.6359,0.0,very_high,0,MT,1
case_16,Gate In,Res.GateIn,2026-04-20 18:24:00,2026-04-20 18:24:00,2026-04-20 18:24:00,delivery,3,,MT,0,0,very_high,0.8334,24.75,1,92.2,24.75,non_rmg,0.42,1,0.5268,0.8334,12.55,114.7,0.5634,0.0,very_high,0,MT,1
case_11,RMG_delivery,T26,2026-04-20 18:21:00,2026-04-20 18:25:00,2026-04-20 18:30:00,delivery,3,7.0,T26,0,0,high,0.9149,8.85,1,116.3,5.05,mid,0.4698,1,0.5851,0.69,40.4,150.75,0.62,0.0,high,0,T26,1
case_17,Gate In,Res.GateIn,2026-04-20 18:25:00,2026-04-20 18:25:00,2026-04-20 18:25:00,receive,5,10.0,T11,0,1,low,0.9132,4.27,1,120.4,5.73,mid,0.4663,0,0.5868,0.6637,32.2,147.33,0.62,1.0,high,0,T11,1
case_18,Gate In,Res.GateIn,2026-04-20 18:25:00,2026-04-20 18:25:00,2026-04-20 18:25:00,receive,5,8.0,T16,0,1,medium,0.7645,5.73,1,52.2,12.28,mid,0.4655,0,0.59,0.65,11.35,98.97,0.6,1.0,high,0,T16,1
case_16,LL_delivery,LL,2026-04-20 18:24:00,2026-04-20 18:26:00,2026-04-20 18:36:00,delivery,3,,MT,0,0,very_high,0.8334,24.75,1,92.2,24.75,non_rmg,0.42,1,0.5268,0.8334,12.55,114.7,0.5634,0.0,very_high,0,MT,1
case_18,RMG_receive,T16,2026-04-20 18:25:00,2026-04-20 18:26:00,2026-04-20 18:38:00,receive,5,8.0,T16,0,1,medium,0.7645,5.73,1,52.2,12.28,mid,0.4655,0,0.59,0.65,11.35,98.97,0.6,1.0,high,0,T16,1
case_2,Gate Out,Res.GateOut,2026-04-20 18:23:00,2026-04-20 18:27:00,2026-04-20 18:27:00,delivery,4,11.0,T11,0,0,high,0.85,9.9,1,152.45,27.17,low,0.5286,1,0.6195,0.6895,24.1,182.6,0.6395,1.0,high,0,T11,1
case_12,RMG_receive,T09,2026-04-20 18:23:00,2026-04-20 18:27:00,2026-04-20 18:40:00,receive,4,20.0,T09,0,1,high,0.8154,10.73,1,127.0,22.07,low,0.3846,0,0.55,0.2616,32.2,171.0,0.5646,1.0,low,0,T09,1
case_15,LL_delivery,LL,2026-04-20 18:24:00,2026-04-20 18:29:00,2026-04-20 18:35:00,delivery,3,,MT,0,0,very_high,0.8341,23.88,1,85.87,23.88,non_rmg,0.5259,1,0.6159,0.8341,15.57,109.48,0.6359,0.0,very_high,0,MT,1
case_19,Gate In,Res.GateIn,2026-04-20 18:29:00,2026-04-20 18:29:00,2026-04-20 18:29:00,receive,5,8.0,T25,0,1,low,0.82,2.9,1,37.5,12.27,mid,0.53,0,0.6291,0.7082,6.73,47.97,0.6491,1.0,high,0,T25,1
case_14,HO2_delivery,HO2,2026-04-20 18:23:00,2026-04-20 18:30:00,2026-04-20 18:42:00,receive,4,,VC,0,1,very_high,0.9,30.17,1,143.08,20.08,non_rmg,0.4741,0,0.58,0.4741,30.17,185.0,0.618,1.0,low,0,VC,1
case_20,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,mixed,13,2.0,T23,0,1,high,0.8222,8.35,1,126.55,19.75,top_3,0.5311,1,0.6289,0.7689,22.0,166.0,0.64,1.0,very_high,0,T23,2
case_21,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,receive,7,8.0,T19,1,1,low,0.8335,1.8,1,82.4,0.0,mid,0.5235,0,0.61,0.7135,17.8,71.2,0.6335,1.0,high,0,T19,1
case_22,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,delivery,4,3.0,T14,0,0,medium,0.74,6.17,1,120.3,32.5,top_3,0.4056,1,0.5444,0.6744,20.87,152.47,0.5544,1.0,high,0,T14,1
case_23,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,receive,5,12.0,T13,0,1,medium,0.87,4.6,1,122.4,37.2,low,0.35,0,0.45,0.458,36.0,185.0,0.508,1.0,low,0,T13,1
case_6,RMG_receive,T11,2026-04-20 18:29:00,2026-04-20 18:33:00,2026-04-20 18:37:00,mixed,8,16.0,T11,0,1,medium,0.847,5.22,2,64.97,11.95,low,0.473,1,0.5661,0.4791,18.83,108.67,0.603,0.5,low,0,T11,2
case_17,RMG_receive,T11,2026-04-20 18:25:00,2026-04-20 18:33:00,2026-04-20 18:42:00,receive,5,10.0,T11,0,1,low,0.9132,4.27,1,120.4,5.73,mid,0.4663,0,0.5868,0.6637,32.2,147.33,0.62,1.0,high,0,T11,1
case_22,RMG_delivery,T14,2026-04-20 18:30:00,2026-04-20 18:34:00,2026-04-20 18:38:00,delivery,4,3.0,T14,0,0,medium,0.74,6.17,1,120.3,32.5,top_3,0.4056,1,0.5444,0.6744,20.87,152.47,0.5544,1.0,high,0,T14,1
case_1,Gate Out,Res.GateOut,2026-04-20 18:24:00,2026-04-20 18:35:00,2026-04-20 18:35:00,receive,4,17.0,T09,0,1,low,0.8179,3.42,1,77.33,19.0,low,0.524,0,0.62,0.5121,9.58,112.42,0.64,1.0,medium,0,T09,1
