variant,n_cases,length
Gate In -> RMG_receive -> Gate Out,26657,3
Gate In -> RMG_delivery -> Gate Out,13637,3
Gate In -> RMG_mixed -> Gate Out,9368,3
Gate In -> HO2_delivery -> Gate Out,4787,3
Gate In -> LL_delivery -> Gate Out,4438,3
Gate In -> HO2_receive -> Gate Out,3317,3
Gate In -> LL_delivery -> RMG_receive -> Gate Out,2268,4
Gate In -> LL_mixed -> Gate Out,2082,3
Gate In -> HO2_mixed -> Gate Out,1473,3
Gate In -> LL_mixed -> RMG_receive -> Gate Out,793,4
Gate In -> LL_receive -> Gate Out,530,3
Gate In -> LL_mixed -> RMG_mixed -> Gate Out,381,4
Gate In -> HO2_delivery -> RMG_receive -> Gate Out,375,4
Gate In -> LL_delivery -> RMG_mixed -> Gate Out,368,4
Gate In -> LL_delivery -> HO2_receive -> Gate Out,228,4
Gate In -> RMG_delivery -> LL_receive -> Gate Out,133,4
Gate In -> LL_mixed -> HO2_receive -> Gate Out,61,4
Gate In -> HO2_mixed -> RMG_receive -> Gate Out,45,4
Gate In -> RMG_mixed -> LL_mixed -> Gate Out,43,4
Gate In -> RMG_delivery -> HO2_receive -> Gate Out,40,4
