case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp,rmg_demand,target_demand,target_rank_group,target_area,full_ratio,has_reefer,rmg_utilization,target_utilization_bin,mt_utilization,gate_demand,vc_demand,n_receives,gate_utilization,n_containers,process_flow_type,n_stops,primary_target_area,target_utilization,target_demand_bin,vc_utilization,target_rank,n_deliveries,mt_demand,visit_complexity,has_hazardous
case_1,Gate In,Res.GateIn,2026-04-20 18:17:00,2026-04-20 18:17:00,2026-04-20 18:17:00,77.33,3.42,low,T09,1.0,0,0.62,medium,0.8179,112.42,9.58,1,0.64,1,receive,1,T09,0.5121,low,0.524,17.0,0,19.0,4,0
case_2,Gate In,Res.GateIn,2026-04-20 18:17:00,2026-04-20 18:17:00,2026-04-20 18:17:00,152.45,9.9,low,T11,1.0,0,0.6195,high,0.85,182.6,24.1,0,0.6395,1,delivery,1,T11,0.6895,high,0.5286,11.0,1,27.17,4,0
case_3,Gate In,Res.GateIn,2026-04-20 18:17:00,2026-04-20 18:17:00,2026-04-20 18:17:00,135.3,7.7,top_3,T21,1.0,0,0.4908,medium,0.8115,144.6,12.8,1,0.5308,1,receive,1,T21,0.63,high,0.4,2.0,0,11.5,5,0
case_4,Gate In,Res.GateIn,2026-04-20 18:17:00,2026-04-20 18:17:00,2026-04-20 18:17:00,119.4,6.27,mid,T15,1.0,0,0.5864,high,0.9136,148.17,34.2,1,0.62,1,receive,1,T15,0.6664,medium,0.4672,9.0,0,5.57,5,0
case_5,Gate In,Res.GateIn,2026-04-20 18:18:00,2026-04-20 18:18:00,2026-04-20 18:18:00,115.47,13.47,top_3,T22,1.0,0,0.6,very_high,0.75,173.53,25.6,1,0.5948,2,mixed,1,T22,0.7497,very_high,0.3997,2.0,1,25.87,15,1
case_5,RMG_mixed,T22,2026-04-20 18:18:00,2026-04-20 18:18:00,2026-04-20 18:23:00,115.47,13.47,top_3,T22,1.0,0,0.6,very_high,0.75,173.53,25.6,1,0.5948,2,mixed,1,T22,0.7497,very_high,0.3997,2.0,1,25.87,15,1
case_6,Gate In,Res.GateIn,2026-04-20 18:18:00,2026-04-20 18:18:00,2026-04-20 18:18:00,64.97,5.22,low,T11,0.5,0,0.5661,low,0.847,108.67,18.83,1,0.603,2,mixed,2,T11,0.4791,medium,0.473,16.0,1,11.95,8,0
case_1,RMG_receive,T09,2026-04-20 18:17:00,2026-04-20 18:19:00,2026-04-20 18:24:00,77.33,3.42,low,T09,1.0,0,0.62,medium,0.8179,112.42,9.58,1,0.64,1,receive,1,T09,0.5121,low,0.524,17.0,0,19.0,4,0
case_2,RMG_delivery,T11,2026-04-20 18:17:00,2026-04-20 18:19:00,2026-04-20 18:23:00,152.45,9.9,low,T11,1.0,0,0.6195,high,0.85,182.6,24.1,0,0.6395,1,delivery,1,T11,0.6895,high,0.5286,11.0,1,27.17,4,0
case_7,Gate In,Res.GateIn,2026-04-20 18:19:00,2026-04-20 18:19:00,2026-04-20 18:19:00,135.5,21.27,non_rmg,MT,1.0,0,0.52,very_high,0.7568,151.5,24.93,1,0.55,1,receive,1,MT,0.7568,very_high,0.4684,,0,21.27,5,0
