case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp,n_deliveries,has_reefer,has_hazardous,vc_utilization,target_rank_group,target_utilization,gate_demand,n_receives,target_rank,visit_complexity,mt_demand,full_ratio,rmg_demand,target_utilization_bin,rmg_utilization,target_area,target_demand,n_containers,process_flow_type,primary_target_area,n_stops,vc_demand,target_demand_bin,mt_utilization,gate_utilization
case_1,Gate In,Res.GateIn,2026-04-20 18:17:00,2026-04-20 18:17:00,2026-04-20 18:17:00,0,0,0,0.524,low,0.5121,112.42,1,17.0,4,19.0,1.0,77.33,medium,0.62,T09,3.42,1,receive,T09,1,9.58,low,0.8179,0.64
case_2,Gate In,Res.GateIn,2026-04-20 18:17:00,2026-04-20 18:17:00,2026-04-20 18:17:00,1,0,0,0.5286,low,0.6895,182.6,0,11.0,4,27.17,1.0,152.45,high,0.6195,T11,9.9,1,delivery,T11,1,24.1,high,0.85,0.6395
case_3,Gate In,Res.GateIn,2026-04-20 18:17:00,2026-04-20 18:17:00,2026-04-20 18:17:00,0,0,0,0.4,top_3,0.63,144.6,1,2.0,5,11.5,1.0,135.3,medium,0.4908,T21,7.7,1,receive,T21,1,12.8,high,0.8115,0.5308
case_4,Gate In,Res.GateIn,2026-04-20 18:17:00,2026-04-20 18:17:00,2026-04-20 18:17:00,0,0,0,0.4672,mid,0.6664,148.17,1,9.0,5,5.57,1.0,119.4,high,0.5864,T15,6.27,1,receive,T15,1,34.2,medium,0.9136,0.62
case_5,Gate In,Res.GateIn,2026-04-20 18:18:00,2026-04-20 18:18:00,2026-04-20 18:18:00,1,0,1,0.3997,top_3,0.7497,173.53,1,2.0,15,25.87,1.0,115.47,very_high,0.6,T22,13.47,2,mixed,T22,1,25.6,very_high,0.75,0.5948
case_6,Gate In,Res.GateIn,2026-04-20 18:18:00,2026-04-20 18:18:00,2026-04-20 18:18:00,1,0,0,0.473,low,0.4791,108.67,1,16.0,8,11.95,0.5,64.97,low,0.5661,T11,5.22,2,mixed,T11,2,18.83,medium,0.847,0.603
case_5,RMG_mixed,T22,2026-04-20 18:18:00,2026-04-20 18:19:00,2026-04-20 18:51:00,1,0,1,0.3997,top_3,0.7497,173.53,1,2.0,15,25.87,1.0,115.47,very_high,0.6,T22,13.47,2,mixed,T22,1,25.6,very_high,0.75,0.5948
case_7,Gate In,Res.GateIn,2026-04-20 18:19:00,2026-04-20 18:19:00,2026-04-20 18:19:00,0,0,0,0.4684,non_rmg,0.7568,151.5,1,,5,21.27,1.0,135.5,very_high,0.52,MT,21.27,1,receive,MT,1,24.93,very_high,0.7568,0.55
case_6,RMG_delivery,T11,2026-04-20 18:18:00,2026-04-20 18:19:00,2026-04-20 18:42:00,1,0,0,0.473,low,0.4791,108.67,1,16.0,8,11.95,0.5,64.97,low,0.5661,T11,5.22,2,mixed,T11,2,18.83,medium,0.847,0.603
case_8,Gate In,Res.GateIn,2026-04-20 18:19:00,2026-04-20 18:19:00,2026-04-20 18:19:00,0,0,0,0.47,non_rmg,0.47,196.83,1,,5,39.17,1.0,136.08,low,0.6127,VC,31.83,1,receive,VC,1,31.83,very_high,0.8727,0.6327
