activity,service_mean,service_std,service_median,service_min,service_max,service_count
Gate In,0.0,0.0,0.0,0.0,0.0,24000
Gate Out,0.0,0.0,0.0,0.0,0.0,24000
HO2_delivery,9.752595155709342,9.667328756363947,6.0,0.0,79.0,1734
HO2_mixed,19.775384615384617,12.987757913562362,17.0,1.0,71.0,650
HO2_receive,16.857992565055763,12.37318952487725,13.0,2.0,93.0,1345
LL_delivery,10.129773822766037,8.999043725450717,7.0,1.0,61.0,2697
LL_mixed,9.224023581429623,7.408687407488303,7.0,1.0,49.0,1357
LL_receive,10.276859504132231,7.73166998233875,8.0,2.0,48.0,242
RMG_delivery,8.529464087169224,8.382616281801203,6.0,0.0,88.0,4497
RMG_mixed,14.920174958993986,12.681386969694215,11.0,1.0,111.0,3658
RMG_receive,11.905697253982215,10.47354304258859,9.0,1.0,107.0,10233
