resource,waiting_mean,waiting_std,waiting_median,waiting_min,waiting_max,waiting_count
HO2,13.43029490616622,19.712715012321315,5.15,0.0,157.15,3730
LL,2.8756440099317198,4.84546198102333,2.2333333333333334,0.0,80.23333333333333,4296
Res.GateIn,3.5865448782115448,5.0018866117777705,2.0,0.0,69.0,23976
Res.GateOut,8.072344566789011,16.51273587530828,3.3833333333333333,0.0,242.79333333333335,23976
T06,8.92713567839196,13.142568350628354,3.5,0.0,94.5,796
T07,6.75216049382716,10.915687870760776,2.6166666666666667,0.0,61.61666666666667,702
T08,9.957112375533429,19.881361294916594,2.55,0.0,207.55,703
T09,7.625718575718576,12.31543405316842,3.4833333333333334,0.0,114.48333333333333,777
T10,7.953578991952563,16.69055381297245,2.3833333333333333,0.0,120.38333333333334,787
T11,9.44819182389937,14.289823922892495,3.283333333333333,0.0,99.28333333333333,848
T12,4.936902173913042,8.066264715108113,2.283333333333333,0.0,61.28333333333333,920
T13,13.937040498442368,23.643421941553967,4.116666666666666,0.0,175.11666666666667,1070
T14,6.552034428794991,12.49778482334886,2.0833333333333335,0.0,115.08333333333333,1065
T15,5.800542740841248,8.121840146055463,3.0,0.0,66.0,737
T16,8.748844221105527,15.273917027984112,2.925,0.0,157.925,995
T17,8.76565445026178,14.86958666099122,3.7333333333333334,0.0,114.0,955
T18,7.778377777777777,13.093962259938408,2.816666666666667,0.0,87.81666666666666,750
T19,8.955247376311844,11.96434806577253,3.783333333333333,0.0,68.78333333333333,667
T20,5.658678286129267,9.800342061517076,2.7333333333333334,0.0,88.73333333333333,918
T21,5.159152421652421,8.592611016023248,2.6166666666666667,0.0,81.0,936
T22,5.1338804220398595,8.95167571309717,2.55,0.0,74.55,853
T23,7.046491228070176,15.710940262459594,2.5166666666666666,0.0,174.51666666666668,874
T24,5.215079365079365,8.389985061507888,2.433333333333333,0.0,64.43333333333334,1008
T25,5.906813063063063,8.300622259564973,3.283333333333333,0.0,52.28333333333333,592
T26,7.730202898550725,15.437717468432977,3.1333333333333333,0.0,180.13333333333333,575
T27,6.112631578947368,11.142951176014796,3.1,0.0,115.1,855
