resource,mean,distribution,params
T14,8.25587958607714,constant,
T24,8.488647581441263,constant,
T13,13.52692998204668,constant,
Res.GateIn,0.0,constant,
T16,9.45937813440321,constant,
T15,9.427341227125941,constant,
T17,10.642857142857142,constant,
T20,8.853871319520174,constant,
T21,7.773274917853231,constant,
T27,11.115074798619103,constant,
T12,7.742117117117117,constant,
HO2,13.252611324903793,constant,
T23,8.80209545983702,constant,
LL,4.396628656420426,constant,
T22,8.202352941176471,constant,
T18,10.094899169632265,constant,
T11,12.385265700483092,constant,
T10,10.932367149758454,constant,
T09,10.605527638190955,constant,
T06,11.988693467336683,constant,
T07,9.903225806451612,constant,
T08,,constant,
T19,,constant,
T26,12.046031746031746,constant,
T25,10.497983870967742,constant,
Res.GateOut,37.43295833333333,constant,
