activity,mean,distribution,params,empirical_mean,empirical_std,empirical_median,fitted_mean,difference
LL_receive,10.39922480620155,constant,,10.51,8.57,8.0,10.39922480620155,-0.11
HO2_mixed,19.485809682804675,constant,,19.86,13.15,17.0,19.485809682804675,-0.37
LL_mixed,9.133814102564102,constant,,9.26,7.5,7.0,9.133814102564102,-0.13
HO2_delivery,9.565804274465691,constant,,9.84,9.97,6.0,9.565804274465691,-0.27
HO2_receive,16.591593973037273,constant,,17.01,13.0,13.0,16.591593973037273,-0.42
LL_delivery,10.001186708860759,constant,,10.19,9.2,7.0,10.001186708860759,-0.19
Gate Out,0.0,constant,,0.0,0.0,0.0,0.0,0.0
Gate In,0.0,constant,,0.0,0.0,0.0,0.0,0.0
RMG_mixed,14.268673050615595,constant,,15.05,13.27,11.0,14.268673050615595,-0.78
RMG_delivery,8.339634801288936,constant,,8.63,8.9,6.0,8.339634801288936,-0.29
RMG_receive,11.635738498789346,constant,,12.02,11.05,9.0,11.635738498789346,-0.38
