resource,mean,distribution,params,empirical_mean,empirical_std,empirical_median,fitted_mean,difference
T14,8.25587958607714,constant,,6.34,14.14,2.08,8.25587958607714,1.92
T24,8.488647581441263,constant,,5.02,9.51,2.43,8.488647581441263,3.47
T13,13.52692998204668,constant,,14.0,25.17,4.12,13.52692998204668,-0.47
Res.GateIn,0.0,constant,,3.71,6.48,2.0,0.0,-3.71
T16,9.45937813440321,constant,,8.7,16.59,2.92,9.45937813440321,0.76
T15,9.427341227125941,constant,,5.7,8.87,3.0,9.427341227125941,3.73
T17,10.642857142857142,constant,,8.53,15.81,3.73,10.642857142857142,2.11
T20,8.853871319520174,constant,,5.54,10.96,2.73,8.853871319520174,3.31
T21,7.773274917853231,constant,,4.94,9.58,2.62,7.773274917853231,2.83
T27,11.115074798619103,constant,,6.06,12.55,3.1,11.115074798619103,5.06
T12,7.742117117117117,constant,,4.46,9.74,2.28,7.742117117117117,3.28
HO2,13.252611324903793,constant,,13.1,20.97,5.15,13.252611324903793,0.15
T23,8.80209545983702,constant,,6.69,17.34,2.52,8.80209545983702,2.11
LL,4.396628656420426,constant,,2.64,6.79,2.23,4.396628656420426,1.76
T22,8.202352941176471,constant,,4.98,9.58,2.55,8.202352941176471,3.22
T18,10.094899169632265,constant,,7.49,14.44,2.82,10.094899169632265,2.6
T11,12.385265700483092,constant,,9.28,14.98,3.28,12.385265700483092,3.11
T10,10.932367149758454,constant,,7.75,17.59,2.38,10.932367149758454,3.18
T09,10.605527638190955,constant,,7.46,14.17,3.48,10.605527638190955,3.15
T06,11.988693467336683,constant,,8.76,13.81,3.5,11.988693467336683,3.23
T07,9.903225806451612,constant,,6.63,11.42,2.62,9.903225806451612,3.27
T08,,constant,,9.94,22.38,2.78,,
T19,,constant,,9.11,17.92,3.78,,
T26,12.046031746031746,constant,,7.78,17.52,3.13,12.046031746031746,4.27
T25,10.497983870967742,constant,,5.7,9.23,3.28,10.497983870967742,4.8
Res.GateOut,37.43295833333333,constant,,8.27,18.65,3.38,37.43295833333333,29.16
