FAHRPLAN_ANLAUFPUNKT_UID;FAHRPLAN_UID;FAHRPLAN_ID;LKW_KENNZEICHEN;ANLAUFPUNKT_SEQUENZNUMMER;ALP_IST_ERSTER_ALP;ALP_IST_LETZTER_ALP;ANLAUFPUNKT_UID;ANLAUFPUNKT_NAME;ANLAUFPUNKT_HALTESTELLE;ANLAUFPUNKT_SPUR;ANLAUFPUNKT_LAGERBEREICH;FP_ZEITPUNKT_ERSTELLUNG;ALP_ZEITPUNKT_BEREITMELDUNG;ALP_ZEITPUNKT_ERFUELLUNG;FP_ZEITPUNKT_GATEOUT;FP_DAUER_GATEIN_ERSTER_ALP_SEK;ALP_DAUER_ABFERTIGUNG_SEK;ALP_DAUER_NAECHSTER_ALP_SEK;FP_DAUER_LETZT_ALP_GATEOUT_SEK;FP_DAUER_GATEIN_GATEOUT_SEK;LETZTE_AKTUALISIERUNG;FAHRPLAN_HALTESTELLEN_LISTE;ANLAUFPUNKT_AUFTRAG_LISTE;ANLAUFPUNKT_ANZAHL_CONTAINER;TruckVisitGkey;container_id
TP_14873742603_TPS_18103732603;TP_14873742603;577149;6056b615e375e20d0463aa239d1d90cfa894675fc3445f95e03f64cabaac5d78;2,03E+28;1;1;TPS_18103732603;T14.03.01;T14;3.0;RMG;2026-03-02 05:34:00;2026-03-02 05:43:00;2026-03-02 05:54:00;2026-03-02 06:00:00;510.0;650.0;;381.0;1541.0;02.03.2026 07:06;T14;2cb5ed72-15f1-11f1-bad4-5beaa67f3e09,2cc13dbc-15f1-11f1-bad5-7701b5968268;2;;
TP_14875052603_TPS_18128802603;TP_14875052603;309349;cbbbe15c4e89c706d8ddd2f9e5bebe170129c1c5a3c443bb46821bd39980c1f1;2,03E+28;0;1;TPS_18128802603;T24.04.01;T24;4.0;RMG;2026-03-02 06:22:00;2026-03-02 07:28:00;2026-03-02 07:32:00;2026-03-02 07:40:00;;264.0;;433.0;4624.0;02.03.2026 08:35;LL, T24;e0d95482-15f7-11f1-979e-776c1c0db9a3;1;;
TP_14875052603_20260302071903000000022863785;TP_14875052603;309349;cbbbe15c4e89c706d8ddd2f9e5bebe170129c1c5a3c443bb46821bd39980c1f1;2,03E+28;1;0;2,03E+28;LL;LL;;Leerlager;2026-03-02 06:22:00;2026-03-02 06:26:00;2026-03-02 07:19:00;2026-03-02 07:40:00;234.0;3130.0;563.0;;;02.03.2026 08:35;LL, T24;70a4fac9-15ff-11f1-92ae-738a4550e387;1;;
TP_14877722603_TPS_18126432603;TP_14877722603;280690;653273f2836e18d702f133ad6042177a9987a2600d0afa3337a5319105dde4af;2,03E+28;1;1;TPS_18126432603;T18.03.01;T18;3.0;RMG;2026-03-02 07:21:00;2026-03-02 07:27:00;2026-03-02 07:39:00;2026-03-02 07:44:00;317.0;710.0;;335.0;1362.0;02.03.2026 08:35;T18;1f1ccc76-1600-11f1-a46f-23c1a7f8b142,1f29ed5c-1600-11f1-a470-27c143736181;2;;
TP_14878612603_TPS_18135232603;TP_14878612603;320885;71f9c1995abebfc4fd82647bfd6f9880ff961020acf8365aaf2ba10f0688974d;2,03E+28;1;1;TPS_18135232603;T09.03.01;T09;3.0;RMG;2026-03-02 09:33:00;2026-03-02 09:39:00;2026-03-02 09:43:00;2026-03-02 09:47:00;310.0;286.0;;187.0;783.0;02.03.2026 10:35;T09;9002b6f0-1612-11f1-be54-23404a4af49a;1;;
TP_14878982603_TPS_18132332603;TP_14878982603;420111;a7a430f910a88ff9ede607540edb518408048c3d8db9f16c170868785df67c75;2,03E+28;1;1;TPS_18132332603;T10.01.01;T10;1.0;RMG;2026-03-02 09:19:00;2026-03-02 09:23:00;2026-03-02 09:29:00;2026-03-02 09:33:00;237.0;340.0;;218.0;795.0;02.03.2026 10:35;T10;9ae6b3f2-1610-11f1-ba8d-6bc4f1509806;1;;
TP_14881052603_TPS_18134602603;TP_14881052603;859292;8de5e82bcd5535fbe6e56ab005a7fae5d169875c4999b8b691fae650d73f1a25;2,03E+28;0;1;TPS_18134602603;HO2.28;HO2;28.0;VC;2026-03-02 11:35:00;2026-03-02 11:51:00;2026-03-02 11:56:00;2026-03-02 12:06:00;;270.0;;601.0;1846.0;02.03.2026 13:06;HO2, T19;81c1757a-1623-11f1-b875-5f0af37075fb;1;1924452785;
TP_14881662603_TPS_18140412603;TP_14881662603;299212;0d1448fd49fafdd914b913582dc19a4f5f0eee608634a9601e449161ba3ff61f;2,03E+28;1;1;TPS_18140412603;T09.03.01;T09;3.0;RMG;2026-03-02 10:58:00;2026-03-02 11:02:00;2026-03-02 11:33:00;2026-03-02 11:37:00;238.0;1842.0;;237.0;2317.0;02.03.2026 12:35;T09;6f2b273a-161e-11f1-ad27-7f5db4e3b789;1;;
TP_14881972603_TPS_18140782603;TP_14881972603;444986;77efadcadd740e08a8dfbc342818cc83b4c12ac3385108e4d461490ea72d135d;2,03E+28;0;1;TPS_18140782603;T27.03.01;T27;3.0;RMG;2026-03-02 11:40:00;2026-03-02 12:15:00;2026-03-02 12:24:00;2026-03-02 12:31:00;;501.0;;427.0;3014.0;02.03.2026 13:35;HO2, T27;4debd956-1624-11f1-b9d7-4786734ad894;1;;
TP_14881972603_TPS_18140772603;TP_14881972603;444986;77efadcadd740e08a8dfbc342818cc83b4c12ac3385108e4d461490ea72d135d;2,03E+28;1;0;TPS_18140772603;HO2.25;HO2;25.0;VC;2026-03-02 11:40:00;2026-03-02 11:54:00;2026-03-02 11:58:00;2026-03-02 12:31:00;794.0;238.0;1054.0;;;02.03.2026 13:35;HO2, T27;4ddd95d0-1624-11f1-b9d6-572c3f21225d;1;;
TP_14883882603_TPS_18136712603;TP_14883882603;284372;42c99caae47de8dbf7c6eda914f0bb4fcad63231a6af565a8b752ea09ffe127d;2,03E+28;1;1;TPS_18136712603;T25.02.01;T25;2.0;RMG;2026-03-02 10:37:00;2026-03-02 10:46:00;2026-03-02 10:49:00;2026-03-02 11:49:00;519.0;199.0;;3594.0;4312.0;02.03.2026 12:35;T25;8049f51c-161b-11f1-ae6b-a31cc7cc61ec;1;;
TP_14884332603_TPS_18134382603;TP_14884332603;880286;586a38249c340c86f6b13acd10e5c4e8fc5257a01ad38374b7303dbb26dcfd65;2,03E+28;1;1;TPS_18134382603;T14.01.01;T14;1.0;RMG;2026-03-02 11:31:00;2026-03-02 11:36:00;2026-03-02 12:09:00;2026-03-02 12:16:00;255.0;1987.0;;408.0;2650.0;02.03.2026 13:06;T14;0b336544-1623-11f1-b7e3-af054c85a511,0b4018d4-1623-11f1-b7e4-5fa350b2e5f0;2;;
TP_14884392603_TPS_18134472603;TP_14884392603;971553;ac043b0adeda937f6050f5fc0fa77305882f068bee01fc4aa6255f00ed860a83;2,03E+28;1;1;TPS_18134472603;T20.02.01;T20;2.0;RMG;2026-03-02 11:32:00;2026-03-02 11:53:00;2026-03-02 12:06:00;2026-03-02 12:13:00;1237.0;790.0;;400.0;2427.0;02.03.2026 13:06;T20;2f1c0c7c-1623-11f1-b802-533717b642c9,2f291e08-1623-11f1-b803-477a94633621;2;;
TP_14885182603_TPS_18134852603;TP_14885182603;259811;41790ad31ba2700dbbbd80f1b075585a88a7bc4d59893ec117be3ce5b008da66;2,03E+28;1;1;TPS_18134852603;T13.03.01;T13;3.0;RMG;2026-03-02 12:21:00;2026-03-02 12:25:00;2026-03-02 12:33:00;2026-03-02 12:38:00;227.0;482.0;;301.0;1010.0;02.03.2026 13:35;T13;07c91c30-162a-11f1-b3f6-3f81ce50f54a;1;;
TP_14885812603_TPS_18147082603;TP_14885812603;464439;b97fe94c29612430a1f97e0aa0161631a49272fc8eedce39254f303889ba8429;2,03E+28;1;1;TPS_18147082603;T07.03.01;T07;3.0;RMG;2026-03-02 14:58:00;2026-03-02 15:11:00;2026-03-02 15:16:00;2026-03-02 15:22:00;773.0;260.0;;377.0;1410.0;02.03.2026 16:05;T07;f67a0c30-163f-11f1-9315-b7ba0f62876a;1;;
TP_14886542603_TPS_18134942603;TP_14886542603;669626;1d79ba426b897fe175d268d5ff272c1dbb3b34e958da78750159ed688f4df2ad;2,03E+28;0;1;TPS_18134942603;HO2.22;HO2;22.0;VC;2026-03-02 12:24:00;2026-03-02 13:36:00;2026-03-02 13:39:00;2026-03-02 13:47:00;;150.0;;493.0;4954.0;02.03.2026 14:35;HO2, T09, T20;689fc856-162a-11f1-b43f-3b083d0f1fa1;1;1924732549;
