seed,demand_multiplier,baseline_mean_turnaround_min,scenario_mean_turnaround_min,delta_mean_turnaround_min,baseline_median_turnaround_min,scenario_median_turnaround_min,delta_median_turnaround_min,baseline_p90_turnaround_min,scenario_p90_turnaround_min,delta_p90_turnaround_min,baseline_mean_rmg_service_min,scenario_mean_rmg_service_min,delta_mean_rmg_service_min,baseline_median_rmg_service_min,scenario_median_rmg_service_min,delta_median_rmg_service_min,baseline_p90_rmg_service_min,scenario_p90_rmg_service_min,delta_p90_rmg_service_min,baseline_mean_rmg_pre_service_min,scenario_mean_rmg_pre_service_min,delta_mean_rmg_pre_service_min,baseline_median_rmg_pre_service_min,scenario_median_rmg_pre_service_min,delta_median_rmg_pre_service_min,baseline_p90_rmg_pre_service_min,scenario_p90_rmg_pre_service_min,delta_p90_rmg_pre_service_min,baseline_rmg_events,scenario_rmg_events,delta_rmg_events,baseline_rmg_receive_events,scenario_rmg_receive_events,delta_rmg_receive_events,baseline_mean_rmg_receive_service_min,scenario_mean_rmg_receive_service_min,delta_mean_rmg_receive_service_min,baseline_median_rmg_receive_service_min,scenario_median_rmg_receive_service_min,delta_median_rmg_receive_service_min,baseline_p90_rmg_receive_service_min,scenario_p90_rmg_receive_service_min,delta_p90_rmg_receive_service_min,baseline_mean_rmg_receive_pre_service_min,scenario_mean_rmg_receive_pre_service_min,delta_mean_rmg_receive_pre_service_min,baseline_median_rmg_receive_pre_service_min,scenario_median_rmg_receive_pre_service_min,delta_median_rmg_receive_pre_service_min,baseline_p90_rmg_receive_pre_service_min,scenario_p90_rmg_receive_pre_service_min,delta_p90_rmg_receive_pre_service_min,baseline_rmg_delivery_events,scenario_rmg_delivery_events,delta_rmg_delivery_events,baseline_mean_rmg_delivery_service_min,scenario_mean_rmg_delivery_service_min,delta_mean_rmg_delivery_service_min,baseline_median_rmg_delivery_service_min,scenario_median_rmg_delivery_service_min,delta_median_rmg_delivery_service_min,baseline_p90_rmg_delivery_service_min,scenario_p90_rmg_delivery_service_min,delta_p90_rmg_delivery_service_min,baseline_mean_rmg_delivery_pre_service_min,scenario_mean_rmg_delivery_pre_service_min,delta_mean_rmg_delivery_pre_service_min,baseline_median_rmg_delivery_pre_service_min,scenario_median_rmg_delivery_pre_service_min,delta_median_rmg_delivery_pre_service_min,baseline_p90_rmg_delivery_pre_service_min,scenario_p90_rmg_delivery_pre_service_min,delta_p90_rmg_delivery_pre_service_min,baseline_mean_inter_arrival_min,scenario_mean_inter_arrival_min,delta_mean_inter_arrival_min,baseline_zero_inter_arrival_share,scenario_zero_inter_arrival_share,delta_zero_inter_arrival_share,baseline_arrival_rate_per_elapsed_hour,scenario_arrival_rate_per_elapsed_hour,delta_arrival_rate_per_elapsed_hour
42,1.2,32.33,32.509166666666665,0.17916666666666714,28.0,28.0,0.0,55.0,55.0,0.0,10.878985035783995,11.433839479392624,0.5548544436086296,8.0,9.0,1.0,22.0,23.0,1.0,7.758620689655173,8.476138828633406,0.7175181389782335,5.0,6.0,1.0,18.0,20.0,2.0,1537.0,1844.0,307.0,933.0,1103.0,170.0,10.781350482315112,11.832275611967361,1.0509251296522493,8.0,9.0,1.0,21.0,23.0,2.0,7.739549839228296,8.382592928377154,0.6430430891488577,5.0,6.0,1.0,18.0,19.0,1.0,498.0,612.0,114.0,9.126506024096386,9.093137254901961,-0.033368769194424885,7.0,6.0,-1.0,18.30000000000001,18.899999999999977,0.5999999999999659,7.931726907630522,8.854575163398692,0.9228482557681703,5.0,6.0,1.0,18.0,22.0,4.0,0.6423211605802901,0.5339724885368904,-0.10834867204339971,0.5652826413206603,0.6227594831179658,0.0574768417973055,93.41121495327103,112.36533957845434,18.95412462518331
42,1.5,32.33,32.01533333333333,-0.31466666666666754,28.0,28.0,0.0,55.0,54.0,-1.0,10.878985035783995,10.784728213977568,-0.09425682180642703,8.0,8.0,0.0,22.0,22.0,0.0,7.758620689655173,8.027610008628129,0.26898931897295597,5.0,5.0,0.0,18.0,19.0,1.0,1537.0,2318.0,781.0,933.0,1375.0,442.0,10.781350482315112,11.097454545454545,0.3161040631394325,8.0,8.0,0.0,21.0,22.0,1.0,7.739549839228296,8.169454545454546,0.42990470622624954,5.0,5.0,0.0,18.0,20.0,2.0,498.0,776.0,278.0,9.126506024096386,8.408505154639176,-0.7180008694572102,7.0,6.0,-1.0,18.30000000000001,17.0,-1.3000000000000114,7.931726907630522,7.844072164948454,-0.08765474268206841,5.0,5.0,0.0,18.0,18.0,0.0,0.6423211605802901,0.4448149383127709,-0.19750622226751918,0.5652826413206603,0.6665555185061687,0.10127287718550837,93.41121495327103,134.88755622188904,41.476341268618015
42,2.0,32.33,31.93475,-0.3952499999999972,28.0,28.0,0.0,55.0,54.0,-1.0,10.878985035783995,10.978360655737704,0.09937561995370991,8.0,8.0,0.0,22.0,22.0,0.0,7.758620689655173,7.969180327868853,0.21055963821368007,5.0,5.0,0.0,18.0,18.0,0.0,1537.0,3050.0,1513.0,933.0,1805.0,872.0,10.781350482315112,11.334072022160665,0.5527215398455532,8.0,9.0,1.0,21.0,22.0,1.0,7.739549839228296,8.02825484764543,0.28870500841713387,5.0,5.0,0.0,18.0,18.0,0.0,498.0,1012.0,514.0,9.126506024096386,8.644268774703557,-0.4822372493928295,7.0,6.0,-1.0,18.30000000000001,17.0,-1.3000000000000114,7.931726907630522,7.866600790513834,-0.06512611711668814,5.0,5.0,0.0,18.0,18.0,0.0,0.6423211605802901,0.34508627156789196,-0.29723488901239814,0.5652826413206603,0.7186796699174793,0.15339702859681903,93.41121495327103,173.8695652173913,80.45835026412028
42,2.4,32.33,32.107083333333335,-0.22291666666666288,28.0,28.0,0.0,55.0,54.0,-1.0,10.878985035783995,11.034078516902945,0.15509348111894994,8.0,8.5,0.5,22.0,22.0,0.0,7.758620689655173,8.189749182115595,0.43112849246042195,5.0,6.0,1.0,18.0,19.0,1.0,1537.0,3668.0,2131.0,933.0,2187.0,1254.0,10.781350482315112,11.279835390946502,0.49848490863139006,8.0,9.0,1.0,21.0,22.0,1.0,7.739549839228296,8.323273891175125,0.5837240519468292,5.0,5.0,0.0,18.0,19.0,1.0,498.0,1206.0,708.0,9.126506024096386,9.076285240464346,-0.05022078363204052,7.0,7.0,0.0,18.30000000000001,18.0,-0.30000000000001137,7.931726907630522,7.9950248756218905,0.06329796799136833,5.0,6.0,1.0,18.0,19.0,1.0,0.6423211605802901,0.2844342571369035,-0.3578869034433866,0.5652826413206603,0.7599499895811628,0.19466734826050247,93.41121495327103,210.94505494505495,117.53383999178392
42,3.0,32.33,32.2135,-0.11649999999999494,28.0,28.0,0.0,55.0,54.0,-1.0,10.878985035783995,11.196963123644252,0.31797808786025783,8.0,8.0,0.0,22.0,22.0,0.0,7.758620689655173,8.076789587852495,0.31816889819732275,5.0,6.0,1.0,18.0,19.0,1.0,1537.0,4610.0,3073.0,933.0,2763.0,1830.0,10.781350482315112,11.485703944987332,0.7043534626722199,8.0,9.0,1.0,21.0,22.0,1.0,7.739549839228296,8.099529496923633,0.35997965769533735,5.0,6.0,1.0,18.0,19.0,1.0,498.0,1515.0,1017.0,9.126506024096386,8.90957095709571,-0.21693506700067644,7.0,7.0,0.0,18.30000000000001,17.0,-1.3000000000000114,7.931726907630522,8.076567656765677,0.1448407491351551,5.0,5.0,0.0,18.0,19.0,1.0,0.6423211605802901,0.23487247874645775,-0.4074486818338323,0.5652826413206603,0.7921320220036673,0.22684938068300697,93.41121495327103,255.45777146912704,162.04655651585603
43,1.2,31.6765,31.964166666666667,0.2876666666666665,27.0,27.0,0.0,53.0,54.09999999999991,1.099999999999909,10.776892430278885,10.938014262205156,0.1611218319262715,8.0,8.0,0.0,20.0,22.0,2.0,8.231075697211155,8.007679648930335,-0.22339604828082038,6.0,5.0,-1.0,19.0,18.0,-1.0,1506.0,1823.0,317.0,925.0,1116.0,191.0,10.97945945945946,11.080645161290322,0.10118570183086284,9.0,8.0,-1.0,20.0,21.5,1.5,8.205405405405406,7.812724014336918,-0.3926813910684883,5.0,5.0,0.0,19.0,18.0,-1.0,474.0,570.0,96.0,8.459915611814345,9.029824561403508,0.5699089495891627,6.0,6.0,0.0,16.0,17.0,1.0,8.158227848101266,8.212280701754386,0.05405285365312018,6.0,5.0,-1.0,19.0,18.0,-1.0,0.7048524262131065,0.5685702375989996,-0.1362821886141069,0.545272636318159,0.6098374322634431,0.06456479594528408,85.12420156139106,105.52785923753666,20.4036576761456
43,1.5,31.6765,32.24766666666667,0.5711666666666666,27.0,28.0,1.0,53.0,54.0,1.0,10.776892430278885,11.126492702344095,0.34960027206521005,8.0,9.0,1.0,20.0,22.0,2.0,8.231075697211155,7.956656346749226,-0.2744193504619288,6.0,5.0,-1.0,19.0,18.0,-1.0,1506.0,2261.0,755.0,925.0,1384.0,459.0,10.97945945945946,11.356936416184972,0.37747695672551274,9.0,9.0,0.0,20.0,21.0,1.0,8.205405405405406,8.199421965317919,-0.005983440087486969,5.0,6.0,1.0,19.0,19.0,0.0,474.0,720.0,246.0,8.459915611814345,8.919444444444444,0.4595288326300988,6.0,7.0,1.0,16.0,17.0,1.0,8.158227848101266,7.386111111111111,-0.7721167369901547,6.0,5.0,-1.0,19.0,17.0,-2.0,0.7048524262131065,0.4668222740913638,-0.23803015212174272,0.545272636318159,0.6545515171723908,0.10927888085423176,85.12420156139106,128.52857142857144,43.40436986718038
43,2.0,31.6765,31.69375,0.017250000000000654,27.0,28.0,1.0,53.0,53.0,0.0,10.776892430278885,10.82970297029703,0.05281054001814489,8.0,8.0,0.0,20.0,22.0,2.0,8.231075697211155,8.18910891089109,-0.04196678632006545,6.0,5.0,-1.0,19.0,19.0,0.0,1506.0,3030.0,1524.0,925.0,1817.0,892.0,10.97945945945946,11.032471106219042,0.053011646759582476,9.0,8.0,-1.0,20.0,22.0,2.0,8.205405405405406,8.20968629609246,0.004280890687054395,5.0,5.0,0.0,19.0,20.0,1.0,474.0,996.0,522.0,8.459915611814345,8.690763052208835,0.23084744039448957,6.0,6.0,0.0,16.0,17.0,1.0,8.158227848101266,8.109437751004016,-0.048790097097249685,6.0,5.0,-1.0,19.0,19.0,0.0,0.7048524262131065,0.36459114778694673,-0.3402612784261598,0.545272636318159,0.7051762940735183,0.1599036577553593,85.12420156139106,164.5679012345679,79.44369967317684
43,2.4,31.6765,31.936666666666667,0.26016666666666666,27.0,28.0,1.0,53.0,54.0,1.0,10.776892430278885,11.072622636338723,0.29573020605983835,8.0,8.0,0.0,20.0,22.0,2.0,8.231075697211155,8.112359550561798,-0.1187161466493567,6.0,5.0,-1.0,19.0,19.0,0.0,1506.0,3649.0,2143.0,925.0,2197.0,1272.0,10.97945945945946,11.634046426945835,0.6545869674863756,9.0,9.0,0.0,20.0,23.0,3.0,8.205405405405406,8.301775147928995,0.09636974252358854,5.0,5.0,0.0,19.0,20.0,1.0,474.0,1197.0,723.0,8.459915611814345,8.591478696741854,0.13156308492750846,6.0,6.0,0.0,16.0,17.0,1.0,8.158227848101266,7.800334168755222,-0.3578936793460441,6.0,5.0,-1.0,19.0,19.0,0.0,0.7048524262131065,0.3069389456136695,-0.397913480599437,0.545272636318159,0.7447384871848302,0.19946585086667112,85.12420156139106,195.4786150712831,110.35441350989203
43,3.0,31.6765,31.810833333333335,0.13433333333333408,27.0,27.0,0.0,53.0,54.0,1.0,10.776892430278885,11.025714285714285,0.24882185543540025,8.0,8.0,0.0,20.0,22.0,2.0,8.231075697211155,8.074285714285715,-0.15678998292544044,6.0,5.0,-1.0,19.0,19.0,0.0,1506.0,4550.0,3044.0,925.0,2758.0,1833.0,10.97945945945946,11.405003625815809,0.4255441663563495,9.0,8.0,-1.0,20.0,22.300000000000182,2.300000000000182,8.205405405405406,8.087382160986222,-0.11802324441918444,5.0,5.0,0.0,19.0,19.0,0.0,474.0,1477.0,1003.0,8.459915611814345,8.998645903859174,0.5387302920448285,6.0,7.0,1.0,16.0,17.0,1.0,8.158227848101266,8.031144211238997,-0.12708363686226853,6.0,5.0,-1.0,19.0,19.0,0.0,0.7048524262131065,0.24354059009834972,-0.4613118361147568,0.545272636318159,0.7882980496749459,0.24302541335678685,85.12420156139106,246.36550308008214,161.24130151869107
