seed,demand_multiplier,baseline_mean_turnaround_min,scenario_mean_turnaround_min,delta_mean_turnaround_min,baseline_median_turnaround_min,scenario_median_turnaround_min,delta_median_turnaround_min,baseline_p90_turnaround_min,scenario_p90_turnaround_min,delta_p90_turnaround_min,baseline_mean_rmg_service_min,scenario_mean_rmg_service_min,delta_mean_rmg_service_min,baseline_median_rmg_service_min,scenario_median_rmg_service_min,delta_median_rmg_service_min,baseline_p90_rmg_service_min,scenario_p90_rmg_service_min,delta_p90_rmg_service_min,baseline_mean_rmg_pre_service_min,scenario_mean_rmg_pre_service_min,delta_mean_rmg_pre_service_min,baseline_median_rmg_pre_service_min,scenario_median_rmg_pre_service_min,delta_median_rmg_pre_service_min,baseline_p90_rmg_pre_service_min,scenario_p90_rmg_pre_service_min,delta_p90_rmg_pre_service_min,baseline_rmg_events,scenario_rmg_events,delta_rmg_events,baseline_rmg_receive_events,scenario_rmg_receive_events,delta_rmg_receive_events,baseline_mean_rmg_receive_service_min,scenario_mean_rmg_receive_service_min,delta_mean_rmg_receive_service_min,baseline_median_rmg_receive_service_min,scenario_median_rmg_receive_service_min,delta_median_rmg_receive_service_min,baseline_p90_rmg_receive_service_min,scenario_p90_rmg_receive_service_min,delta_p90_rmg_receive_service_min,baseline_mean_rmg_receive_pre_service_min,scenario_mean_rmg_receive_pre_service_min,delta_mean_rmg_receive_pre_service_min,baseline_median_rmg_receive_pre_service_min,scenario_median_rmg_receive_pre_service_min,delta_median_rmg_receive_pre_service_min,baseline_p90_rmg_receive_pre_service_min,scenario_p90_rmg_receive_pre_service_min,delta_p90_rmg_receive_pre_service_min,baseline_rmg_delivery_events,scenario_rmg_delivery_events,delta_rmg_delivery_events,baseline_mean_rmg_delivery_service_min,scenario_mean_rmg_delivery_service_min,delta_mean_rmg_delivery_service_min,baseline_median_rmg_delivery_service_min,scenario_median_rmg_delivery_service_min,delta_median_rmg_delivery_service_min,baseline_p90_rmg_delivery_service_min,scenario_p90_rmg_delivery_service_min,delta_p90_rmg_delivery_service_min,baseline_mean_rmg_delivery_pre_service_min,scenario_mean_rmg_delivery_pre_service_min,delta_mean_rmg_delivery_pre_service_min,baseline_median_rmg_delivery_pre_service_min,scenario_median_rmg_delivery_pre_service_min,delta_median_rmg_delivery_pre_service_min,baseline_p90_rmg_delivery_pre_service_min,scenario_p90_rmg_delivery_pre_service_min,delta_p90_rmg_delivery_pre_service_min,baseline_mean_inter_arrival_min,scenario_mean_inter_arrival_min,delta_mean_inter_arrival_min,baseline_zero_inter_arrival_share,scenario_zero_inter_arrival_share,delta_zero_inter_arrival_share,baseline_arrival_rate_per_elapsed_hour,scenario_arrival_rate_per_elapsed_hour,delta_arrival_rate_per_elapsed_hour
42,1.2,32.33,32.27,-0.05999999999999517,28.0,28.0,0.0,55.0,55.0,0.0,10.878985035783995,11.258676789587852,0.3796917538038578,8.0,8.0,0.0,22.0,23.0,1.0,7.758620689655173,8.245661605206074,0.48704091555090123,5.0,6.0,1.0,18.0,19.0,1.0,1537.0,1844.0,307.0,933.0,1109.0,176.0,10.781350482315112,11.39044183949504,0.6090913571799277,8.0,9.0,1.0,21.0,23.0,2.0,7.739549839228296,8.224526600541028,0.4849767613127316,5.0,5.0,0.0,18.0,19.0,1.0,498.0,606.0,108.0,9.126506024096386,9.235973597359736,0.1094675732633501,7.0,7.0,0.0,18.30000000000001,18.0,-0.30000000000001137,7.931726907630522,8.176567656765677,0.24484074913515474,5.0,6.0,1.0,18.0,19.0,1.0,0.6423211605802901,0.5923301375573156,-0.049991023022974534,0.5652826413206603,0.5656523551479783,0.00036971382731798563,93.41121495327103,101.29486277269528,7.8836478194242545
42,1.5,32.33,31.820333333333334,-0.5096666666666643,28.0,28.0,0.0,55.0,54.0,-1.0,10.878985035783995,10.984828781967924,0.105843746183929,8.0,8.0,0.0,22.0,22.0,0.0,7.758620689655173,8.349804941482445,0.5911842518272721,5.0,6.0,1.0,18.0,19.0,1.0,1537.0,2307.0,770.0,933.0,1375.0,442.0,10.781350482315112,11.187636363636363,0.4062858813212511,8.0,9.0,1.0,21.0,23.0,2.0,7.739549839228296,8.340363636363636,0.6008137971353396,5.0,6.0,1.0,18.0,19.0,1.0,498.0,765.0,267.0,9.126506024096386,8.894117647058824,-0.23238837703756232,7.0,7.0,0.0,18.30000000000001,18.0,-0.30000000000001137,7.931726907630522,8.149019607843137,0.2172927002126146,5.0,6.0,1.0,18.0,18.0,0.0,0.6423211605802901,0.5418472824274758,-0.10047387815281428,0.5652826413206603,0.5531843947982661,-0.012098246522394218,93.41121495327103,110.73230769230769,17.321092739036658
42,2.0,32.33,31.68825,-0.6417499999999983,28.0,28.0,0.0,55.0,54.0,-1.0,10.878985035783995,11.097744360902256,0.21875932511826157,8.0,8.0,0.0,22.0,22.0,0.0,7.758620689655173,8.256619810395554,0.49799912074038133,5.0,6.0,1.0,18.0,19.0,1.0,1537.0,3059.0,1522.0,933.0,1803.0,870.0,10.781350482315112,11.244037714919578,0.4626872326044662,8.0,9.0,1.0,21.0,22.0,1.0,7.739549839228296,8.265668330560178,0.5261184913318822,5.0,6.0,1.0,18.0,19.0,1.0,498.0,1028.0,530.0,9.126506024096386,9.135214007782102,0.008707983685715348,7.0,7.0,0.0,18.30000000000001,18.0,-0.30000000000001137,7.931726907630522,8.328793774319067,0.39706686668854463,5.0,5.0,0.0,18.0,20.0,2.0,0.6423211605802901,0.1872968242060515,-0.45502433637423856,0.5652826413206603,0.8829707426856714,0.31768810136501113,93.41121495327103,320.347129506008,226.93591455273696
42,2.4,32.33,32.15645833333333,-0.17354166666666515,28.0,28.0,0.0,55.0,54.0,-1.0,10.878985035783995,10.800108636610538,-0.07887639917345624,8.0,8.0,0.0,22.0,22.0,0.0,7.758620689655173,8.168929929386204,0.4103092397310313,5.0,6.0,1.0,18.0,19.0,1.0,1537.0,3682.0,2145.0,933.0,2203.0,1270.0,10.781350482315112,11.243304584657286,0.46195410234217427,8.0,9.0,1.0,21.0,22.0,1.0,7.739549839228296,8.354970494779845,0.6154206555515493,5.0,6.0,1.0,18.0,19.0,1.0,498.0,1204.0,706.0,9.126506024096386,8.177740863787376,-0.9487651603090104,7.0,6.0,-1.0,18.30000000000001,16.0,-2.3000000000000114,7.931726907630522,8.073089700996677,0.14136279336615498,5.0,5.0,0.0,18.0,18.0,0.0,0.6423211605802901,0.1541987914148781,-0.48812236916541196,0.5652826413206603,0.884767659929152,0.31948501860849166,93.41121495327103,389.1081081081081,295.6968931548371
42,3.0,32.33,32.050333333333334,-0.27966666666666384,28.0,28.0,0.0,55.0,55.0,0.0,10.878985035783995,11.05447048611111,0.17548545032711615,8.0,8.0,0.0,22.0,22.0,0.0,7.758620689655173,8.110677083333334,0.35205639367816133,5.0,5.0,0.0,18.0,19.0,1.0,1537.0,4608.0,3071.0,933.0,2771.0,1838.0,10.781350482315112,11.533742331288343,0.7523918489732306,8.0,9.0,1.0,21.0,22.0,1.0,7.739549839228296,8.226272103933598,0.48672226470530155,5.0,5.0,0.0,18.0,19.0,1.0,498.0,1502.0,1004.0,9.126506024096386,8.374833555259654,-0.7516724688367322,7.0,6.0,-1.0,18.30000000000001,17.0,-1.3000000000000114,7.931726907630522,8.061917443408788,0.130190535778266,5.0,5.0,0.0,18.0,19.0,1.0,0.6423211605802901,0.14452408734789132,-0.49779707323239875,0.5652826413206603,0.8828138023003834,0.3175311609797231,93.41121495327103,415.15570934256056,321.7444943892895
43,1.2,31.6765,32.334583333333335,0.6580833333333338,27.0,28.0,1.0,53.0,54.0,1.0,10.776892430278885,11.147188533627343,0.3702961033484584,8.0,8.0,0.0,20.0,22.0,2.0,8.231075697211155,8.54851157662624,0.31743587941508444,6.0,6.0,0.0,19.0,20.0,1.0,1506.0,1814.0,308.0,925.0,1115.0,190.0,10.97945945945946,11.530941704035875,0.551482244576416,9.0,9.0,0.0,20.0,22.0,2.0,8.205405405405406,8.671748878923767,0.4663434735183607,5.0,6.0,1.0,19.0,20.0,1.0,474.0,567.0,93.0,8.459915611814345,8.664902998236332,0.20498738642198688,6.0,6.0,0.0,16.0,17.0,1.0,8.158227848101266,8.35626102292769,0.19803317482642413,6.0,6.0,0.0,19.0,19.0,0.0,0.7048524262131065,0.6269278866194248,-0.07792453959368173,0.545272636318159,0.5502292621925803,0.00495662587442125,85.12420156139106,95.70478723404256,10.580585672651495
43,1.5,31.6765,32.376333333333335,0.6998333333333342,27.0,28.5,1.5,53.0,53.0,0.0,10.776892430278885,11.171529619805481,0.39463718952659654,8.0,8.0,0.0,20.0,22.0,2.0,8.231075697211155,8.08001768346596,-0.151058013745196,6.0,5.0,-1.0,19.0,19.0,0.0,1506.0,2262.0,756.0,925.0,1381.0,456.0,10.97945945945946,11.686459087617669,0.7069996281582096,9.0,9.0,0.0,20.0,23.0,3.0,8.205405405405406,8.28819695872556,0.08279155332015442,5.0,6.0,1.0,19.0,19.0,0.0,474.0,724.0,250.0,8.459915611814345,8.446132596685082,-0.013783015129263276,6.0,6.0,0.0,16.0,17.0,1.0,8.158227848101266,7.860497237569061,-0.29773061053220484,6.0,5.0,-1.0,19.0,17.0,-2.0,0.7048524262131065,0.5678559519839946,-0.13699647422911188,0.545272636318159,0.5385128376125375,-0.006759798705621489,85.12420156139106,105.66059894304169,20.53639738165063
43,2.0,31.6765,32.21425,0.5377499999999991,27.0,28.0,1.0,53.0,54.0,1.0,10.776892430278885,11.00659195781147,0.22969952753258482,8.0,8.0,0.0,20.0,22.0,2.0,8.231075697211155,8.243243243243244,0.012167546032088694,6.0,6.0,0.0,19.0,19.0,0.0,1506.0,3034.0,1528.0,925.0,1823.0,898.0,10.97945945945946,11.120680197476688,0.14122073801722834,9.0,9.0,0.0,20.0,21.0,1.0,8.205405405405406,8.38562808557323,0.18022268016782483,5.0,6.0,1.0,19.0,19.0,0.0,474.0,994.0,520.0,8.459915611814345,9.133802816901408,0.6738872050870626,6.0,7.0,1.0,16.0,19.0,3.0,8.158227848101266,8.045271629778671,-0.11295621832259428,6.0,5.0,-1.0,19.0,19.700000000000045,0.7000000000000455,0.7048524262131065,0.19829957489372343,-0.5065528513193831,0.545272636318159,0.8792198049512379,0.33394716863307883,85.12420156139106,302.57250945775536,217.4483078963643
43,2.4,31.6765,32.29895833333333,0.6224583333333307,27.0,28.0,1.0,53.0,55.0,2.0,10.776892430278885,11.135105508358455,0.3582130780795705,8.0,8.0,0.0,20.0,22.0,2.0,8.231075697211155,8.100575500137024,-0.13050019707413085,6.0,5.0,-1.0,19.0,19.0,0.0,1506.0,3649.0,2143.0,925.0,2203.0,1278.0,10.97945945945946,11.766681797548797,0.7872223380893377,9.0,9.0,0.0,20.0,23.0,3.0,8.205405405405406,8.358147980027235,0.15274257462182916,5.0,6.0,1.0,19.0,20.0,1.0,474.0,1188.0,714.0,8.459915611814345,8.66077441077441,0.20085879896006453,6.0,6.0,0.0,16.0,17.0,1.0,8.158227848101266,7.906565656565657,-0.2516621915356092,6.0,5.0,-1.0,19.0,19.0,0.0,0.7048524262131065,0.17024380079183163,-0.5346086254212749,0.545272636318159,0.8766409668680976,0.33136833054993853,85.12420156139106,352.43574051407586,267.3115389526848
43,3.0,31.6765,32.041666666666664,0.36516666666666353,27.0,28.0,1.0,53.0,54.0,1.0,10.776892430278885,11.014718804920914,0.2378263746420295,8.0,8.0,0.0,20.0,22.0,2.0,8.231075697211155,8.135325131810193,-0.09575056540096227,6.0,5.0,-1.0,19.0,19.0,0.0,1506.0,4552.0,3046.0,925.0,2764.0,1839.0,10.97945945945946,11.343342981186685,0.36388352172722627,9.0,9.0,0.0,20.0,22.0,2.0,8.205405405405406,8.175108538350218,-0.030296867055188414,5.0,5.0,0.0,19.0,19.0,0.0,474.0,1478.0,1004.0,8.459915611814345,8.961434370771313,0.5015187589569674,6.0,7.0,1.0,16.0,17.0,1.0,8.158227848101266,8.0,-0.15822784810126578,6.0,5.0,-1.0,19.0,19.0,0.0,0.7048524262131065,0.15052508751458576,-0.5543273386985208,0.545272636318159,0.8806467744624104,0.3353741381442513,85.12420156139106,398.6046511627907,313.48044960139964
