seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h,gate_arrivals,closed_period_gate_arrivals,sunday_gate_arrivals,night_gate_arrivals,arrival_calendar_compliance,demand_multiplier,nominal_cases
42,calendar_demand_x1.00,2000,6197,1537,32.33,28.0,55.0,852.0,10.878985035783995,8.0,22.0,7.758620689655173,5.0,18.0,933,10.781350482315112,8.0,21.0,7.739549839228296,5.0,18.0,498,9.126506024096386,7.0,18.30000000000001,7.931726907630522,5.0,18.0,0.6423211605802901,0.5652826413206603,1284.0,93.41121495327103,0,0,2000,0,0,465,True,1.0,2000
42,calendar_demand_x1.20,2400,7408,1844,32.27,28.0,55.0,591.0,11.258676789587852,8.0,23.0,8.245661605206074,6.0,19.0,1109,11.39044183949504,9.0,23.0,8.224526600541028,5.0,19.0,606,9.235973597359736,7.0,18.0,8.176567656765677,6.0,19.0,0.5923301375573156,0.5656523551479783,1421.0,101.29486277269528,0,0,2400,0,0,479,True,1.2,2400
42,calendar_demand_x1.50,3000,9231,2307,31.820333333333334,28.0,54.0,184.0,10.984828781967924,8.0,22.0,8.349804941482445,6.0,19.0,1375,11.187636363636363,9.0,23.0,8.340363636363636,6.0,19.0,765,8.894117647058824,7.0,18.0,8.149019607843137,6.0,18.0,0.5418472824274758,0.5531843947982661,1625.0,110.73230769230769,0,0,3000,0,0,555,True,1.5,3000
42,calendar_demand_x2.00,4000,12323,3059,31.68825,28.0,54.0,165.0,11.097744360902256,8.0,22.0,8.256619810395554,6.0,19.0,1803,11.244037714919578,9.0,22.0,8.265668330560178,6.0,19.0,1028,9.135214007782102,7.0,18.0,8.328793774319067,5.0,20.0,0.1872968242060515,0.8829707426856714,749.0,320.347129506008,0,0,4000,0,0,1414,True,2.0,4000
42,calendar_demand_x2.40,4800,14828,3682,32.15645833333333,28.0,54.0,621.0,10.800108636610538,8.0,22.0,8.168929929386204,6.0,19.0,2203,11.243304584657286,9.0,22.0,8.354970494779845,6.0,19.0,1204,8.177740863787376,6.0,16.0,8.073089700996677,5.0,18.0,0.1541987914148781,0.884767659929152,740.0,389.1081081081081,0,0,4800,0,0,2060,True,2.4,4800
42,calendar_demand_x3.00,6000,18490,4608,32.050333333333334,28.0,55.0,512.0,11.05447048611111,8.0,22.0,8.110677083333334,5.0,19.0,2771,11.533742331288343,9.0,22.0,8.226272103933598,5.0,19.0,1502,8.374833555259654,6.0,17.0,8.061917443408788,5.0,19.0,0.14452408734789132,0.8828138023003834,867.0,415.15570934256056,0,0,6000,0,0,2174,True,3.0,6000
43,calendar_demand_x1.00,2000,6173,1506,31.6765,27.0,53.0,417.0,10.776892430278885,8.0,20.0,8.231075697211155,6.0,19.0,925,10.97945945945946,9.0,20.0,8.205405405405406,5.0,19.0,474,8.459915611814345,6.0,16.0,8.158227848101266,6.0,19.0,0.7048524262131065,0.545272636318159,1409.0,85.12420156139106,0,0,2000,0,0,419,True,1.0,2000
43,calendar_demand_x1.20,2400,7469,1814,32.334583333333335,28.0,54.0,497.0,11.147188533627343,8.0,22.0,8.54851157662624,6.0,20.0,1115,11.530941704035875,9.0,22.0,8.671748878923767,6.0,20.0,567,8.664902998236332,6.0,17.0,8.35626102292769,6.0,19.0,0.6269278866194248,0.5502292621925803,1504.0,95.70478723404256,0,0,2400,0,0,449,True,1.2,2400
43,calendar_demand_x1.50,3000,9291,2262,32.376333333333335,28.5,53.0,499.0,11.171529619805481,8.0,22.0,8.08001768346596,5.0,19.0,1381,11.686459087617669,9.0,23.0,8.28819695872556,6.0,19.0,724,8.446132596685082,6.0,17.0,7.860497237569061,5.0,17.0,0.5678559519839946,0.5385128376125375,1703.0,105.66059894304169,0,0,3000,0,0,561,True,1.5,3000
43,calendar_demand_x2.00,4000,12370,3034,32.21425,28.0,54.0,450.0,11.00659195781147,8.0,22.0,8.243243243243244,6.0,19.0,1823,11.120680197476688,9.0,21.0,8.38562808557323,6.0,19.0,994,9.133802816901408,7.0,19.0,8.045271629778671,5.0,19.700000000000045,0.19829957489372343,0.8792198049512379,793.0,302.57250945775536,0,0,4000,0,0,1621,True,2.0,4000
