demand_multiplier,metric,n,mean,std,min,max
1.0,mean_turnaround_min,2,33.176,1.0069200564096432,32.464,33.888
1.0,median_turnaround_min,2,28.5,0.7071067811865476,28.0,29.0
1.0,p90_turnaround_min,2,60.05,1.3435028842544443,59.099999999999994,61.0
1.0,mean_rmg_service_min,2,11.66717799966531,1.2388075348204317,10.791208791208792,12.543147208121827
1.0,median_rmg_service_min,2,9.0,0.0,9.0,9.0
1.0,p90_rmg_service_min,2,21.650000000000006,1.0606601717798212,20.900000000000006,22.400000000000006
1.0,mean_rmg_pre_service_min,2,7.8360991800078095,0.17739793319498523,7.710659898477157,7.961538461538462
1.0,median_rmg_pre_service_min,2,6.0,0.0,6.0,6.0
1.0,p90_rmg_pre_service_min,2,16.5,0.7071067811865476,16.0,17.0
1.0,rmg_events,2,189.5,10.606601717798213,182.0,197.0
1.0,rmg_receive_events,2,117.5,2.1213203435596424,116.0,119.0
1.0,mean_rmg_receive_service_min,2,12.42581860330339,1.3824542024530964,11.448275862068966,13.403361344537815
1.0,median_rmg_receive_service_min,2,9.5,0.7071067811865476,9.0,10.0
1.0,p90_rmg_receive_service_min,2,22.5,2.1213203435596424,21.0,24.0
1.0,mean_rmg_receive_pre_service_min,2,8.610330339032163,0.6729910816595818,8.134453781512605,9.086206896551724
1.0,median_rmg_receive_pre_service_min,2,6.5,0.7071067811865476,6.0,7.0
1.0,p90_rmg_receive_pre_service_min,2,18.35,3.0405591591021524,16.200000000000003,20.5
1.0,rmg_delivery_events,2,58.5,7.7781745930520225,53.0,64.0
1.0,mean_rmg_delivery_service_min,2,9.156692216981131,0.7285784788463983,8.641509433962264,9.671875
1.0,median_rmg_delivery_service_min,2,7.0,0.0,7.0,7.0
1.0,p90_rmg_delivery_service_min,2,18.95000000000001,0.35355339059328383,18.700000000000003,19.200000000000017
1.0,mean_rmg_delivery_pre_service_min,2,6.393867924528302,0.5036468111281538,6.037735849056604,6.75
1.0,median_rmg_delivery_pre_service_min,2,4.25,0.3535533905932738,4.0,4.5
1.0,p90_rmg_delivery_pre_service_min,2,13.800000000000004,0.28284271247461296,13.600000000000009,14.0
1.0,mean_inter_arrival_min,2,0.6164658634538153,0.01419893134912748,0.606425702811245,0.6265060240963856
1.0,zero_inter_arrival_share,2,0.5461847389558232,0.04543658031720789,0.5140562248995983,0.5783132530120482
1.0,arrival_rate_per_elapsed_hour,2,97.35481406011208,2.2423533942365026,95.76923076923077,98.94039735099338
1.2,mean_turnaround_min,2,31.695,0.652895261295578,31.233333333333334,32.156666666666666
1.2,median_turnaround_min,2,27.75,0.3535533905932738,27.5,28.0
1.2,p90_turnaround_min,2,55.55000000000001,3.6062445840514084,53.0,58.10000000000002
1.2,mean_rmg_service_min,2,10.85673496808868,0.09382169249871948,10.790393013100436,10.923076923076923
1.2,median_rmg_service_min,2,8.5,0.7071067811865476,8.0,9.0
1.2,p90_rmg_service_min,2,23.0,0.0,23.0,23.0
1.2,mean_rmg_pre_service_min,2,8.06370408425379,0.8249881839582067,7.4803493449781655,8.647058823529411
1.2,median_rmg_pre_service_min,2,6.0,0.0,6.0,6.0
1.2,p90_rmg_pre_service_min,2,18.0,2.8284271247461903,16.0,20.0
1.2,rmg_events,2,225.0,5.656854249492381,221.0,229.0
1.2,rmg_receive_events,2,138.5,0.7071067811865476,138.0,139.0
1.2,mean_rmg_receive_service_min,2,11.289672609738297,0.3384395453067296,11.050359712230216,11.528985507246377
1.2,median_rmg_receive_service_min,2,8.5,0.7071067811865476,8.0,9.0
1.2,p90_rmg_receive_service_min,2,23.65,0.4949747468305853,23.299999999999997,24.0
1.2,mean_rmg_receive_pre_service_min,2,8.164216452924617,0.724137504411872,7.6521739130434785,8.676258992805755
1.2,median_rmg_receive_pre_service_min,2,6.0,0.0,6.0,6.0
1.2,p90_rmg_receive_pre_service_min,2,18.0,2.8284271247461903,16.0,20.0
1.2,rmg_delivery_events,2,71.0,5.656854249492381,67.0,75.0
1.2,mean_rmg_delivery_service_min,2,8.612935323383084,1.2439450638187222,7.733333333333333,9.492537313432836
1.2,median_rmg_delivery_service_min,2,6.5,0.7071067811865476,6.0,7.0
1.2,p90_rmg_delivery_service_min,2,15.5,2.1213203435596424,14.0,17.0
1.2,mean_rmg_delivery_pre_service_min,2,7.621194029850747,1.2744808193445898,6.72,8.522388059701493
1.2,median_rmg_delivery_pre_service_min,2,5.5,0.7071067811865476,5.0,6.0
1.2,p90_rmg_delivery_pre_service_min,2,17.7,3.8183766184073558,15.0,20.4
1.2,mean_inter_arrival_min,2,0.4765886287625418,0.05912264056743708,0.43478260869565216,0.5183946488294314
1.2,zero_inter_arrival_share,2,0.6254180602006689,0.0520279236993446,0.5886287625418061,0.6622073578595318
1.2,arrival_rate_per_elapsed_hour,2,126.87096774193549,15.738828355442514,115.74193548387096,138.0
2.4,mean_turnaround_min,2,32.07416666666667,0.2793071785686885,31.876666666666665,32.27166666666667
2.4,median_turnaround_min,2,28.0,0.0,28.0,28.0
2.4,p90_turnaround_min,2,54.5,0.7071067811865476,54.0,55.0
2.4,mean_rmg_service_min,2,10.421325704674807,0.19624334254041276,10.282560706401766,10.560090702947846
2.4,median_rmg_service_min,2,8.0,0.0,8.0,8.0
