seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h,gate_arrivals,closed_period_gate_arrivals,sunday_gate_arrivals,night_gate_arrivals,arrival_calendar_compliance,demand_multiplier,nominal_cases,experiment
42,calendar_demand_x1.00,2000,6197,1537,32.33,28.0,55.0,852.0,10.878985035783996,8.0,22.0,7.758620689655173,5.0,18.0,933,10.781350482315112,8.0,21.0,7.739549839228296,5.0,18.0,498,9.126506024096386,7.0,18.30000000000001,7.931726907630522,5.0,18.0,0.6423211605802901,0.5652826413206603,1284.0,93.41121495327104,0,0,2000,0,0,465,True,1.0,2000,calendar_preserving
42,calendar_demand_x1.20,2400,7382,1844,32.509166666666665,28.0,55.0,163.0,11.433839479392624,9.0,23.0,8.476138828633406,6.0,20.0,1103,11.83227561196736,9.0,23.0,8.382592928377154,6.0,19.0,612,9.09313725490196,6.0,18.899999999999977,8.854575163398692,6.0,22.0,0.5339724885368904,0.6227594831179658,1281.0,112.36533957845434,0,0,2400,0,0,549,True,1.2,2400,calendar_preserving
42,calendar_demand_x1.50,3000,9272,2318,32.01533333333333,28.0,54.0,440.0,10.784728213977568,8.0,22.0,8.027610008628129,5.0,19.0,1375,11.097454545454545,8.0,22.0,8.169454545454546,5.0,20.0,776,8.408505154639176,6.0,17.0,7.844072164948454,5.0,18.0,0.4448149383127709,0.6665555185061687,1334.0,134.88755622188904,0,0,3000,0,0,672,True,1.5,3000,calendar_preserving
42,calendar_demand_x2.00,4000,12328,3050,31.93475,28.0,54.0,370.0,10.978360655737704,8.0,22.0,7.969180327868853,5.0,18.0,1805,11.334072022160663,9.0,22.0,8.02825484764543,5.0,18.0,1012,8.644268774703557,6.0,17.0,7.866600790513834,5.0,18.0,0.3450862715678919,0.7186796699174793,1380.0,173.8695652173913,0,0,4000,0,0,841,True,2.0,4000,calendar_preserving
42,calendar_demand_x2.40,4800,14850,3668,32.107083333333335,28.0,54.0,1210.0,11.034078516902945,8.5,22.0,8.189749182115595,6.0,19.0,2187,11.279835390946502,9.0,22.0,8.323273891175125,5.0,19.0,1206,9.076285240464346,7.0,18.0,7.99502487562189,6.0,19.0,0.2844342571369035,0.7599499895811628,1365.0,210.94505494505492,0,0,4800,0,0,938,True,2.4,4800,calendar_preserving
42,calendar_demand_x3.00,6000,18536,4610,32.2135,28.0,54.0,880.0,11.196963123644252,8.0,22.0,8.076789587852495,6.0,19.0,2763,11.485703944987332,9.0,22.0,8.099529496923633,6.0,19.0,1515,8.90957095709571,7.0,17.0,8.076567656765677,5.0,19.0,0.2348724787464577,0.7921320220036673,1409.0,255.45777146912704,0,0,6000,0,0,1378,True,3.0,6000,calendar_preserving
43,calendar_demand_x1.00,2000,6173,1506,31.6765,27.0,53.0,417.0,10.776892430278885,8.0,20.0,8.231075697211155,6.0,19.0,925,10.97945945945946,9.0,20.0,8.205405405405406,5.0,19.0,474,8.459915611814345,6.0,16.0,8.158227848101266,6.0,19.0,0.7048524262131065,0.545272636318159,1409.0,85.12420156139106,0,0,2000,0,0,419,True,1.0,2000,calendar_preserving
43,calendar_demand_x1.20,2400,7438,1823,31.964166666666667,27.0,54.09999999999991,252.0,10.938014262205156,8.0,22.0,8.007679648930335,5.0,18.0,1116,11.080645161290322,8.0,21.5,7.812724014336918,5.0,18.0,570,9.029824561403508,6.0,17.0,8.212280701754386,5.0,18.0,0.5685702375989996,0.6098374322634431,1364.0,105.52785923753666,0,0,2400,0,0,518,True,1.2,2400,calendar_preserving
43,calendar_demand_x1.50,3000,9266,2261,32.24766666666667,28.0,54.0,279.0,11.126492702344096,9.0,22.0,7.956656346749226,5.0,18.0,1384,11.356936416184972,9.0,21.0,8.199421965317919,6.0,19.0,720,8.919444444444444,7.0,17.0,7.386111111111111,5.0,17.0,0.4668222740913638,0.6545515171723908,1400.0,128.52857142857144,0,0,3000,0,0,667,True,1.5,3000,calendar_preserving
43,calendar_demand_x2.00,4000,12383,3030,31.69375,28.0,53.0,467.0,10.82970297029703,8.0,22.0,8.18910891089109,5.0,19.0,1817,11.032471106219042,8.0,22.0,8.20968629609246,5.0,20.0,996,8.690763052208835,6.0,17.0,8.109437751004016,5.0,19.0,0.3645911477869467,0.7051762940735183,1458.0,164.5679012345679,0,0,4000,0,0,773,True,2.0,4000,calendar_preserving
