seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h,demand_multiplier,experiment
42,demand_x1.00,2000,6197,1537,32.33,28.0,55.0,852.0,10.878985035783996,8.0,22.0,7.758620689655173,5.0,18.0,933,10.781350482315112,8.0,21.0,7.739549839228296,5.0,18.0,498,9.126506024096386,7.0,18.30000000000001,7.931726907630522,5.0,18.0,0.6423211605802901,0.5652826413206603,1284.0,93.41121495327104,0,0,1.0,arrival_horizon_compression
42,demand_x1.20,2000,6170,1542,31.785,28.0,55.0,192.0,10.816472114137484,8.0,22.0,8.123865110246433,6.0,19.0,935,11.131550802139037,9.0,22.0,8.319786096256685,6.0,20.0,501,8.598802395209582,6.0,17.0,7.337325349301397,5.0,17.0,0.536768384192096,0.6248124062031015,1073.0,111.78005591798696,0,0,1.2,arrival_horizon_compression
42,demand_x1.50,2000,6186,1540,31.857,28.0,55.0,260.0,10.895454545454545,8.0,21.0,8.164935064935065,5.0,19.0,937,11.065101387406616,8.0,22.0,8.267876200640341,5.0,19.0,497,8.83702213279678,7.0,17.0,8.195171026156942,5.0,19.0,0.4312156078039019,0.6778389194597298,862.0,139.1415313225058,0,0,1.5,arrival_horizon_compression
42,demand_x2.00,2000,6197,1549,32.4175,28.0,56.0,270.0,11.080697224015491,8.0,22.200000000000045,8.045190445448677,6.0,18.0,936,11.158119658119658,9.0,22.0,7.966880341880341,6.0,18.0,507,9.076923076923077,7.0,18.400000000000038,8.112426035502958,6.0,19.0,0.3256628314157078,0.7313656828414207,651.0,184.23963133640552,0,0,2.0,arrival_horizon_compression
42,demand_x2.40,2000,6184,1544,31.53,28.0,53.100000000000136,369.0,10.73316062176166,8.0,22.0,7.854922279792746,5.0,18.0,936,10.833333333333334,9.0,21.5,7.700854700854701,5.0,18.0,503,8.890656063618291,6.0,18.0,8.133200795228628,6.0,20.0,0.273136568284142,0.768384192096048,546.0,219.6703296703297,0,0,2.4,arrival_horizon_compression
42,demand_x3.00,2000,6168,1542,31.761,28.0,53.0,169.0,11.010376134889754,8.0,22.0,8.439688715953308,6.0,19.0,937,11.424759871931697,9.0,23.0,8.545357524012807,6.0,19.0,499,8.422845691382765,7.0,17.0,8.569138276553106,5.0,19.0,0.2201100550275137,0.8044022011005503,440.0,272.59090909090907,0,0,3.0,arrival_horizon_compression
43,demand_x1.00,2000,6173,1506,31.6765,27.0,53.0,417.0,10.776892430278885,8.0,20.0,8.231075697211155,6.0,19.0,925,10.97945945945946,9.0,20.0,8.205405405405406,5.0,19.0,474,8.459915611814345,6.0,16.0,8.158227848101266,6.0,19.0,0.7048524262131065,0.545272636318159,1409.0,85.12420156139106,0,0,1.0,arrival_horizon_compression
43,demand_x1.20,2000,6184,1504,32.133,28.0,54.0,312.0,11.454787234042554,8.0,23.0,8.27593085106383,5.0,19.0,916,11.839519650655022,9.0,22.0,8.564410480349345,5.0,19.0,482,8.937759336099585,6.0,17.0,7.556016597510373,5.0,19.0,0.5887943971985993,0.599799899949975,1177.0,101.90314358538656,0,0,1.2,arrival_horizon_compression
43,demand_x1.50,2000,6203,1505,32.8255,28.0,55.0,535.0,11.018604651162793,8.0,22.0,8.419933554817275,6.0,19.0,925,11.512432432432432,9.0,22.600000000000023,8.294054054054055,6.0,19.0,471,8.509554140127388,6.0,16.0,8.397027600849256,6.0,19.0,0.472736368184092,0.6538269134567284,945.0,126.92063492063492,0,0,1.5,arrival_horizon_compression
43,demand_x2.00,2000,6202,1522,32.245,28.0,54.0,454.0,10.654402102496714,8.0,21.0,8.2365308804205,5.0,19.0,932,11.063304721030043,8.0,22.0,8.23068669527897,5.0,20.0,480,8.216666666666667,6.0,16.100000000000023,8.333333333333334,6.0,18.0,0.3566783391695848,0.7138569284642321,713.0,168.21879382889202,0,0,2.0,arrival_horizon_compression
43,demand_x2.40,2000,6206,1515,31.5495,27.0,52.100000000000136,552.0,10.807260726072608,8.0,21.0,8.123432343234324,6.0,19.0,926,10.91144708423326,8.0,21.0,7.998920086393088,6.0,19.0,480,8.989583333333334,6.0,18.0,8.120833333333334,5.0,18.0,0.2991495747873937,0.752376188094047,598.0,200.5685618729097,0,0,2.4,arrival_horizon_compression
43,demand_x3.00,2000,6234,1511,32.783,28.0,55.0,1329.0,11.406353408338848,8.0,22.0,8.250165453342158,5.0,19.0,923,11.996749729144096,9.0,23.0,8.165763813651138,5.0,19.0,480,8.70625,7.0,17.100000000000023,8.127083333333333,5.0,19.0,0.24112056028014,0.7888944472236118,482.0,248.83817427385893,0,0,3.0,arrival_horizon_compression
44,demand_x1.00,2000,6162,1532,32.018,28.0,54.0,327.0,11.191906005221933,9.0,22.0,8.102480417754569,5.0,19.0,903,11.473975636766337,9.0,21.0,7.861572535991141,5.0,19.0,508,8.85236220472441,7.0,19.0,8.726377952755906,6.0,20.0,0.6773386693346674,0.5302651325662832,1354.0,88.58197932053176,0,0,1.0,arrival_horizon_compression
44,demand_x1.20,2000,6163,1523,31.536,27.0,54.0,353.0,11.1602101116218,9.0,22.0,8.177938279711096,6.0,18.0,900,11.28888888888889,9.0,22.0,8.155555555555555,5.0,18.100000000000023,502,9.195219123505977,7.0,17.0,8.43824701195219,6.0,18.0,0.5662831415707854,0.5952976488244122,1132.0,105.95406360424028,0,0,1.2,arrival_horizon_compression
44,demand_x1.50,2000,6120,1526,31.0015,27.0,53.0,204.0,11.302096985583225,9.0,23.0,8.00262123197903,5.0,19.0,901,11.667036625971145,9.0,22.0,7.900110987791343,5.0,18.0,505,8.70891089108911,6.0,17.0,8.368316831683169,6.0,19.0,0.4547273636818409,0.6518259129564783,909.0,131.94719471947195,0,0,1.5,arrival_horizon_compression
44,demand_x2.00,2000,6181,1527,32.1675,28.0,54.0,809.0,11.073346430910282,8.0,22.0,8.284217419777342,5.0,19.40000000000009,904,11.248893805309734,9.0,22.0,8.54646017699115,6.0,20.0,501,9.063872255489022,7.0,17.0,7.698602794411178,5.0,19.0,0.3431715857928964,0.7158579289644822,686.0,174.8396501457726,0,0,2.0,arrival_horizon_compression
44,demand_x2.40,2000,6170,1527,32.0675,28.0,53.0,332.0,11.306483300589392,8.0,23.0,8.165029469548134,6.0,19.0,900,11.467777777777778,9.0,23.0,8.181111111111111,6.0,19.0,509,8.797642436149312,6.0,19.0,8.049115913555992,5.0,18.0,0.2876438219109555,0.7543771885942971,575.0,208.59130434782608,0,0,2.4,arrival_horizon_compression
44,demand_x3.00,2000,6196,1533,31.565,27.0,54.0,286.0,10.731898238747554,8.0,22.0,8.192433137638616,5.0,19.0,903,10.8859357696567,9.0,21.0,7.96234772978959,5.0,18.0,511,8.412915851272016,6.0,17.0,8.53228962818004,5.0,20.0,0.2316158079039519,0.7898949474737369,463.0,259.0496760259179,0,0,3.0,arrival_horizon_compression
45,demand_x1.00,2000,6194,1497,32.058,28.0,53.100000000000136,330.0,10.852371409485638,8.0,21.40000000000009,8.04742818971276,5.0,19.0,901,11.27968923418424,9.0,21.0,7.924528301886792,5.0,19.0,487,8.447638603696099,6.0,16.400000000000034,8.252566735112936,6.0,19.400000000000038,0.6878439219609805,0.5407703851925963,1375.0,87.22909090909091,0,0,1.0,arrival_horizon_compression
45,demand_x1.20,2000,6180,1500,31.9135,28.0,54.0,173.0,11.038666666666666,8.5,22.0,7.953333333333333,5.0,19.0,897,11.283166109253068,9.0,22.0,8.014492753623188,5.0,19.0,490,8.451020408163265,6.0,17.100000000000023,7.865306122448979,5.0,19.0,0.5747873936968484,0.5972986493246624,1149.0,104.38642297650132,0,0,1.2,arrival_horizon_compression
45,demand_x1.50,2000,6209,1500,33.0745,29.0,56.0,594.0,11.41,8.0,23.0,8.061333333333334,5.0,19.0,893,11.886898096304591,9.0,23.0,7.881298992161255,5.0,18.0,491,8.672097759674134,6.0,18.0,8.29735234215886,5.0,20.0,0.4612306153076538,0.6543271635817909,922.0,130.08676789587852,0,0,1.5,arrival_horizon_compression
45,demand_x2.00,2000,6180,1500,31.9405,28.0,54.0,240.0,10.808666666666667,8.0,21.100000000000136,8.089333333333334,6.0,18.0,901,11.317425083240844,9.0,22.0,8.089900110987791,6.0,18.0,491,7.969450101832994,6.0,15.0,8.413441955193482,6.0,19.0,0.3481740870435217,0.7138569284642321,696.0,172.32758620689654,0,0,2.0,arrival_horizon_compression
45,demand_x2.40,2000,6214,1503,32.742,28.0,56.0,338.0,11.095143047238857,8.0,22.0,8.271457085828343,6.0,18.0,908,11.311674008810572,9.0,21.0,8.556167400881057,6.0,19.0,486,9.1440329218107,7.0,19.0,7.810699588477366,5.0,17.0,0.2916458229114557,0.7563781890945472,583.0,205.72898799313893,0,0,2.4,arrival_horizon_compression
45,demand_x3.00,2000,6220,1505,33.203,28.0,58.0,738.0,11.411960132890366,8.0,22.0,8.277076411960133,6.0,20.0,904,11.765486725663717,9.0,22.0,8.230088495575222,5.0,20.0,488,8.842213114754099,6.0,18.0,8.100409836065573,6.0,18.0,0.2351175587793897,0.791895947973987,470.0,255.1914893617021,0,0,3.0,arrival_horizon_compression
46,demand_x1.00,2000,6175,1540,32.388,28.0,55.0,308.0,11.163636363636364,8.0,23.0,8.86038961038961,6.0,20.0,957,11.596656217345872,9.0,23.399999999999977,8.86833855799373,6.0,20.0,472,8.370762711864407,6.0,16.0,8.709745762711865,5.0,19.900000000000038,0.6538269134567284,0.5577788894447223,1307.0,91.76740627390971,0,0,1.0,arrival_horizon_compression
46,demand_x1.20,2000,6208,1533,32.219,28.0,53.0,839.0,11.122635355512069,8.0,22.0,7.906718851924332,6.0,18.799999999999955,957,11.296760710553814,9.0,22.0,7.918495297805642,6.0,19.0,466,8.570815450643776,6.0,17.0,8.015021459227468,6.0,18.0,0.5467733866933466,0.6128064032016008,1093.0,109.73467520585544,0,0,1.2,arrival_horizon_compression
46,demand_x1.50,2000,6211,1540,32.5075,28.0,54.0,580.0,11.293506493506491,9.0,22.100000000000136,8.077922077922079,6.0,18.0,958,11.575156576200415,9.0,22.0,8.135699373695198,6.0,18.0,471,8.817409766454352,7.0,18.0,8.05307855626327,6.0,19.0,0.4392196098049024,0.6763381690845423,878.0,136.60592255125286,0,0,1.5,arrival_horizon_compression
46,demand_x2.00,2000,6196,1551,32.684,29.0,54.0,818.0,11.297872340425531,9.0,23.0,8.085106382978724,5.0,19.0,966,11.615942028985508,9.0,22.0,8.301242236024844,6.0,18.0,467,8.483940042826552,6.0,18.0,7.777301927194861,5.0,19.0,0.3316658329164582,0.727863931965983,663.0,180.9049773755656,0,0,2.0,arrival_horizon_compression
46,demand_x2.40,2000,6174,1544,32.3145,28.0,55.0,581.0,10.998056994818652,8.0,22.0,8.079663212435234,5.0,19.0,964,11.12655601659751,9.0,21.700000000000045,7.895228215767635,5.0,19.0,470,8.691489361702128,6.0,18.0,8.261702127659575,6.0,19.100000000000023,0.2776388194097048,0.7673836918459229,555.0,216.1081081081081,0,0,2.4,arrival_horizon_compression
46,demand_x3.00,2000,6188,1553,32.5055,28.0,55.0,411.0,10.979394719896971,8.0,21.0,8.338699291693496,6.0,19.0,968,11.098140495867767,9.0,21.0,8.148760330578513,5.0,18.300000000000068,471,8.762208067940552,7.0,16.0,8.61995753715499,6.0,19.0,0.224112056028014,0.80040020010005,448.0,267.7232142857143,0,0,3.0,arrival_horizon_compression
47,demand_x1.00,2000,6211,1533,32.348,28.0,53.0,614.0,10.61187214611872,8.0,21.0,8.452054794520548,6.0,19.0,907,10.965821389195147,9.0,20.0,8.489525909592063,6.0,19.0,525,8.487619047619047,6.0,17.0,8.325714285714286,6.0,18.0,0.7078539269634817,0.5457728864432216,1415.0,84.76325088339223,0,0,1.0,arrival_horizon_compression
47,demand_x1.20,2000,6165,1526,31.3495,27.0,52.0,249.0,10.905635648754917,8.0,21.0,8.057011795543906,6.0,18.5,897,11.303232998885171,9.0,20.0,7.927536231884058,6.0,17.399999999999977,526,8.653992395437262,6.0,17.0,8.102661596958175,5.5,20.0,0.591295647823912,0.5972986493246624,1182.0,101.47208121827413,0,0,1.2,arrival_horizon_compression
47,demand_x1.50,2000,6247,1525,31.958,27.0,53.0,872.0,11.019016393442625,8.0,20.600000000000136,7.945573770491803,6.0,18.0,900,11.45111111111111,9.0,20.0,8.12111111111111,6.0,18.0,526,8.874524714828897,6.0,18.0,7.619771863117871,5.0,16.0,0.4747373686843422,0.6603301650825413,949.0,126.38566912539515,0,0,1.5,arrival_horizon_compression
47,demand_x2.00,2000,6179,1535,31.751,28.0,53.0,196.0,10.537459283387625,8.0,21.0,8.280781758957655,6.0,19.0,905,11.096132596685084,8.0,22.0,8.354696132596684,6.0,19.0,531,8.259887005649718,6.0,16.0,8.435028248587571,6.0,20.0,0.3581790895447724,0.7148574287143572,716.0,167.51396648044692,0,0,2.0,arrival_horizon_compression
47,demand_x2.40,2000,6175,1529,31.759,28.0,53.0,196.0,10.725310660562458,8.0,22.0,8.155003270111184,6.0,19.0,904,11.388274336283184,9.0,23.0,7.834070796460177,5.0,18.0,527,8.330170777988615,6.0,17.0,8.88045540796964,6.0,21.0,0.3001500750375188,0.7503751875937968,600.0,199.9,0,0,2.4,arrival_horizon_compression
47,demand_x3.00,2000,6180,1523,31.5305,27.0,53.0,383.0,10.848982271831913,8.0,22.0,7.963230466185161,5.0,18.0,903,11.281284606866002,9.0,22.0,7.89922480620155,5.0,17.800000000000068,523,8.24282982791587,6.0,17.0,8.202676864244742,5.0,19.0,0.2421210605302651,0.7863931965982992,484.0,247.8099173553719,0,0,3.0,arrival_horizon_compression
48,demand_x1.00,2000,6207,1528,32.696,28.0,55.0,279.0,10.958769633507853,8.0,22.0,8.118455497382199,5.0,19.0,901,11.153163152053274,9.0,22.0,7.885682574916759,5.0,19.0,507,9.055226824457591,6.0,18.0,8.299802761341223,5.0,20.400000000000038,0.7238619309654828,0.535767883941971,1447.0,82.88873531444368,0,0,1.0,arrival_horizon_compression
48,demand_x1.20,2000,6229,1530,31.843,27.5,54.0,440.0,10.61830065359477,8.0,21.0,8.119607843137254,6.0,19.0,895,10.913966480446929,8.0,21.600000000000023,7.846927374301676,5.0,18.0,511,8.113502935420744,6.0,16.0,8.291585127201566,6.0,19.0,0.6043021510755378,0.5882941470735368,1208.0,99.28807947019868,0,0,1.2,arrival_horizon_compression
48,demand_x1.50,2000,6194,1535,32.0215,28.0,54.0,176.0,11.123778501628664,8.0,22.0,8.11986970684039,6.0,19.0,902,11.454545454545457,9.0,21.0,8.331485587583149,6.0,19.0,509,8.895874263261296,7.0,18.0,7.9783889980353635,6.0,19.0,0.4852426213106553,0.6508254127063532,970.0,123.64948453608248,0,0,1.5,arrival_horizon_compression
48,demand_x2.00,2000,6203,1531,32.5865,28.0,55.0,329.0,11.119529719137818,8.0,22.0,8.015022860875245,5.0,18.0,900,11.398888888888887,9.0,22.0,8.173333333333334,6.0,18.0,507,8.745562130177515,7.0,18.0,7.658777120315582,5.0,18.0,0.3661830915457729,0.7108554277138569,732.0,163.85245901639345,0,0,2.0,arrival_horizon_compression
48,demand_x2.40,2000,6200,1526,32.161,28.0,55.0,175.0,11.309960681520314,9.0,22.0,8.241153342070774,5.0,20.0,894,11.662192393736015,9.0,23.0,8.33668903803132,6.0,20.0,508,8.811023622047244,7.0,19.0,8.061023622047244,5.0,19.0,0.3066533266633316,0.7433716858429215,613.0,195.66068515497557,0,0,2.4,arrival_horizon_compression
