attribute,value,probability
process_flow_type,receive,0.49470833333333336
process_flow_type,delivery,0.257125
process_flow_type,mixed,0.24816666666666667
target_utilization_bin,medium,0.27466666666666667
target_utilization_bin,high,0.2677083333333333
target_utilization_bin,low,0.24291666666666667
target_utilization_bin,very_high,0.21470833333333333
target_rank_group,low,0.44579166666666664
target_rank_group,mid,0.42716666666666664
target_rank_group,top_3,0.12704166666666666
target_demand_bin,low,0.2547916666666667
target_demand_bin,medium,0.2542083333333333
target_demand_bin,high,0.24704166666666666
target_demand_bin,very_high,0.24395833333333333
