attribute,distribution,mean,min,max,params
mt_utilization,norm,0.8281754083333334,0.69,0.93,"[0.8281754083333334, 0.052906986993684776]"
target_utilization,norm,0.6111323291666667,0.01,0.8385,"[0.6111323291666667, 0.12270022111257577]"
full_ratio,norm,0.8210220416666668,0.0,1.0,"[0.8210220416666668, 0.3154521303713633]"
vc_demand,lognorm,19.48424875,0.0,58.38,"[0.2620406349457838, -23.696812611589987, 41.737305839850066]"
has_hazardous,expon,0.032375,0.0,1.0,"[0.0, 0.032375]"
gate_demand,norm,126.9772225,0.67,264.0,"[126.9772225, 49.32163625768607]"
gate_utilization,norm,0.5874363791666667,0.4939,0.65,"[0.5874363791666667, 0.03515802366183618]"
n_containers,gamma,1.1805,1.0,4.0,"[0.16750424990641977, 0.9999999999999999, 0.3439595461756423]"
n_receives,norm,0.7799166666666667,0.0,4.0,"[0.7799166666666667, 0.49764109529079514]"
n_stops,lognorm,1.0809166666666667,1.0,3.0,"[9.81166045469391, 0.9999999999999998, 4.054680084850284e-15]"
rmg_utilization,norm,0.5604467208333334,0.4339,0.64,"[0.5604467208333334, 0.04366861693574001]"
target_rank,gamma,10.458583333333333,1.0,26.0,"[2.1604622780216616, 0.637221973661088, 4.545936407795899]"
vc_utilization,gamma,0.4497627041666667,0.34,0.58,"[12.752502424759246, 0.23808986006337968, 0.01659853294577092]"
has_reefer,lognorm,0.06358333333333334,0.0,1.0,"[181.6502315395893, -5e-324, 1.7810311520554822e-303]"
n_deliveries,norm,0.5507916666666667,0.0,4.0,"[0.5507916666666667, 0.5831696779359236]"
mt_demand,norm,18.509590833333334,0.0,52.85,"[18.509590833333334, 10.389445331244396]"
rmg_demand,norm,100.027075,1.53,206.0,"[100.027075, 38.2196334776954]"
target_demand,norm,5.96812875,0.0,17.87,"[5.96812875, 3.0010387067241857]"
visit_complexity,lognorm,6.255041666666667,2.0,24.0,"[0.6638126626039872, 1.5241772484836, 3.777973988402979]"
