FAHRPLAN_UID;reason
TP_14848392603;missing_critical_timestamp
TP_14876642603;missing_critical_timestamp
TP_14877032603;missing_critical_timestamp
TP_14880812603;missing_critical_timestamp
TP_14881612603;missing_critical_timestamp
TP_14888352603;missing_critical_timestamp
TP_14888402603;missing_critical_timestamp
TP_14888752603;missing_critical_timestamp
TP_14888922603;missing_critical_timestamp
TP_14891362603;missing_critical_timestamp
TP_14897952603;missing_critical_timestamp
TP_14898882603;overlapping_activities
TP_14899692603;missing_critical_timestamp
TP_14899892603;missing_critical_timestamp
TP_14901332603;missing_critical_timestamp
TP_14901932603;missing_critical_timestamp
TP_14902262603;missing_critical_timestamp
TP_14908002603;missing_critical_timestamp
TP_14908922603;missing_critical_timestamp
TP_14909932603;missing_critical_timestamp
TP_14910082603;missing_critical_timestamp
TP_14910712603;missing_critical_timestamp
TP_14910822603;missing_critical_timestamp
TP_14912012603;missing_critical_timestamp
TP_14915222603;missing_critical_timestamp
TP_14916012603;missing_critical_timestamp
TP_14917992603;missing_critical_timestamp
TP_14918102603;missing_critical_timestamp
TP_14920522603;missing_critical_timestamp
TP_14920672603;missing_critical_timestamp
TP_14922922603;overlapping_activities
TP_14923842603;missing_critical_timestamp
TP_14925032603;missing_critical_timestamp
TP_14925112603;missing_critical_timestamp
TP_14925202603;gate_out_delay_gt_10h, runtime_gt_12h
TP_14925242603;overlapping_activities
TP_14931332603;overlapping_activities
TP_14932142603;missing_critical_timestamp
TP_14932402603;missing_critical_timestamp
TP_14935002603;missing_critical_timestamp
TP_14937132603;missing_critical_timestamp
TP_14937922603;missing_critical_timestamp
TP_14938042603;overlapping_activities
TP_14941342603;missing_critical_timestamp
TP_14943332603;overlapping_activities
TP_14945332603;missing_critical_timestamp
TP_14946532603;missing_critical_timestamp
TP_14946542603;missing_critical_timestamp
TP_14950672603;missing_critical_timestamp
TP_14951522603;missing_critical_timestamp
TP_14952092603;overlapping_activities
TP_14954392603;missing_critical_timestamp
TP_14956342603;missing_critical_timestamp
TP_14958002603;missing_critical_timestamp
TP_14959682603;missing_critical_timestamp
TP_14959692603;missing_critical_timestamp
TP_14960732603;missing_critical_timestamp
TP_14967772603;missing_critical_timestamp
TP_14972892603;missing_critical_timestamp
TP_14974742603;missing_critical_timestamp
TP_14976342603;missing_critical_timestamp
TP_14978172603;missing_critical_timestamp
TP_14979272603;missing_critical_timestamp
TP_14980172603;missing_critical_timestamp
TP_14981342603;missing_critical_timestamp
TP_14985552603;missing_critical_timestamp
TP_14989082603;missing_critical_timestamp
TP_15002462603;missing_critical_timestamp
TP_15003952603;missing_critical_timestamp
TP_15008082603;missing_critical_timestamp
TP_15018562603;missing_critical_timestamp
TP_15019902603;missing_critical_timestamp
TP_15020732603;missing_critical_timestamp
TP_15023762603;missing_critical_timestamp
TP_15023962603;missing_critical_timestamp
TP_15024682603;missing_critical_timestamp
TP_15025902603;missing_critical_timestamp
TP_15034262603;missing_critical_timestamp
TP_15034952603;missing_critical_timestamp
TP_15037302603;missing_critical_timestamp
TP_15038792603;missing_critical_timestamp
TP_15040642603;missing_critical_timestamp
TP_15041332603;missing_critical_timestamp
TP_15042552603;missing_critical_timestamp
TP_15042882603;missing_critical_timestamp
TP_15043652603;missing_critical_timestamp
TP_15046022603;missing_critical_timestamp
TP_15047242603;missing_critical_timestamp
TP_15051142603;gate_out_delay_gt_10h, runtime_gt_12h
TP_15051152603;gate_out_delay_gt_10h, runtime_gt_12h
TP_15054432603;missing_critical_timestamp
TP_15054852603;missing_critical_timestamp
TP_15060872603;missing_critical_timestamp
TP_15064892603;missing_critical_timestamp
TP_15065802603;negative_duration
TP_15068862603;missing_critical_timestamp
TP_15071092603;missing_critical_timestamp
TP_15071112603;missing_critical_timestamp
TP_15075852603;missing_critical_timestamp
TP_15076802603;missing_critical_timestamp
TP_15082172603;missing_critical_timestamp
TP_15082182603;missing_critical_timestamp
TP_15090642603;missing_critical_timestamp
TP_15093372603;missing_critical_timestamp
TP_15093442603;gate_out_delay_gt_10h, runtime_gt_12h
TP_15094612603;missing_critical_timestamp
TP_15105312603;missing_critical_timestamp
TP_15114262603;missing_critical_timestamp
TP_15115192603;missing_critical_timestamp
TP_15118532603;missing_critical_timestamp
TP_15119292603;missing_critical_timestamp
TP_15122522603;missing_critical_timestamp
TP_15123272603;missing_critical_timestamp
TP_15124862603;missing_critical_timestamp
TP_15125682603;missing_critical_timestamp
TP_15125822603;missing_critical_timestamp
TP_15130702603;overlapping_activities
TP_15132352603;missing_critical_timestamp
TP_15133632603;overlapping_activities
TP_15157912603;missing_critical_timestamp
TP_15159212603;overlapping_activities
TP_15161362603;missing_critical_timestamp
TP_15163062603;missing_critical_timestamp
TP_15164572603;missing_critical_timestamp
TP_15165302603;missing_critical_timestamp
TP_15167062603;missing_critical_timestamp
TP_15168832603;missing_critical_timestamp
TP_15170542603;missing_critical_timestamp
TP_15174442603;missing_critical_timestamp
TP_15174602603;missing_critical_timestamp
TP_15180172603;missing_critical_timestamp
TP_15194222603;missing_critical_timestamp
TP_15195502603;missing_critical_timestamp
TP_15196072603;missing_critical_timestamp
TP_15196482603;missing_critical_timestamp
TP_15198022603;missing_critical_timestamp
TP_15198412603;missing_critical_timestamp
TP_15202432603;missing_critical_timestamp
TP_15204432603;missing_critical_timestamp
TP_15207802603;overlapping_activities
TP_15207892603;missing_critical_timestamp
TP_15208392603;missing_critical_timestamp
TP_15208592603;missing_critical_timestamp
TP_15208692603;missing_critical_timestamp
TP_15210002603;missing_critical_timestamp
TP_15210612603;missing_critical_timestamp
TP_15210962603;missing_critical_timestamp
TP_15213092603;missing_critical_timestamp
TP_15214152603;missing_critical_timestamp
TP_15217902603;missing_critical_timestamp
TP_15219652603;missing_critical_timestamp
TP_15222492603;missing_critical_timestamp
TP_15223292603;missing_critical_timestamp
TP_15224482603;missing_critical_timestamp
TP_15224932603;missing_critical_timestamp
TP_15230932603;missing_critical_timestamp
TP_15232682603;missing_critical_timestamp
TP_15242052603;missing_critical_timestamp
TP_15248202603;missing_critical_timestamp
TP_15248252603;missing_critical_timestamp
TP_15254952603;missing_critical_timestamp
TP_15259842603;missing_critical_timestamp
TP_15260492603;missing_critical_timestamp
TP_15264822603;missing_critical_timestamp
TP_15266472603;missing_critical_timestamp
TP_15267262603;missing_critical_timestamp
TP_15269422603;missing_critical_timestamp
TP_15283852603;missing_critical_timestamp
TP_15286252603;missing_critical_timestamp
TP_15286792603;missing_critical_timestamp
TP_15291602603;missing_critical_timestamp
TP_15292122603;missing_critical_timestamp
TP_15293482603;missing_critical_timestamp
TP_15293752603;missing_critical_timestamp
TP_15293782603;missing_critical_timestamp
TP_15296562603;missing_critical_timestamp
TP_15327382603;missing_critical_timestamp
TP_15330592603;gate_out_delay_gt_10h, runtime_gt_12h
TP_15333732603;overlapping_activities
TP_15334482603;missing_critical_timestamp
TP_15336252603;overlapping_activities
TP_15338522603;missing_critical_timestamp
TP_15339402603;missing_critical_timestamp
TP_15339762603;missing_critical_timestamp
TP_15344072603;missing_critical_timestamp
TP_15344872603;missing_critical_timestamp
TP_15345222603;missing_critical_timestamp
TP_15345642603;missing_critical_timestamp
TP_15346062603;missing_critical_timestamp
TP_15350522603;missing_critical_timestamp
TP_15352492603;missing_critical_timestamp
TP_15357422603;overlapping_activities
TP_15368862603;missing_critical_timestamp
TP_15370042603;missing_critical_timestamp
TP_15370752603;missing_critical_timestamp
TP_15372832603;missing_critical_timestamp
TP_15380842603;missing_critical_timestamp
TP_15381972603;missing_critical_timestamp
TP_15383422603;missing_critical_timestamp
TP_15387522603;missing_critical_timestamp
TP_15399422603;gate_out_delay_gt_10h, runtime_gt_12h
TP_15399582603;missing_critical_timestamp
TP_15401772603;missing_critical_timestamp
TP_15408072603;missing_critical_timestamp
TP_15410822603;gate_out_delay_gt_10h, runtime_gt_12h
TP_15417522603;missing_critical_timestamp
TP_15420272603;missing_critical_timestamp
TP_15420502603;missing_critical_timestamp
TP_15420552603;missing_critical_timestamp
TP_15420592603;missing_critical_timestamp
TP_15420622603;missing_critical_timestamp
TP_15420762603;missing_critical_timestamp
TP_15420852603;missing_critical_timestamp
TP_15421032603;missing_critical_timestamp
TP_15421352603;missing_critical_timestamp
TP_15436962603;missing_critical_timestamp
TP_15437182603;missing_critical_timestamp
TP_15437482603;missing_critical_timestamp
TP_15437942603;gate_out_delay_gt_10h
TP_15438312603;missing_critical_timestamp
TP_15438842603;missing_critical_timestamp
TP_15438902603;missing_critical_timestamp
TP_15438932603;missing_critical_timestamp
TP_15439112603;missing_critical_timestamp
TP_15439162603;missing_critical_timestamp
TP_15439232603;missing_critical_timestamp
TP_15439322603;missing_critical_timestamp
TP_15439382603;missing_critical_timestamp
TP_15439512603;missing_critical_timestamp
TP_15439742603;missing_critical_timestamp
TP_15439752603;missing_critical_timestamp
TP_15439842603;missing_critical_timestamp
TP_15440002603;missing_critical_timestamp
TP_15440112603;missing_critical_timestamp
TP_15440362603;missing_critical_timestamp
TP_15440512603;missing_critical_timestamp
TP_15440562603;missing_critical_timestamp
TP_15440762603;missing_critical_timestamp
TP_15440822603;missing_critical_timestamp
TP_15440862603;missing_critical_timestamp
TP_15442082603;missing_critical_timestamp
TP_15442472603;missing_critical_timestamp
TP_15442722603;missing_critical_timestamp
TP_15442822603;missing_critical_timestamp
TP_15442922603;missing_critical_timestamp
TP_15442942603;missing_critical_timestamp
TP_15442952603;missing_critical_timestamp
TP_15443022603;missing_critical_timestamp
TP_15443712603;missing_critical_timestamp
TP_15443942603;missing_critical_timestamp
TP_15444072603;missing_critical_timestamp
TP_15444182603;missing_critical_timestamp
TP_15444362603;missing_critical_timestamp
TP_15444582603;missing_critical_timestamp
TP_15444612603;missing_critical_timestamp
TP_15444632603;missing_critical_timestamp
TP_15444812603;missing_critical_timestamp
TP_15446122603;missing_critical_timestamp
TP_15447192603;missing_critical_timestamp
TP_15447222603;missing_critical_timestamp
TP_15447442603;missing_critical_timestamp
TP_15447542603;missing_critical_timestamp
TP_15447662603;missing_critical_timestamp
TP_15447762603;missing_critical_timestamp
TP_15447782603;missing_critical_timestamp
TP_15447802603;missing_critical_timestamp
TP_15448012603;missing_critical_timestamp
TP_15448112603;missing_critical_timestamp
TP_15448342603;missing_critical_timestamp
TP_15448362603;missing_critical_timestamp
TP_15448402603;missing_critical_timestamp
TP_15448452603;missing_critical_timestamp
TP_15449622603;missing_critical_timestamp
TP_15450302603;missing_critical_timestamp
TP_15450392603;missing_critical_timestamp
TP_15450432603;missing_critical_timestamp
TP_15450662603;missing_critical_timestamp
TP_15450792603;missing_critical_timestamp
TP_15450962603;missing_critical_timestamp
TP_15451342603;missing_critical_timestamp
TP_15452212603;missing_critical_timestamp
TP_15452872603;missing_critical_timestamp
TP_15452902603;missing_critical_timestamp
TP_15452952603;missing_critical_timestamp
TP_15453122603;missing_critical_timestamp
TP_15453342603;missing_critical_timestamp
TP_15453522603;missing_critical_timestamp
TP_15453632603;missing_critical_timestamp
TP_15454002603;missing_critical_timestamp
TP_15454122603;missing_critical_timestamp
TP_15454132603;missing_critical_timestamp
TP_15454182603;missing_critical_timestamp
TP_15454192603;missing_critical_timestamp
TP_15454222603;missing_critical_timestamp
TP_15454512603;missing_critical_timestamp
TP_15454592603;missing_critical_timestamp
TP_15454632603;missing_critical_timestamp
TP_15454642603;missing_critical_timestamp
TP_15454652603;missing_critical_timestamp
TP_15454782603;missing_critical_timestamp
TP_15454812603;missing_critical_timestamp
TP_15454892603;missing_critical_timestamp
TP_15454912603;missing_critical_timestamp
TP_15454962603;missing_critical_timestamp
TP_15455142603;missing_critical_timestamp
TP_15455332603;missing_critical_timestamp
TP_15455482603;missing_critical_timestamp
TP_15455692603;missing_critical_timestamp
TP_15455972603;missing_critical_timestamp
TP_15456112603;missing_critical_timestamp
TP_15456532603;missing_critical_timestamp
TP_15456762603;missing_critical_timestamp
TP_15456872603;missing_critical_timestamp
TP_15457212603;missing_critical_timestamp
TP_15457252603;missing_critical_timestamp
TP_15457502603;missing_critical_timestamp
TP_15457862603;missing_critical_timestamp
TP_15458632603;missing_critical_timestamp
TP_15458652603;missing_critical_timestamp
TP_15458852603;missing_critical_timestamp
TP_15459042603;missing_critical_timestamp
TP_15459292603;missing_critical_timestamp
TP_15459322603;missing_critical_timestamp
TP_15459372603;missing_critical_timestamp
TP_15459382603;missing_critical_timestamp
TP_15459502603;missing_critical_timestamp
TP_15459612603;missing_critical_timestamp
TP_15459632603;missing_critical_timestamp
TP_15459662603;missing_critical_timestamp
TP_15459672603;missing_critical_timestamp
TP_15459702603;missing_critical_timestamp
TP_15459732603;missing_critical_timestamp
TP_15459762603;missing_critical_timestamp
TP_15459862603;missing_critical_timestamp
TP_15459882603;missing_critical_timestamp
TP_15459892603;missing_critical_timestamp
TP_15460112603;missing_critical_timestamp
TP_15460142603;missing_critical_timestamp
TP_15460242603;missing_critical_timestamp
TP_15460312603;missing_critical_timestamp
TP_15460432603;missing_critical_timestamp
TP_15460522603;missing_critical_timestamp
TP_15460602603;missing_critical_timestamp
TP_15460842603;missing_critical_timestamp
TP_15460872603;missing_critical_timestamp
TP_15460882603;missing_critical_timestamp
TP_15460922603;missing_critical_timestamp
TP_15460932603;missing_critical_timestamp
TP_15461012603;missing_critical_timestamp
TP_15461082603;missing_critical_timestamp
TP_15462432603;missing_critical_timestamp
TP_15462572603;missing_critical_timestamp
TP_15462622603;missing_critical_timestamp
TP_15462922603;missing_critical_timestamp
TP_15463472603;missing_critical_timestamp
TP_15463502603;missing_critical_timestamp
TP_15463752603;missing_critical_timestamp
TP_15463762603;missing_critical_timestamp
TP_15463852603;missing_critical_timestamp
TP_15463882603;missing_critical_timestamp
TP_15463952603;missing_critical_timestamp
TP_15464022603;missing_critical_timestamp
TP_15464092603;missing_critical_timestamp
TP_15464152603;missing_critical_timestamp
TP_15464262603;missing_critical_timestamp
TP_15464382603;missing_critical_timestamp
TP_15464572603;missing_critical_timestamp
TP_15464732603;missing_critical_timestamp
TP_15464752603;missing_critical_timestamp
TP_15465022603;missing_critical_timestamp
TP_15465142603;missing_critical_timestamp
TP_15465252603;missing_critical_timestamp
TP_15465302603;missing_critical_timestamp
TP_15465582603;missing_critical_timestamp
TP_15465902603;missing_critical_timestamp
TP_15466282603;missing_critical_timestamp
TP_15466332603;missing_critical_timestamp
TP_15466482603;missing_critical_timestamp
TP_15466542603;missing_critical_timestamp
TP_15466582603;missing_critical_timestamp
TP_15466772603;missing_critical_timestamp
TP_15466972603;missing_critical_timestamp
TP_15467012603;missing_critical_timestamp
TP_15467162603;missing_critical_timestamp
TP_15467172603;missing_critical_timestamp
TP_15467192603;missing_critical_timestamp
TP_15467242603;missing_critical_timestamp
TP_15467352603;missing_critical_timestamp
TP_15467392603;missing_critical_timestamp
TP_15467412603;missing_critical_timestamp
TP_15467602603;missing_critical_timestamp
TP_15467642603;missing_critical_timestamp
TP_15467712603;missing_critical_timestamp
TP_15467802603;missing_critical_timestamp
TP_15468222603;missing_critical_timestamp
TP_15468532603;missing_critical_timestamp
TP_15468622603;missing_critical_timestamp
TP_15468672603;missing_critical_timestamp
TP_15468772603;missing_critical_timestamp
TP_15468852603;missing_critical_timestamp
TP_15468872603;missing_critical_timestamp
TP_15468882603;missing_critical_timestamp
TP_15468902603;missing_critical_timestamp
TP_15469122603;missing_critical_timestamp
TP_15469192603;missing_critical_timestamp
TP_15469332603;missing_critical_timestamp
TP_15469352603;missing_critical_timestamp
TP_15469442603;missing_critical_timestamp
TP_15469602603;missing_critical_timestamp
TP_15470012603;missing_critical_timestamp
TP_15470042603;missing_critical_timestamp, runtime_gt_12h
TP_15470062603;missing_critical_timestamp
TP_15470162603;missing_critical_timestamp
TP_15470232603;missing_critical_timestamp
TP_15470252603;missing_critical_timestamp
TP_15470442603;missing_critical_timestamp
TP_15470472603;missing_critical_timestamp
TP_15470542603;missing_critical_timestamp
TP_15470562603;missing_critical_timestamp
TP_15470612603;missing_critical_timestamp
TP_15470632603;missing_critical_timestamp
TP_15470662603;missing_critical_timestamp
TP_15470672603;missing_critical_timestamp
TP_15470842603;missing_critical_timestamp
TP_15471082603;missing_critical_timestamp
TP_15471262603;missing_critical_timestamp
TP_15471272603;missing_critical_timestamp
TP_15471382603;missing_critical_timestamp
TP_15471452603;missing_critical_timestamp
TP_15471772603;missing_critical_timestamp
TP_15472072603;missing_critical_timestamp
TP_15472272603;missing_critical_timestamp
TP_15472312603;missing_critical_timestamp
TP_15472352603;missing_critical_timestamp
TP_15472372603;missing_critical_timestamp
TP_15472432603;missing_critical_timestamp
TP_15472482603;missing_critical_timestamp
TP_15472512603;missing_critical_timestamp
TP_15472572603;missing_critical_timestamp
TP_15472662603;missing_critical_timestamp
TP_15472692603;missing_critical_timestamp
TP_15472722603;missing_critical_timestamp
TP_15472822603;missing_critical_timestamp
TP_15472832603;missing_critical_timestamp
TP_15473022603;missing_critical_timestamp
TP_15473262603;missing_critical_timestamp
TP_15473322603;missing_critical_timestamp
TP_15473392603;missing_critical_timestamp
TP_15473612603;missing_critical_timestamp
TP_15473792603;missing_critical_timestamp
TP_15473812603;missing_critical_timestamp
TP_15474142603;missing_critical_timestamp
TP_15474392603;missing_critical_timestamp
TP_15474402603;missing_critical_timestamp
TP_15474432603;missing_critical_timestamp
TP_15474542603;missing_critical_timestamp
TP_15474582603;missing_critical_timestamp
TP_15474592603;missing_critical_timestamp
TP_15474632603;missing_critical_timestamp
TP_15474712603;missing_critical_timestamp
TP_15474732603;missing_critical_timestamp
TP_15474902603;missing_critical_timestamp
