concept:name,n_events,n_cases,service_mean_min,service_median_min,service_p90_min,pre_service_mean_min,pre_service_median_min,pre_service_p90_min,total_service_min,total_pre_service_min,total_observed_burden_min,burden_share,service_burden_rank,pre_service_burden_rank,total_burden_rank
Gate Out,17892,17892,0.0,0.0,0.0,11.272635814889336,8.0,21.0,0.0,201690.0,201690.0,0.28364216281895505,10,1,1
RMG_receive,7171,7158,13.778831404267187,10.0,27.0,13.973643843257566,7.0,33.0,98808.0,100205.0,199013.0,0.27987742450834796,1,2,2
RMG_delivery,4681,4670,11.328348643452253,8.0,24.0,12.14035462508011,7.0,26.0,53028.0,56829.0,109857.0,0.15449490346969083,2,3,3
LL_delivery,3618,3618,11.01934770591487,8.0,21.300000000000182,5.98424543946932,5.0,8.0,39868.0,21651.0,61519.0,0.0865158521218667,3,5,4
HO2_receive,1276,1270,18.550940438871475,15.0,34.0,16.405956112852664,11.0,34.0,23671.0,20934.0,44605.0,0.06272923135772468,4,6,5
HO2_delivery,1449,1445,11.912353347135955,8.0,27.0,18.230503795721187,14.0,34.0,17261.0,26416.0,43677.0,0.06142415957877683,6,4,6
RMG_mixed,953,947,22.911857292759706,18.0,44.0,14.083945435466946,8.0,30.0,21835.0,13422.0,35257.0,0.049582883308581974,5,7,7
HO2_mixed,276,276,27.17753623188406,22.5,49.5,18.144927536231883,13.0,34.0,7501.0,5008.0,12509.0,0.01759174879618379,7,8,8
LL_receive,141,141,13.23404255319149,9.0,25.0,6.0,5.0,9.0,1866.0,846.0,2712.0,0.0038139597677872283,8,9,9
LL_mixed,11,11,14.909090909090908,14.0,19.0,6.2727272727272725,5.0,8.0,164.0,69.0,233.0,0.00032767427208496466,9,10,10
Gate In,17892,17892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,11,11
