org:resource,n_events,n_cases,service_mean_min,pre_service_mean_min,total_service_min,total_pre_service_min,concurrency_at_start_p90,concurrency_at_start_max,starts_at_or_above_rmg_cap,starts_above_rmg_cap
HO2,2996,2986,16.16588785046729,17.460280373831775,48433.0,52311.0,10.0,14,0,0
LL,3770,3770,11.113527851458885,5.985676392572945,41898.0,22566.0,11.0,19,0,0
T13,794,792,22.34508816120907,27.4911838790932,17742.0,21828.0,4.0,4,475,200
T17,772,770,11.994818652849741,17.616580310880828,9260.0,13600.0,3.0,3,192,0
T19,667,663,13.653673163418292,17.25487256371814,9107.0,11509.0,3.0,3,194,0
T23,697,697,16.26542324246772,16.113342898134864,11337.0,11231.0,4.0,4,294,119
T16,719,713,18.07093184979138,13.858136300417247,12993.0,9964.0,4.0,4,321,127
T14,740,739,14.921621621621622,13.424324324324324,11042.0,9934.0,4.0,4,304,113
T11,621,619,10.088566827697262,14.628019323671497,6265.0,9084.0,3.0,3,107,0
T24,746,746,13.667560321715818,11.205093833780161,10196.0,8359.0,4.0,4,272,82
T06,578,578,9.09515570934256,14.359861591695502,5257.0,8300.0,2.0,3,6,0
T21,723,723,12.13969571230982,11.276625172890734,8777.0,8153.0,4.0,4,261,89
T22,712,711,13.554775280898877,11.271067415730338,9651.0,8025.0,4.0,4,216,79
T20,711,708,12.572433192686358,10.386779184247539,8939.0,7385.0,4.0,4,252,80
T12,752,752,13.382978723404255,9.409574468085106,10064.0,7076.0,4.0,4,293,118
T25,653,653,10.658499234303216,10.278713629402757,6960.0,6712.0,3.0,3,115,0
T09,471,470,13.121019108280255,11.630573248407643,6180.0,5478.0,3.0,3,93,0
T07,504,499,12.36111111111111,10.311507936507937,6230.0,5197.0,3.0,3,70,0
T27,568,567,9.318661971830986,9.040492957746478,5293.0,5135.0,2.0,3,54,0
T08,423,423,14.539007092198581,9.879432624113475,6150.0,4179.0,3.0,3,74,0
T10,472,470,15.442796610169491,8.21822033898305,7289.0,3879.0,3.0,4,127,32
T26,250,250,8.316,12.812,2079.0,3203.0,4.0,4,107,32
T18,232,232,12.327586206896552,9.59051724137931,2860.0,2225.0,4.0,4,84,41
