scenario,metric,configuration,n_paired_seeds,mean_scenario_delta,sd_scenario_delta,ci95_lo,ci95_hi,interval_excludes_zero
demand_plus_20pct,arrival_rate_per_elapsed_hour,rules_only,10,11.527215808394361,0.06907354734167169,11.477803569283605,11.576628047505118,True
demand_plus_20pct,arrival_rate_per_elapsed_hour,rules_workload,10,11.527215808394361,0.06907354734167169,11.477803569283605,11.576628047505118,True
demand_plus_20pct,mean_inter_arrival_min,rules_only,10,-0.1136828573025543,0.0011858230578094494,-0.11453114401621754,-0.11283457058889106,True
demand_plus_20pct,mean_inter_arrival_min,rules_workload,10,-0.1136828573025543,0.0011858230578094494,-0.11453114401621754,-0.11283457058889106,True
demand_plus_20pct,mean_rmg_delivery_pre_service_min,rules_only,10,-0.030567487774676928,0.2244112730502472,-0.19110164172883978,0.1299666661794859,False
demand_plus_20pct,mean_rmg_delivery_pre_service_min,rules_workload,10,0.15297109839393236,0.15708506109373824,0.040599215115702955,0.26534298167216175,True
demand_plus_20pct,mean_rmg_delivery_service_min,rules_only,10,0.024838445765751848,0.1460131065656894,-0.07961303837824465,0.12928992990974836,False
demand_plus_20pct,mean_rmg_delivery_service_min,rules_workload,10,0.01088826708020499,0.12737717183062555,-0.08023187245184502,0.10200840661225499,False
demand_plus_20pct,mean_rmg_pre_service_min,rules_only,10,-0.031258361037653344,0.10188220170714152,-0.10414049762435326,0.04162377554904658,False
demand_plus_20pct,mean_rmg_pre_service_min,rules_workload,10,0.04308773959940843,0.13868644894856766,-0.05612256942049746,0.14229804861931433,False
demand_plus_20pct,mean_rmg_receive_pre_service_min,rules_only,10,-0.04316837437419874,0.1943141086379271,-0.18217231391587388,0.0958355651674764,False
demand_plus_20pct,mean_rmg_receive_pre_service_min,rules_workload,10,-0.016446187375255678,0.19663794986215202,-0.15711250278505945,0.12422012803454809,False
demand_plus_20pct,mean_rmg_receive_service_min,rules_only,10,-0.0017692253365843875,0.12741276980702923,-0.09291483012689335,0.08937637945372458,False
demand_plus_20pct,mean_rmg_receive_service_min,rules_workload,10,0.0235252060187053,0.12403224548169599,-0.06520211734967468,0.1122525293870853,False
demand_plus_20pct,mean_rmg_service_min,rules_only,10,0.004489680199486831,0.12147256069838154,-0.08240655498204115,0.0913859153810148,False
demand_plus_20pct,mean_rmg_service_min,rules_workload,10,0.0433626653482495,0.13866250021956336,-0.055830511782973956,0.14255584247947295,False
demand_plus_20pct,mean_turnaround_min,rules_only,10,-0.02794545048066189,0.21934091001407538,-0.18485248522112083,0.12896158425979706,False
demand_plus_20pct,mean_turnaround_min,rules_workload,10,0.13083501006036294,0.21963635096575,-0.02628337040518297,0.28795339052590885,False
demand_plus_20pct,median_rmg_delivery_pre_service_min,rules_only,10,0.0,0.6666666666666666,-0.4769046039804431,0.4769046039804431,False
demand_plus_20pct,median_rmg_delivery_pre_service_min,rules_workload,10,0.0,0.0,0.0,0.0,False
demand_plus_20pct,median_rmg_delivery_service_min,rules_only,10,-0.3,0.4830458915396479,-0.6455502144136438,0.045550214413643764,False
demand_plus_20pct,median_rmg_delivery_service_min,rules_workload,10,0.25,0.6346477588219923,-0.20399965713211704,0.703999657132117,False
