scenario,metric,n,mean_delta,std_delta,ci95_delta_lo,ci95_delta_hi,mean_delta_pct,std_delta_pct,ci95_delta_pct_lo,ci95_delta_pct_hi,ci_excludes_zero
t22_closed,mean_turnaround_min,10,0.025290632684998825,0.15198529862702356,-0.08343310029385625,0.1340143656638539,0.08057553108678583,0.4743580200629857,-0.2587597544678421,0.4199108166414138,False
t22_closed,median_turnaround_min,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
t22_closed,p90_turnaround_min,10,0.1,0.7378647873726218,-0.42783667131958114,0.6278366713195811,0.19191919191919193,1.3552903063053041,-0.7775970882914048,1.1614354721297886,False
t22_closed,mean_rmg_service_min,10,0.009663208027550852,0.08836260983455793,-0.05354759514719153,0.07287401120229324,0.08912536409742541,0.8003609436006435,-0.48341836417649253,0.6616690923713434,False
t22_closed,median_rmg_service_min,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
t22_closed,p90_rmg_service_min,10,-0.11000000000003637,0.3142893217686165,-0.33482903680005255,0.1148290367999798,-0.499794323323899,1.4285952455743347,-1.521749798082357,0.522161151434559,False
t22_closed,mean_rmg_pre_service_min,10,0.11846879496902822,0.11298415074650567,0.03764480246728477,0.19929278747077167,1.4612827639232127,1.3962745776490462,0.46244810217069454,2.4601174256757306,True
t22_closed,median_rmg_pre_service_min,10,0.45,0.4972144630058767,0.09431420014025055,0.8056857998597495,9.0,9.944289260117532,1.886284002805012,16.113715997194987,True
t22_closed,p90_rmg_pre_service_min,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
t22_closed,rmg_events,10,-9.9,17.916162783612144,-22.716450775751554,2.9164507757515548,-0.07227958238609233,0.13111351327357823,-0.16607253957242293,0.021513374800238266,False
t22_closed,rmg_receive_events,10,0.0,14.313940369055926,-10.23957609465644,10.23957609465644,-0.00028881812957803346,0.17502738563171433,-0.12549586717521555,0.12491823091605947,False
t22_closed,mean_rmg_receive_service_min,10,0.04245176215995485,0.12811828128026265,-0.049198535134973166,0.13410205945488288,0.37754328566525314,1.1368361189404823,-0.4357002829757089,1.1907868543062152,False
t22_closed,median_rmg_receive_service_min,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
t22_closed,p90_rmg_receive_service_min,10,0.0,0.4714045207910317,-0.3372224794536563,0.3372224794536563,0.04140786749482404,2.148957952356501,-1.4958640443639777,1.5786797793536256,False
t22_closed,mean_rmg_receive_pre_service_min,10,0.10543991859455826,0.17384848440304515,-0.01892379531569348,0.22980363250481,1.3010239726923911,2.1081622093620997,-0.2070644226811611,2.8091123680659433,False
t22_closed,median_rmg_receive_pre_service_min,10,0.5,0.7071067811865476,-0.005833719180484476,1.0058337191804845,10.333333333333332,13.374935098492587,0.7654811437172278,19.901185522949437,False
t22_closed,p90_rmg_receive_pre_service_min,10,0.1800000000000182,0.6069962474714894,-0.25421895752699036,0.6142189575270267,0.9736842105264116,3.1384636101043104,-1.2714374070993302,3.2188058281521537,False
t22_closed,rmg_delivery_events,10,-6.7,16.573405738645807,-18.555900250594124,5.155900250594123,-0.1503664663738647,0.36908924521609643,-0.4143970068586994,0.11366407411097001,False
t22_closed,mean_rmg_delivery_service_min,10,0.00601364650606886,0.18406080608760494,-0.12565552224722668,0.1376828152593644,0.07583264367327239,2.078658881331086,-1.411150342244176,1.5628156295907207,False
t22_closed,median_rmg_delivery_service_min,10,-0.5,0.5270462766947299,-0.8770261937997008,-0.12297380620029924,-7.142857142857143,7.5292325242104265,-12.528945625710012,-1.7567686600042753,True
t22_closed,p90_rmg_delivery_service_min,10,-0.1,0.5676462121975466,-0.5060696380436043,0.3060696380436043,-0.522875816993464,3.224842459310223,-2.829789140928454,1.7840375069415262,False
t22_closed,mean_rmg_delivery_pre_service_min,10,0.14594910533281516,0.1819364609302301,0.015799601558513038,0.27609860910711725,1.8371248496297956,2.2870833281858935,0.20104399628164438,3.473205702977947,True
t22_closed,median_rmg_delivery_pre_service_min,10,0.4,0.6992058987801011,-0.10018176838777082,0.9001817683877709,8.333333333333332,13.26370709590369,-1.154951136493482,17.821617803160144,False
t22_closed,p90_rmg_delivery_pre_service_min,10,0.1700000000000273,0.5963779562213033,-0.2566230895515528,0.5966230895516074,0.9502923976609623,3.1288599156792523,-1.2879591508349824,3.1885439461569067,False
t22_closed,mean_inter_arrival_min,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
t22_closed,zero_inter_arrival_share,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
t22_closed,arrival_rate_per_elapsed_hour,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
demand_plus_20pct,mean_turnaround_min,10,-0.027945450480661903,0.2193409100140754,-0.18485248522112088,0.12896158425979706,-0.08446056234819709,0.6821208420474795,-0.5724204174133865,0.40349929271699225,False
demand_plus_20pct,median_turnaround_min,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
demand_plus_20pct,p90_turnaround_min,10,-0.1,0.5676462121975466,-0.5060696380436043,0.3060696380436043,-0.18181818181818182,1.0453025704436285,-0.9295825944139187,0.5659462307775549,False
demand_plus_20pct,mean_rmg_service_min,10,0.004489680199486834,0.12147256069838157,-0.08240655498204116,0.09138591538101484,0.0447089396432054,1.0912680630930158,-0.7359372055556144,0.8253550848420252,False
demand_plus_20pct,median_rmg_service_min,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
demand_plus_20pct,p90_rmg_service_min,10,-0.21000000000003638,0.41753243386990246,-0.5086847100356109,0.08868471003553818,-0.9543397778693535,1.8979350166232538,-2.3120406990943465,0.40336114335563933,False
demand_plus_20pct,mean_rmg_pre_service_min,10,-0.03125836103765334,0.10188220170714156,-0.10414049762435329,0.041623775549046615,-0.37774016975718167,1.2476772884967253,-1.2702747345060674,0.5147943949917042,False
demand_plus_20pct,median_rmg_pre_service_min,10,-0.2,0.6324555320336759,-0.652431432559641,0.25243143255964096,-3.0000000000000004,11.271070802591787,-11.062838336318357,5.062838336318357,False
demand_plus_20pct,p90_rmg_pre_service_min,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
demand_plus_20pct,rmg_events,10,-8.5,23.2820865807933,-25.155001420977428,8.155001420977428,-0.06221498749969878,0.17043566698708632,-0.1841373189026274,0.05970734390322985,False
demand_plus_20pct,rmg_receive_events,10,-2.9,18.91765783012733,-16.432877173571605,10.632877173571604,-0.03560037715177068,0.23184289489661936,-0.20145079311629832,0.13025003881275693,False
demand_plus_20pct,mean_rmg_receive_service_min,10,-0.0017692253365844124,0.12741276980702926,-0.09291483012689339,0.08937637945372456,-0.01298909155294355,1.1279031609360197,-0.8198424069946673,0.7938642238887801,False
demand_plus_20pct,median_rmg_receive_service_min,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
demand_plus_20pct,p90_rmg_receive_service_min,10,-0.2,0.42163702135578396,-0.5016209550397607,0.10162095503976065,-0.8893280632411067,1.8754467517110356,-2.2309418488578463,0.4522857223756329,False
demand_plus_20pct,mean_rmg_receive_pre_service_min,10,-0.04316837437419876,0.19431410863792714,-0.18217231391587393,0.0958355651674764,-0.5073911594296601,2.346079183405297,-2.185675105232657,1.1708927863733367,False
demand_plus_20pct,median_rmg_receive_pre_service_min,10,-0.1,0.5676462121975467,-0.5060696380436044,0.3060696380436043,-1.3333333333333335,10.207719180316312,-8.635495743181819,5.968829076515153,False
demand_plus_20pct,p90_rmg_receive_pre_service_min,10,0.0,0.4714045207910317,-0.3372224794536563,0.3372224794536563,0.026315789473684247,2.4196856043979147,-1.7046230179101656,1.7572545968575342,False
demand_plus_20pct,rmg_delivery_events,10,-5.0,10.077477638553983,-12.208993223504537,2.208993223504537,-0.11332093689056419,0.22731474595733706,-0.2759321102401125,0.049290236458984116,False
demand_plus_20pct,mean_rmg_delivery_service_min,10,0.024838445765751872,0.14601310656568942,-0.07961303837824465,0.12928992990974839,0.29915883123305376,1.6501365222222868,-0.8812777257330742,1.4795953881991817,False
demand_plus_20pct,median_rmg_delivery_service_min,10,-0.3,0.4830458915396479,-0.6455502144136438,0.045550214413643764,-4.2857142857142865,6.900655593423543,-9.222145920194912,0.6507173487663396,False
demand_plus_20pct,p90_rmg_delivery_service_min,10,0.2,0.7888106377466155,-0.3642811372151657,0.7642811372151657,1.2418300653594772,4.53033332656036,-1.9989751661445307,4.482635296863485,False
demand_plus_20pct,mean_rmg_delivery_pre_service_min,10,-0.030567487774676928,0.22441127305024722,-0.19110164172883978,0.1299666661794859,-0.33678982889361236,2.7721460402384612,-2.3198636431374275,1.646283985350203,False
demand_plus_20pct,median_rmg_delivery_pre_service_min,10,0.0,0.6666666666666666,-0.4769046039804431,0.4769046039804431,0.6666666666666664,12.252487779635752,-8.098235081816945,9.431568415150277,False
demand_plus_20pct,p90_rmg_delivery_pre_service_min,10,0.0,0.9428090415820634,-0.6744449589073126,0.6744449589073126,0.08187134502923979,4.875102978220477,-3.405567237758933,3.5693099278174127,False
demand_plus_20pct,mean_inter_arrival_min,10,-0.11368285730255434,0.0011858230578094498,-0.11453114401621758,-0.1128345705888911,-13.726492720601996,0.030558159811502218,-13.74835271125691,-13.704632729947082,True
demand_plus_20pct,zero_inter_arrival_share,10,0.057945335643619686,0.0008134239778405427,0.05736344718358932,0.05852722410365005,10.687556102387301,0.1837838711875011,10.556085040927298,10.819027163847304,True
demand_plus_20pct,arrival_rate_per_elapsed_hour,10,11.527215808394361,0.06907354734167166,11.477803569283605,11.576628047505118,15.910450893567656,0.041048305230803064,15.88108670494241,15.939815082192903,True
