seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h
42,baseline,17892,55287,13727,31.93907891795216,28.0,54.0,1096.0,11.082246667152328,8.0,22.0,8.154658701828513,5.0,19.0,8263,11.261164226068015,9.0,22.0,8.137117269756747,5.0,19.0,4416,8.888586956521738,7.0,18.0,8.250452898550725,5.0,20.0,0.8192946174053993,0.5416131015594433,14658.0,73.23372902169464,0,0
42,t22_closed,17892,55356,13713,32.15571205007825,28.0,54.0,1163.0,11.166484357908553,8.0,22.0,8.327936994093196,6.0,19.0,8263,11.567832506353625,9.0,22.0,8.469442091250151,6.0,20.0,4402,8.758973194002726,6.0,18.0,8.134711494775102,6.0,19.0,0.8192946174053993,0.5416131015594433,14658.0,73.23372902169464,0,0
42,demand_plus_20pct,17892,55301,13696,31.972725240330874,28.0,53.0,1297.0,11.097327686915888,8.0,22.0,8.027380257009346,5.0,19.0,8247,11.268703771068267,9.0,22.0,8.05905177640354,5.0,19.0,4404,8.767938237965486,7.0,17.0,7.994096276112625,5.0,18.0,0.7070594153484993,0.5991839472360405,12650.0,84.85849802371541,0,0
43,baseline,17892,55220,13666,31.828806170355467,28.0,54.0,889.0,10.93955802722084,8.0,22.0,8.064466559344359,5.0,19.0,8173,11.251682368775235,9.0,22.0,8.143643704881928,5.0,19.0,4517,8.679876023909674,7.0,17.0,7.946646003984946,5.0,19.0,0.8389693141803142,0.5384830361634342,15010.0,71.51632245169887,0,0
43,t22_closed,17892,55281,13643,32.07422311647664,28.0,54.0,794.0,11.096826211243862,8.0,22.0,8.332551491607418,6.0,19.0,8173,11.44108650434357,9.0,22.0,8.360822219503243,6.0,19.800000000000182,4491,8.802493876642174,6.0,18.0,8.309730572255623,5.0,20.0,0.8389693141803142,0.5384830361634342,15010.0,71.51632245169887,0,0
43,demand_plus_20pct,17892,55339,13691,32.08098591549296,28.0,54.0,985.0,10.922065590533927,8.0,21.0,8.199985391863267,6.0,19.0,8199,11.140870837907062,9.0,21.0,8.231247713135748,5.0,19.0,4515,8.730897009966778,7.0,17.0,8.181838316722038,6.0,20.0,0.7234922586775474,0.5978424906377509,12944.0,82.93108776266996,0,0
44,baseline,17892,55251,13731,32.0885870780237,28.0,54.0,1327.0,11.041584735270556,8.0,22.0,8.112300633602796,5.0,19.0,8182,11.290393546810071,9.0,22.0,8.214373013933024,5.0,19.0,4518,8.701859229747676,7.0,17.0,7.884240814519699,5.0,19.0,0.8147672013861719,0.547593762226818,14577.0,73.64066680386911,0,0
44,t22_closed,17892,55215,13718,32.168566957299355,28.0,54.0,990.0,11.014725178597462,8.0,22.0,8.386645283569033,6.0,19.0,8199,11.338090010976948,9.0,22.0,8.500914745700696,6.0,20.0,4489,8.678993094230341,6.0,17.0,8.32278903987525,6.0,19.0,0.8147672013861719,0.547593762226818,14577.0,73.64066680386911,0,0
44,demand_plus_20pct,17892,55268,13733,32.09959758551308,28.0,54.0,752.0,11.164639918444623,8.0,22.0,8.08097283914658,5.0,19.0,8175,11.428868501529053,9.0,22.0,8.03914373088685,5.0,19.0,4526,8.86699072028281,6.0,18.0,8.158418029164826,5.0,19.0,0.7034263037281314,0.6041026214297691,12585.0,85.29678188319429,0,0
45,baseline,17892,55288,13580,32.19969818913481,28.0,55.0,724.0,10.997128129602356,8.0,22.0,8.213033873343152,5.0,19.0,8106,11.27461139896373,9.0,22.0,8.32149025413274,5.0,19.0,4507,8.841579764810295,7.0,18.0,8.02995340581318,5.0,19.0,0.8275669330948522,0.5407746911855122,14806.0,72.50168850466028,0,0
45,t22_closed,17892,55269,13574,31.958473060585735,28.0,54.0,723.0,10.929571239133638,8.0,22.0,8.213128038897892,5.5,19.0,8094,11.145910551025452,9.0,22.0,8.335310106251544,6.0,19.0,4512,8.769281914893616,6.0,17.0,8.08311170212766,5.0,19.0,0.8275669330948522,0.5407746911855122,14806.0,72.50168850466028,0,0
45,demand_plus_20pct,17892,55311,13586,32.16823161189358,28.0,55.0,1402.0,11.116590607978802,8.0,22.0,8.169071102605624,5.0,19.0,8095,11.421494749845584,9.0,22.0,8.23347745521927,5.0,19.0,4515,8.866002214839424,6.0,18.0,8.014396456256922,6.0,19.0,0.7141020624895199,0.5989044771113968,12776.0,84.02160300563557,0,0
46,baseline,17892,55246,13660,32.10870780236977,28.0,54.0,534.0,11.076134699853586,8.0,22.100000000000364,8.200805270863835,6.0,19.0,8216,11.321932814021421,9.0,23.0,8.164313534566698,5.0,19.0,4433,8.747575005639522,7.0,17.0,8.287390029325513,6.0,19.0,0.829076071767928,0.5428427701078755,14833.0,72.36971617339715,0,0
46,t22_closed,17892,55248,13658,32.13810641627543,28.0,55.0,648.0,11.130765851515596,8.0,22.0,8.25626006735979,6.0,19.0,8231,11.393876807192322,9.0,22.0,8.276880087474183,6.0,19.0,4423,9.03052226995252,7.0,17.0,8.24485643228578,6.0,19.0,0.829076071767928,0.5428427701078755,14833.0,72.36971617339715,0,0
46,demand_plus_20pct,17892,55203,13650,32.09423205902079,28.0,54.0,762.0,11.112380952380953,8.0,22.0,8.254285714285714,6.0,19.0,8215,11.310529519172245,9.0,22.0,8.408520998174073,6.0,19.0,4430,8.954176072234763,7.0,18.0,8.060722347629797,6.0,19.0,0.7152199429880945,0.60097255603376,12796.0,83.89027821194124,0,0
