seed,scenario,baseline_mean_turnaround_min,scenario_mean_turnaround_min,delta_mean_turnaround_min,delta_pct_mean_turnaround_min,baseline_median_turnaround_min,scenario_median_turnaround_min,delta_median_turnaround_min,delta_pct_median_turnaround_min,baseline_p90_turnaround_min,scenario_p90_turnaround_min,delta_p90_turnaround_min,delta_pct_p90_turnaround_min,baseline_mean_rmg_service_min,scenario_mean_rmg_service_min,delta_mean_rmg_service_min,delta_pct_mean_rmg_service_min,baseline_median_rmg_service_min,scenario_median_rmg_service_min,delta_median_rmg_service_min,delta_pct_median_rmg_service_min,baseline_p90_rmg_service_min,scenario_p90_rmg_service_min,delta_p90_rmg_service_min,delta_pct_p90_rmg_service_min,baseline_mean_rmg_pre_service_min,scenario_mean_rmg_pre_service_min,delta_mean_rmg_pre_service_min,delta_pct_mean_rmg_pre_service_min,baseline_median_rmg_pre_service_min,scenario_median_rmg_pre_service_min,delta_median_rmg_pre_service_min,delta_pct_median_rmg_pre_service_min,baseline_p90_rmg_pre_service_min,scenario_p90_rmg_pre_service_min,delta_p90_rmg_pre_service_min,delta_pct_p90_rmg_pre_service_min,baseline_rmg_events,scenario_rmg_events,delta_rmg_events,delta_pct_rmg_events,baseline_rmg_receive_events,scenario_rmg_receive_events,delta_rmg_receive_events,delta_pct_rmg_receive_events,baseline_mean_rmg_receive_service_min,scenario_mean_rmg_receive_service_min,delta_mean_rmg_receive_service_min,delta_pct_mean_rmg_receive_service_min,baseline_median_rmg_receive_service_min,scenario_median_rmg_receive_service_min,delta_median_rmg_receive_service_min,delta_pct_median_rmg_receive_service_min,baseline_p90_rmg_receive_service_min,scenario_p90_rmg_receive_service_min,delta_p90_rmg_receive_service_min,delta_pct_p90_rmg_receive_service_min,baseline_mean_rmg_receive_pre_service_min,scenario_mean_rmg_receive_pre_service_min,delta_mean_rmg_receive_pre_service_min,delta_pct_mean_rmg_receive_pre_service_min,baseline_median_rmg_receive_pre_service_min,scenario_median_rmg_receive_pre_service_min,delta_median_rmg_receive_pre_service_min,delta_pct_median_rmg_receive_pre_service_min,baseline_p90_rmg_receive_pre_service_min,scenario_p90_rmg_receive_pre_service_min,delta_p90_rmg_receive_pre_service_min,delta_pct_p90_rmg_receive_pre_service_min,baseline_rmg_delivery_events,scenario_rmg_delivery_events,delta_rmg_delivery_events,delta_pct_rmg_delivery_events,baseline_mean_rmg_delivery_service_min,scenario_mean_rmg_delivery_service_min,delta_mean_rmg_delivery_service_min,delta_pct_mean_rmg_delivery_service_min,baseline_median_rmg_delivery_service_min,scenario_median_rmg_delivery_service_min,delta_median_rmg_delivery_service_min,delta_pct_median_rmg_delivery_service_min,baseline_p90_rmg_delivery_service_min,scenario_p90_rmg_delivery_service_min,delta_p90_rmg_delivery_service_min,delta_pct_p90_rmg_delivery_service_min,baseline_mean_rmg_delivery_pre_service_min,scenario_mean_rmg_delivery_pre_service_min,delta_mean_rmg_delivery_pre_service_min,delta_pct_mean_rmg_delivery_pre_service_min,baseline_median_rmg_delivery_pre_service_min,scenario_median_rmg_delivery_pre_service_min,delta_median_rmg_delivery_pre_service_min,delta_pct_median_rmg_delivery_pre_service_min,baseline_p90_rmg_delivery_pre_service_min,scenario_p90_rmg_delivery_pre_service_min,delta_p90_rmg_delivery_pre_service_min,delta_pct_p90_rmg_delivery_pre_service_min,baseline_mean_inter_arrival_min,scenario_mean_inter_arrival_min,delta_mean_inter_arrival_min,delta_pct_mean_inter_arrival_min,baseline_zero_inter_arrival_share,scenario_zero_inter_arrival_share,delta_zero_inter_arrival_share,delta_pct_zero_inter_arrival_share,baseline_arrival_rate_per_elapsed_hour,scenario_arrival_rate_per_elapsed_hour,delta_arrival_rate_per_elapsed_hour,delta_pct_arrival_rate_per_elapsed_hour
42,t22_closed,31.229935166554885,31.52984574111335,0.2999105745584636,0.9603304424392376,28.0,28.0,0.0,0.0,53.0,54.0,1.0,1.8867924528301887,10.741289741636074,10.824756606397775,0.08346686476170184,0.7770655737752074,8.0,8.0,0.0,0.0,21.0,21.0,0.0,0.0,7.910784789083604,7.9072322670375526,-0.0035525220460517204,-0.04490732766430433,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,14437.0,14380.0,-57.0,-0.3948188681859112,8051.0,8028.0,-23.0,-0.28567879766488635,11.173270401192399,11.258221225710015,0.08495082451761604,0.760304024402293,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,7.9975158365420445,8.014200298953662,0.01668446241161803,0.20862056109203073,5.0,5.0,0.0,0.0,18.0,19.0,1.0,5.555555555555555,5399.0,5376.0,-23.0,-0.42600481570661236,8.760140766808668,8.815848214285714,0.05570744747704559,0.6359195469565484,6.0,7.0,1.0,16.666666666666668,17.0,17.0,0.0,0.0,7.688090387108724,7.709263392857143,0.021173005748419627,0.27540006272457734,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,0.8192946174053993,0.8192946174053993,0.0,0.0,0.5416131015594433,0.5416131015594433,0.0,0.0,73.23372902169464,73.23372902169464,0.0,0.0
42,demand_plus_20pct,31.229935166554885,31.716800804828974,0.48686563827408946,1.5589710182795675,28.0,28.0,0.0,0.0,53.0,54.0,1.0,1.8867924528301887,10.741289741636074,11.024330900243308,0.2830411586072348,2.6350760980787302,8.0,8.0,0.0,0.0,21.0,22.0,1.0,4.761904761904762,7.910784789083604,7.951824817518248,0.041040028434643716,0.518785803543492,5.0,5.0,0.0,0.0,18.0,19.0,1.0,5.555555555555555,14437.0,14385.0,-52.0,-0.3601856341345155,8051.0,8056.0,5.0,0.06210408644888834,11.173270401192399,11.360600794438927,0.187330393246528,1.6765941082615912,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,7.9975158365420445,8.070134061569016,0.07261822502697157,0.9080097684229175,5.0,5.0,0.0,0.0,18.0,19.0,1.0,5.555555555555555,5399.0,5346.0,-53.0,-0.9816632709761067,8.760140766808668,8.890011223344557,0.12987045653588858,1.4825156352276354,6.0,7.0,1.0,16.666666666666668,17.0,18.0,1.0,5.882352941176471,7.688090387108724,7.787691732136176,0.09960134502745266,1.2955277580303,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,0.8192946174053993,0.7070594153484993,-0.11223520205690007,-13.699003956883608,0.5416131015594433,0.5991839472360405,0.057570845676597204,10.629514963880295,73.23372902169464,84.85849802371541,11.62476900202077,15.873517786561255
43,t22_closed,31.69561815336463,31.525542141739326,-0.17007601162530506,-0.536591559130866,28.0,28.0,0.0,0.0,54.0,53.0,-1.0,-1.8518518518518519,11.01899222089845,10.856543917266439,-0.16244830363201146,-1.4742573583445726,8.0,8.0,0.0,0.0,22.0,22.0,0.0,0.0,7.88828929847922,8.021032771993571,0.1327434735143509,1.6827916483735257,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,14269.0,14311.0,42.0,0.2943443829280258,8030.0,8033.0,3.0,0.037359900373599,11.5560398505604,11.302626665006846,-0.2534131855535531,-2.1929068160946508,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,8.03810709838107,8.221959417403212,0.18385231902214194,2.287258887844018,5.0,5.0,0.0,0.0,19.0,19.0,0.0,0.0,5284.0,5324.0,40.0,0.757002271006813,8.880393641180923,8.740232907588279,-0.14016073359264425,-1.5783166744172112,7.0,7.0,0.0,0.0,18.0,17.0,-1.0,-5.555555555555555,7.68224829674489,7.684823441021788,0.002575144276897312,0.0335207113520198,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,0.8389693141803142,0.8389693141803142,0.0,0.0,0.5384830361634342,0.5384830361634342,0.0,0.0,71.51632245169887,71.51632245169887,0.0,0.0
43,demand_plus_20pct,31.69561815336463,31.590096132349654,-0.10552202101497699,-0.3329230573904278,28.0,28.0,0.0,0.0,54.0,54.0,0.0,0.0,11.01899222089845,10.905018926118043,-0.11397329478040774,-1.0343350144512105,8.0,8.0,0.0,0.0,22.0,22.0,0.0,0.0,7.88828929847922,7.92639842983317,0.038109131353949444,0.4831102145467267,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,14269.0,14266.0,-3.0,-0.02102459878057327,8030.0,8027.0,-3.0,-0.037359900373599,11.5560398505604,11.365267223121963,-0.19077262743843626,-1.6508477809479423,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,8.03810709838107,8.049458078983431,0.011350980602360394,0.1412145977085396,5.0,5.0,0.0,0.0,19.0,19.0,0.0,0.0,5284.0,5281.0,-3.0,-0.05677517032551098,8.880393641180923,8.808937701192956,-0.07145593998796684,-0.8046483396479772,7.0,7.0,0.0,0.0,18.0,17.0,-1.0,-5.555555555555555,7.68224829674489,7.776936186328347,0.0946878895834562,1.232554402382141,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,0.8389693141803142,0.7234922586775474,-0.11547705550276677,-13.764157228514325,0.5384830361634342,0.5978424906377509,0.059359454474316675,11.02345858418102,71.51632245169887,82.93108776266996,11.414765310971092,15.961063040791096
44,t22_closed,31.550804828973842,31.73267382070199,0.1818689917281482,0.5764321788746689,28.0,28.0,0.0,0.0,54.0,54.0,0.0,0.0,10.946023322393687,10.921471103327496,-0.024552219066190872,-0.22430263798142328,8.0,8.0,0.0,0.0,22.0,22.0,0.0,0.0,7.885971650024439,7.887145359019264,0.0011737089948251622,0.01488350512674649,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,14321.0,14275.0,-46.0,-0.32120661964946584,8038.0,7989.0,-49.0,-0.6096043791988057,11.372356307539189,11.422831393165604,0.050475085626414895,0.44384017051024816,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,8.002239363025629,8.009638252597322,0.00739888957169299,0.09246023814133307,5.0,5.0,0.0,0.0,19.0,19.0,0.0,0.0,5330.0,5327.0,-3.0,-0.05628517823639775,8.84296435272045,8.686878167824291,-0.156086184896159,-1.7650889302538082,7.0,6.0,-1.0,-14.285714285714286,17.0,17.0,0.0,0.0,7.693621013133209,7.735310681434203,0.04168966830099485,0.5418731729809607,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,0.8147672013861719,0.8147672013861719,0.0,0.0,0.547593762226818,0.547593762226818,0.0,0.0,73.64066680386911,73.64066680386911,0.0,0.0
44,demand_plus_20pct,31.550804828973842,31.87581041806394,0.3250055890900967,1.0301023725126544,28.0,28.0,0.0,0.0,54.0,54.0,0.0,0.0,10.946023322393687,10.946580897776535,0.0005575753828477303,0.0050938625510419545,8.0,8.0,0.0,0.0,22.0,22.0,0.0,0.0,7.885971650024439,7.80387358411411,-0.08209806591032898,-1.0410646849088603,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,14321.0,14302.0,-19.0,-0.13267229942043154,8038.0,7998.0,-40.0,-0.49763622791739237,11.372356307539189,11.3832208052013,0.010864497662112171,0.09553427072021708,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,8.002239363025629,7.825581395348837,-0.17665796767679165,-2.2076066418737774,5.0,5.0,0.0,0.0,19.0,18.0,-1.0,-5.2631578947368425,5330.0,5348.0,18.0,0.33771106941838647,8.84296435272045,8.761219147344802,-0.08174520537564867,-0.9244095318613442,7.0,6.0,-1.0,-14.285714285714286,17.0,18.0,1.0,5.882352941176471,7.693621013133209,7.807965594614809,0.11434458148160065,1.4862258133902295,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,0.8147672013861719,0.7034263037281314,-0.11134089765804045,-13.665363243465745,0.547593762226818,0.6041026214297691,0.05650885920295112,10.319485556803086,73.64066680386911,85.29678188319429,11.656115079325176,15.828367103694882
45,t22_closed,31.745919964229824,31.8521685669573,0.10624860272747583,0.33468427705731313,28.0,28.0,0.0,0.0,54.0,54.0,0.0,0.0,10.935676992690567,10.845730219588708,-0.08994677310185928,-0.8225075883457413,8.0,8.0,0.0,0.0,22.0,21.0,-1.0,-4.545454545454546,7.96581970066133,8.081561519693272,0.11574181903194258,1.4529806521020503,5.0,5.0,0.0,0.0,18.0,19.0,1.0,5.555555555555555,14365.0,14345.0,-20.0,-0.1392272885485555,8085.0,8059.0,-26.0,-0.32158317872603587,11.314285714285715,11.275840675021715,-0.03844503926399945,-0.33979201369696477,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,8.189115646258504,8.225214046407743,0.03609840014923904,0.4408095050621481,5.0,5.0,0.0,0.0,19.0,19.0,0.0,0.0,5276.0,5287.0,11.0,0.20849128127369218,8.787528430629264,8.806317382258369,0.0187889516291051,0.21381383602260104,6.5,7.0,0.5,7.6923076923076925,17.5,18.0,0.5,2.857142857142857,7.644238059135709,7.902212975222243,0.25797491608653367,3.3747629795258027,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,0.8275669330948522,0.8275669330948522,0.0,0.0,0.5407746911855122,0.5407746911855122,0.0,0.0,72.50168850466028,72.50168850466028,0.0,0.0
45,demand_plus_20pct,31.745919964229824,31.533925776883525,-0.21199418734629916,-0.6677840414931011,28.0,28.0,0.0,0.0,54.0,53.0,-1.0,-1.8518518518518519,10.935676992690567,10.932994358152817,-0.002682634537750417,-0.024531033053952638,8.0,8.0,0.0,0.0,22.0,22.0,0.0,0.0,7.96581970066133,7.820644981542105,-0.14517471911922453,-1.8224705626612663,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,14365.0,14357.0,-8.0,-0.055690915419422206,8085.0,8039.0,-46.0,-0.5689548546691404,11.314285714285715,11.311481527553179,-0.002804186732536351,-0.02478447869665967,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,8.189115646258504,7.933698221171787,-0.2554174250867165,-3.1189866662026353,5.0,5.0,0.0,0.0,19.0,19.0,0.0,0.0,5276.0,5316.0,40.0,0.7581501137225171,8.787528430629264,8.79326561324304,0.005737182613776426,0.06528778437608529,6.5,7.0,0.5,7.6923076923076925,17.5,18.0,0.5,2.857142857142857,7.644238059135709,7.705041384499624,0.06080332536391442,0.7954138122536323,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,0.8275669330948522,0.7141020624895199,-0.11346487060533228,-13.71065784141564,0.5407746911855122,0.5989044771113968,0.05812978592588458,10.74935400516797,72.50168850466028,84.02160300563557,11.51991450097529,15.88916718847839
46,t22_closed,31.672926447574334,31.83350100603622,0.16057455846188518,0.5069773351309088,28.0,28.0,0.0,0.0,54.0,54.0,0.0,0.0,10.935239287701725,10.835832345351838,-0.09940694234988712,-0.9090513681002368,8.0,8.0,0.0,0.0,22.0,22.0,0.0,0.0,7.92647468002226,8.033196178255109,0.10672149823284904,1.346392974695648,5.0,6.0,1.0,20.0,18.0,18.0,0.0,0.0,14376.0,14339.0,-37.0,-0.2573734001112966,8116.0,8109.0,-7.0,-0.08624938393297191,11.346845736816165,11.242446664200271,-0.10439907261589454,-0.920071313538348,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,8.090931493346476,8.174250832408434,0.08331933906195843,1.0297867325965562,5.0,6.0,1.0,20.0,19.0,19.0,0.0,0.0,5313.0,5260.0,-53.0,-0.9975531714662149,8.838697534349707,8.70893536121673,-0.12976217313297767,-1.4681141947519387,6.0,7.0,1.0,16.666666666666668,17.0,17.0,0.0,0.0,7.7270845096932055,7.865399239543726,0.13831472985052073,1.7899989274999188,5.0,6.0,1.0,20.0,18.0,18.0,0.0,0.0,0.829076071767928,0.829076071767928,0.0,0.0,0.5428427701078755,0.5428427701078755,0.0,0.0,72.36971617339715,72.36971617339715,0.0,0.0
46,demand_plus_20pct,31.672926447574334,31.775206796333556,0.10228034875922276,0.322926739745755,28.0,28.0,0.0,0.0,54.0,54.0,0.0,0.0,10.935239287701725,10.845962044604516,-0.08927724309720908,-0.8164178281641664,8.0,8.0,0.0,0.0,22.0,22.0,0.0,0.0,7.92647468002226,8.005748718659094,0.07927403863683402,1.0001172253364392,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,14376.0,14438.0,62.0,0.431274346132443,8116.0,8121.0,5.0,0.06160670280926565,11.346845736816165,11.324344292574805,-0.022501444241360247,-0.19830572093133939,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,8.090931493346476,8.042359315355252,-0.0485721779912236,-0.6003286275649053,5.0,5.0,0.0,0.0,19.0,18.0,-1.0,-5.2631578947368425,5313.0,5352.0,39.0,0.7340485601355167,8.838697534349707,8.71431240657698,-0.1243851277727277,-1.4072789264405927,6.0,6.0,0.0,0.0,17.0,17.0,0.0,0.0,7.7270845096932055,7.998692077727952,0.2716075680347467,3.5150070857129863,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,0.829076071767928,0.7152199429880945,-0.11385612877983342,-13.732892873997166,0.5428427701078755,0.60097255603376,0.05812978592588447,10.708401976935738,72.36971617339715,83.89027821194124,11.520562038544085,15.91903719912474
