seed,scenario,gate_only_cases,wrong_case_boundary_cases,within_case_overlap_cases,decreasing_completion_cases,gate_out_before_final_yard_cases,wrong_case_count,t22_resource_assignments,prohibited_resource_assignments,demand_multiplier
42,demand_x1.00,0,0,0,0,0,0,0,0,1.0
42,demand_x1.20,0,0,0,0,0,0,0,0,1.2
42,demand_x1.50,0,0,0,0,0,0,0,0,1.5
42,demand_x2.00,0,0,0,0,0,0,0,0,2.0
42,demand_x2.40,0,0,0,0,0,0,0,0,2.4
42,demand_x3.00,0,0,0,0,0,0,0,0,3.0
43,demand_x1.00,0,0,0,0,0,0,0,0,1.0
43,demand_x1.20,0,0,0,0,0,0,0,0,1.2
43,demand_x1.50,0,0,0,0,0,0,0,0,1.5
43,demand_x2.00,0,0,0,0,0,0,0,0,2.0
43,demand_x2.40,0,0,0,0,0,0,0,0,2.4
43,demand_x3.00,0,0,0,0,0,0,0,0,3.0
44,demand_x1.00,0,0,0,0,0,0,0,0,1.0
44,demand_x1.20,0,0,0,0,0,0,0,0,1.2
44,demand_x1.50,0,0,0,0,0,0,0,0,1.5
44,demand_x2.00,0,0,0,0,0,0,0,0,2.0
44,demand_x2.40,0,0,0,0,0,0,0,0,2.4
44,demand_x3.00,0,0,0,0,0,0,0,0,3.0
45,demand_x1.00,0,0,0,0,0,0,0,0,1.0
45,demand_x1.20,0,0,0,0,0,0,0,0,1.2
45,demand_x1.50,0,0,0,0,0,0,0,0,1.5
45,demand_x2.00,0,0,0,0,0,0,0,0,2.0
45,demand_x2.40,0,0,0,0,0,0,0,0,2.4
45,demand_x3.00,0,0,0,0,0,0,0,0,3.0
46,demand_x1.00,0,0,0,0,0,0,0,0,1.0
46,demand_x1.20,0,0,0,0,0,0,0,0,1.2
46,demand_x1.50,0,0,0,0,0,0,0,0,1.5
46,demand_x2.00,0,0,0,0,0,0,0,0,2.0
46,demand_x2.40,0,0,0,0,0,0,0,0,2.4
46,demand_x3.00,0,0,0,0,0,0,0,0,3.0
47,demand_x1.00,0,0,0,0,0,0,0,0,1.0
47,demand_x1.20,0,0,0,0,0,0,0,0,1.2
47,demand_x1.50,0,0,0,0,0,0,0,0,1.5
47,demand_x2.00,0,0,0,0,0,0,0,0,2.0
47,demand_x2.40,0,0,0,0,0,0,0,0,2.4
47,demand_x3.00,0,0,0,0,0,0,0,0,3.0
48,demand_x1.00,0,0,0,0,0,0,0,0,1.0
48,demand_x1.20,0,0,0,0,0,0,0,0,1.2
48,demand_x1.50,0,0,0,0,0,0,0,0,1.5
48,demand_x2.00,0,0,0,0,0,0,0,0,2.0
48,demand_x2.40,0,0,0,0,0,0,0,0,2.4
48,demand_x3.00,0,0,0,0,0,0,0,0,3.0
49,demand_x1.00,0,0,0,0,0,0,0,0,1.0
49,demand_x1.20,0,0,0,0,0,0,0,0,1.2
49,demand_x1.50,0,0,0,0,0,0,0,0,1.5
49,demand_x2.00,0,0,0,0,0,0,0,0,2.0
49,demand_x2.40,0,0,0,0,0,0,0,0,2.4
49,demand_x3.00,0,0,0,0,0,0,0,0,3.0
50,demand_x1.00,0,0,0,0,0,0,0,0,1.0
50,demand_x1.20,0,0,0,0,0,0,0,0,1.2
50,demand_x1.50,0,0,0,0,0,0,0,0,1.5
50,demand_x2.00,0,0,0,0,0,0,0,0,2.0
50,demand_x2.40,0,0,0,0,0,0,0,0,2.4
50,demand_x3.00,0,0,0,0,0,0,0,0,3.0
51,demand_x1.00,0,0,0,0,0,0,0,0,1.0
51,demand_x1.20,0,0,0,0,0,0,0,0,1.2
51,demand_x1.50,0,0,0,0,0,0,0,0,1.5
51,demand_x2.00,0,0,0,0,0,0,0,0,2.0
51,demand_x2.40,0,0,0,0,0,0,0,0,2.4
51,demand_x3.00,0,0,0,0,0,0,0,0,3.0
