kind,activity,real_n,real_mean,real_std,real_p50,real_p90,real_min,real_max,sim_n,sim_mean,sim_std,sim_p50,sim_p90,sim_min,sim_max,wasserstein_min,ks_stat,ks_pvalue,abs_error_mean,rel_error_mean,abs_error_p50,rel_error_p50,abs_error_p90,rel_error_p90,real_n_raw,real_mean_raw,real_std_raw,real_p50_raw,real_p90_raw,real_min_raw,real_max_raw,sim_n_raw,sim_mean_raw,sim_std_raw,sim_p50_raw,sim_p90_raw,sim_min_raw,sim_max_raw,wasserstein_min_raw,ks_stat_raw,ks_pvalue_raw,abs_error_mean_raw,rel_error_mean_raw,abs_error_p50_raw,rel_error_p50_raw,abs_error_p90_raw,rel_error_p90_raw,real_excluded_above_24h,sim_excluded_above_24h
waiting_time,Gate In,0,,,,,,,17892,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,,17892,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,0
waiting_time,Gate Out,0,,,,,,,17892,11.475408003577018,10.088303267116908,9.0,23.0,0.0,162.0,,,,,,,,,,0,,,,,,,17892,11.475408003577018,10.088303267116908,9.0,23.0,0.0,162.0,,,,,,,,,,0,0
waiting_time,HO2_delivery,0,,,,,,,1495,9.76989966555184,9.515746320464919,7.0,22.0,0.0,76.0,,,,,,,,,,0,,,,,,,1495,9.76989966555184,9.515746320464919,7.0,22.0,0.0,76.0,,,,,,,,,,0,0
waiting_time,HO2_mixed,0,,,,,,,168,9.363095238095237,8.76262175736986,7.0,22.30000000000001,0.0,49.0,,,,,,,,,,0,,,,,,,168,9.363095238095237,8.76262175736986,7.0,22.30000000000001,0.0,49.0,,,,,,,,,,0,0
waiting_time,HO2_receive,0,,,,,,,1179,10.046649703138252,9.851548113169036,7.0,23.0,0.0,84.0,,,,,,,,,,0,,,,,,,1179,10.046649703138252,9.851548113169036,7.0,23.0,0.0,84.0,,,,,,,,,,0,0
waiting_time,LL_delivery,0,,,,,,,2479,3.4965711980637355,3.4765280551832176,3.0,8.0,0.0,24.0,,,,,,,,,,0,,,,,,,2479,3.4965711980637355,3.4765280551832176,3.0,8.0,0.0,24.0,,,,,,,,,,0,0
waiting_time,LL_mixed,0,,,,,,,12,2.5,1.834021909257456,2.5,4.9,0.0,6.0,,,,,,,,,,0,,,,,,,12,2.5,1.834021909257456,2.5,4.9,0.0,6.0,,,,,,,,,,0,0
waiting_time,LL_receive,0,,,,,,,502,3.2928286852589643,3.128630963077558,2.0,7.0,0.0,23.0,,,,,,,,,,0,,,,,,,502,3.2928286852589643,3.128630963077558,2.0,7.0,0.0,23.0,,,,,,,,,,0,0
waiting_time,RMG_delivery,0,,,,,,,4418,8.063829787234043,8.495547449454161,5.0,19.0,0.0,106.0,,,,,,,,,,0,,,,,,,4418,8.063829787234043,8.495547449454161,5.0,19.0,0.0,106.0,,,,,,,,,,0,0
waiting_time,RMG_mixed,0,,,,,,,1040,7.503846153846154,7.8217623297812375,5.0,18.0,0.0,63.0,,,,,,,,,,0,,,,,,,1040,7.503846153846154,7.8217623297812375,5.0,18.0,0.0,63.0,,,,,,,,,,0,0
waiting_time,RMG_receive,0,,,,,,,8244,8.184255215914604,8.764188796244664,5.0,19.0,0.0,111.0,,,,,,,,,,0,,,,,,,8244,8.184255215914604,8.764188796244664,5.0,19.0,0.0,111.0,,,,,,,,,,0,0
