seed,activity,wasserstein_min
42,HO2_delivery,1.9234499291707574
43,HO2_delivery,1.8468145122069886
44,HO2_delivery,2.2499605814784567
45,HO2_delivery,1.8993840113405374
46,HO2_delivery,1.82816418287792
47,HO2_delivery,2.26728528017098
48,HO2_delivery,1.8387692677771863
49,HO2_delivery,1.8792354296473488
50,HO2_delivery,2.082469007032885
51,HO2_delivery,1.9620088955691668
42,HO2_mixed,5.891821946169772
43,HO2_mixed,2.7206146926536734
44,HO2_mixed,3.8061912026442903
45,HO2_mixed,4.0570543041732146
46,HO2_mixed,3.2281691432764634
47,HO2_mixed,5.708786231884058
48,HO2_mixed,3.203597762522246
49,HO2_mixed,4.64081306804225
50,HO2_mixed,5.2260210803689064
51,HO2_mixed,3.614661980387052
42,HO2_receive,1.8876411474006785
43,HO2_receive,2.244269871602183
44,HO2_receive,1.5540370058872999
45,HO2_receive,2.296009354630044
46,HO2_receive,1.8312534998246812
47,HO2_receive,2.077024309457621
48,HO2_receive,2.0480655160760275
49,HO2_receive,1.8543802423112754
50,HO2_receive,1.7174291914430828
51,HO2_receive,1.9819798583170833
42,LL_delivery,1.229337493852614
43,LL_delivery,1.5351884857686477
44,LL_delivery,1.589351869026404
45,LL_delivery,1.303766886158739
46,LL_delivery,1.4421744704374104
47,LL_delivery,1.536098355234431
48,LL_delivery,1.2138965304197962
49,LL_delivery,1.8821205138835733
50,LL_delivery,1.3911445058731597
51,LL_delivery,1.4005368149617996
42,LL_mixed,3.8671328671328675
43,LL_mixed,5.609090909090909
44,LL_mixed,2.684848484848484
45,LL_mixed,4.7272727272727275
46,LL_mixed,4.554545454545455
47,LL_mixed,5.1818181818181825
48,LL_mixed,6.7272727272727275
49,LL_mixed,3.053475935828877
50,LL_mixed,2.1608391608391613
51,LL_mixed,5.75598086124402
42,LL_receive,3.977102330293819
43,LL_receive,4.614434710054235
44,LL_receive,5.098161449157519
45,LL_receive,3.8389311620543154
46,LL_receive,4.051829971846587
47,LL_receive,3.6904740884611993
48,LL_receive,5.008510638297873
49,LL_receive,4.579020719130355
50,LL_receive,4.343956346294939
51,LL_receive,4.201224020372957
42,RMG_delivery,2.357727310599519
43,RMG_delivery,2.5297221481044483
44,RMG_delivery,2.7917632775985948
45,RMG_delivery,2.4004060961858786
46,RMG_delivery,2.748931284903392
47,RMG_delivery,2.496558689955884
48,RMG_delivery,2.5790200848130422
49,RMG_delivery,2.5655252208467143
50,RMG_delivery,2.5612370971120515
51,RMG_delivery,2.6669922483680475
42,RMG_mixed,4.081560073200741
43,RMG_mixed,4.43218249601174
44,RMG_mixed,3.9108975998614333
45,RMG_mixed,3.8716701428022406
46,RMG_mixed,3.957088364539451
47,RMG_mixed,3.606356310441436
48,RMG_mixed,4.529588465304987
49,RMG_mixed,4.205435274411082
50,RMG_mixed,4.445837875283978
51,RMG_mixed,4.15766183372713
42,RMG_receive,2.485502905354933
43,RMG_receive,2.6749814778326604
44,RMG_receive,2.5411435147401167
45,RMG_receive,2.378239761225156
46,RMG_receive,2.409561455200975
47,RMG_receive,2.5091918196611984
48,RMG_receive,2.505127700563482
49,RMG_receive,2.389447633675364
50,RMG_receive,2.474698680225726
51,RMG_receive,2.3730782788878932
