seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h
42,baseline,17892,54983,14437,31.229935166554885,28.0,53.0,311.0,10.741289741636074,8.0,21.0,7.910784789083604,5.0,18.0,8051,11.173270401192399,9.0,22.0,7.9975158365420445,5.0,18.0,5399,8.760140766808668,6.0,17.0,7.688090387108724,5.0,18.0,0.8192946174053993,0.5416131015594433,14658.0,73.23372902169464,0,0
42,t22_closed,17892,54980,14380,31.52984574111335,28.0,54.0,243.0,10.824756606397775,8.0,21.0,7.9072322670375526,5.0,18.0,8028,11.258221225710015,9.0,22.0,8.014200298953662,5.0,19.0,5376,8.815848214285714,7.0,17.0,7.709263392857143,5.0,18.0,0.8192946174053993,0.5416131015594433,14658.0,73.23372902169464,0,0
42,demand_plus_20pct,17892,54973,14385,31.716800804828974,28.0,54.0,345.0,11.024330900243308,8.0,22.0,7.951824817518248,5.0,19.0,8056,11.360600794438927,9.0,22.0,8.070134061569016,5.0,19.0,5346,8.890011223344557,7.0,18.0,7.787691732136176,5.0,18.0,0.7070594153484993,0.5991839472360405,12650.0,84.85849802371541,0,0
43,baseline,17892,55031,14269,31.69561815336463,28.0,54.0,384.0,11.01899222089845,8.0,22.0,7.88828929847922,5.0,18.0,8030,11.5560398505604,9.0,22.0,8.03810709838107,5.0,19.0,5284,8.880393641180923,7.0,18.0,7.68224829674489,5.0,18.0,0.8389693141803142,0.5384830361634342,15010.0,71.51632245169887,0,0
43,t22_closed,17892,55075,14311,31.525542141739326,28.0,53.0,460.0,10.856543917266439,8.0,22.0,8.021032771993571,5.0,18.0,8033,11.302626665006846,9.0,22.0,8.221959417403212,5.0,19.0,5324,8.740232907588279,7.0,17.0,7.684823441021788,5.0,18.0,0.8389693141803142,0.5384830361634342,15010.0,71.51632245169887,0,0
43,demand_plus_20pct,17892,55049,14266,31.590096132349654,28.0,54.0,627.0,10.905018926118043,8.0,22.0,7.92639842983317,5.0,18.0,8027,11.365267223121963,9.0,22.0,8.049458078983431,5.0,19.0,5281,8.808937701192956,7.0,17.0,7.776936186328347,5.0,18.0,0.7234922586775474,0.5978424906377509,12944.0,82.93108776266996,0,0
44,baseline,17892,55130,14321,31.550804828973842,28.0,54.0,287.0,10.946023322393687,8.0,22.0,7.885971650024439,5.0,18.0,8038,11.372356307539189,9.0,22.0,8.002239363025629,5.0,19.0,5330,8.84296435272045,7.0,17.0,7.693621013133209,5.0,18.0,0.8147672013861719,0.547593762226818,14577.0,73.64066680386911,0,0
44,t22_closed,17892,55076,14275,31.73267382070199,28.0,54.0,441.0,10.921471103327496,8.0,22.0,7.887145359019264,5.0,18.0,7989,11.422831393165604,9.0,22.0,8.009638252597322,5.0,19.0,5327,8.686878167824291,6.0,17.0,7.735310681434203,5.0,18.0,0.8147672013861719,0.547593762226818,14577.0,73.64066680386911,0,0
44,demand_plus_20pct,17892,55110,14302,31.87581041806394,28.0,54.0,292.0,10.946580897776535,8.0,22.0,7.80387358411411,5.0,18.0,7998,11.3832208052013,9.0,22.0,7.825581395348837,5.0,18.0,5348,8.761219147344802,6.0,18.0,7.807965594614809,5.0,18.0,0.7034263037281314,0.6041026214297691,12585.0,85.29678188319429,0,0
45,baseline,17892,55038,14365,31.745919964229824,28.0,54.0,423.0,10.935676992690567,8.0,22.0,7.96581970066133,5.0,18.0,8085,11.314285714285715,9.0,22.0,8.189115646258504,5.0,19.0,5276,8.787528430629264,6.5,17.5,7.644238059135709,5.0,18.0,0.8275669330948522,0.5407746911855122,14806.0,72.50168850466028,0,0
45,t22_closed,17892,55052,14345,31.8521685669573,28.0,54.0,337.0,10.845730219588708,8.0,21.0,8.081561519693272,5.0,19.0,8059,11.275840675021715,9.0,22.0,8.225214046407743,5.0,19.0,5287,8.806317382258369,7.0,18.0,7.902212975222243,5.0,18.0,0.8275669330948522,0.5407746911855122,14806.0,72.50168850466028,0,0
45,demand_plus_20pct,17892,55024,14357,31.533925776883525,28.0,53.0,170.0,10.932994358152817,8.0,22.0,7.820644981542105,5.0,18.0,8039,11.311481527553179,9.0,22.0,7.933698221171787,5.0,19.0,5316,8.79326561324304,7.0,18.0,7.705041384499624,5.0,18.0,0.7141020624895199,0.5989044771113968,12776.0,84.02160300563557,0,0
46,baseline,17892,55064,14376,31.672926447574334,28.0,54.0,520.0,10.935239287701725,8.0,22.0,7.92647468002226,5.0,18.0,8116,11.346845736816165,9.0,22.0,8.090931493346476,5.0,19.0,5313,8.838697534349707,6.0,17.0,7.7270845096932055,5.0,18.0,0.829076071767928,0.5428427701078755,14833.0,72.36971617339715,0,0
46,t22_closed,17892,55098,14339,31.83350100603622,28.0,54.0,436.0,10.835832345351838,8.0,22.0,8.033196178255109,6.0,18.0,8109,11.242446664200271,9.0,22.0,8.174250832408434,6.0,19.0,5260,8.70893536121673,7.0,17.0,7.865399239543726,6.0,18.0,0.829076071767928,0.5428427701078755,14833.0,72.36971617339715,0,0
46,demand_plus_20pct,17892,55104,14438,31.775206796333556,28.0,54.0,427.0,10.845962044604516,8.0,22.0,8.005748718659094,5.0,18.0,8121,11.324344292574805,9.0,22.0,8.042359315355252,5.0,18.0,5352,8.71431240657698,6.0,17.0,7.998692077727952,5.0,18.0,0.7152199429880945,0.60097255603376,12796.0,83.89027821194124,0,0
47,baseline,17892,55044,14412,31.448748043818465,28.0,54.0,212.0,10.981543158479045,8.0,22.0,7.807660283097419,5.0,18.0,8050,11.486832298136646,9.0,23.0,7.978385093167702,5.0,19.0,5382,8.756224451876626,6.0,17.0,7.564474173169826,5.0,17.900000000000546,0.8317589849645073,0.5412777374098708,14881.0,72.13628116390028,0,0
47,t22_closed,17892,55071,14331,31.58104180639392,28.0,54.0,387.0,10.887516572465286,8.0,22.0,7.927709161956598,5.0,18.0,8016,11.237025948103792,9.0,22.0,8.06000499001996,6.0,19.0,5330,8.87485928705441,6.0,17.0,7.793996247654785,5.0,18.0,0.8317589849645073,0.5412777374098708,14881.0,72.13628116390028,0,0
47,demand_plus_20pct,17892,55067,14394,31.620612564274538,28.0,54.0,244.0,10.990968459080172,8.0,22.0,7.915242462137002,5.0,18.0,8068,11.485250371839365,9.0,22.0,8.00086762518592,5.0,19.0,5339,8.761940438284324,6.0,17.0,7.736467503277767,5.0,18.0,0.7172880219104578,0.5986250069867531,12833.0,83.64840645211564,0,0
48,baseline,17892,55057,14361,31.714844623295328,28.0,54.0,631.0,10.911078615695287,8.0,22.0,7.880300814706497,5.0,18.0,7996,11.255627813906953,9.0,22.0,7.9987493746873435,5.0,19.0,5351,8.828256400672771,6.0,17.0,7.807138852550925,5.0,18.0,0.8285171315186407,0.53999217483651,14823.0,72.41853875733658,0,0
48,t22_closed,17892,55024,14275,31.829029733959313,28.0,54.0,305.0,10.97982486865149,8.0,22.0,7.952364273204903,5.0,18.0,7992,11.30955955955956,9.0,22.0,8.082457457457457,6.0,19.0,5266,9.011773642233194,7.0,18.0,7.795100645651348,5.0,18.0,0.8285171315186407,0.53999217483651,14823.0,72.41853875733658,0,0
